sep=|
AYUNTAMIENTOS
2021/06/21 11:41 (UTC-5)
ID_ESTADO|ESTADO|ID_DISTRITO|ID_MUNICIPIO|MUNICIPIO|SECCION|TIPO_CASILLA|PAN|PRI|PRD|PVEM|PT|MC|MORENA|MAS|CQROO|PES|RSP|FMEX|CAND_IND_1|CAND_IND_2|CAND_IND_3|CAND_IND_4|C_PAN_PRI_PRD_CQROO|C_PAN_PRI_PRD|C_PAN_PRI_CQROO|C_PAN_PRD_CQROO|C_PRI_PRD_CQROO|C_PAN_PRI|C_PAN_PRD|C_PAN_CQROO|C_PRI_PRD|C_PRI_CQROO|C_PRD_CQROO|C_PVEM_PT_MORENA_MAS|C_PVEM_PT_MORENA|C_PVEM_PT_MAS|C_PVEM_MORENA_MAS|C_PT_MORENA_MAS|C_PVEM_PT|C_PVEM_MORENA|C_PVEM_MAS|C_PT_MORENA|C_PT_MAS|C_MORENA_MAS|NO_REGISTRADOS|NULOS|TOTAL_VOTOS_CALCULADO|LISTA_NOMINAL|OBSERVACIONES
23|QUINTANA ROO|4|1|BENITO JUAREZ|1|BASICA 1|17|6|26|6|2|7|68|1|2|9|6|58|7|-|-|-|0|0|0|1|0|0|4|0|0|0|0|0|0|0|0|0|0|2|0|1|0|0|0|15|238|704|COTEJADO EN PLENO
23|QUINTANA ROO|4|1|BENITO JUAREZ|1|CONTIGUA 1|25|12|21|12|5|9|90|1|5|5|1|67|5|-|-|-|0|0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|3|21|286|704|COTEJADO EN PLENO
23|QUINTANA ROO|4|1|BENITO JUAREZ|1|CONTIGUA 10|18|4|19|11|2|9|82|2|0|15|2|59|3|-|-|-|0|0|0|0|0|0|3|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|20|251|703|COTEJADO EN PLENO
23|QUINTANA ROO|4|1|BENITO JUAREZ|1|CONTIGUA 2|32|8|20|12|3|11|98|1|3|11|3|65|4|-|-|-|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|2|1|0|0|276|703|COTEJADO EN PLENO
23|QUINTANA ROO|4|1|BENITO JUAREZ|1|CONTIGUA 3|17|6|21|13|5|3|68|2|1|9|0|47|3|-|-|-|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|6|0|0|0|0|0|43|245|703|COTEJADO EN PLENO
23|QUINTANA ROO|4|1|BENITO JUAREZ|1|CONTIGUA 4|22|6|18|9|4|5|63|1|5|13|3|47|2|-|-|-|0|0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|202|703|COTEJADO EN PLENO
23|QUINTANA ROO|4|1|BENITO JUAREZ|1|CONTIGUA 5|24|7|22|22|6|1|109|2|4|14|0|50|6|-|-|-|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|14|282|703|COTEJADO EN PLENO
23|QUINTANA ROO|4|1|BENITO JUAREZ|1|CONTIGUA 6|22|11|24|11|2|7|73|4|1|12|2|51|7|-|-|-|0|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|1|0|3|0|1|4|4|242|703|COTEJADO EN PLENO
23|QUINTANA ROO|4|1|BENITO JUAREZ|1|CONTIGUA 7|22|10|25|10|4|6|89|2|5|23|1|51|2|-|-|-|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|15|268|703|COTEJADO EN PLENO
23|QUINTANA ROO|4|1|BENITO JUAREZ|1|CONTIGUA 8|19|12|26|15|2|6|103|6|3|7|2|48|2|-|-|-|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|12|265|703|COTEJADO EN PLENO
