ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,AVE,PC,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA_AVE,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_AVE,PRI_NVA_ALIANZA_AVE,PVEM_NVA_ALIANZA_AVE,PRI_PVEM,PRI_NVA_ALIANZA,PRI_AVE,PVEM_NVA_ALIANZA,PVEM_AVE,NVA_ALIANZA_AVE,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
30,VERACRUZ,146,SOCONUSCO,8,16,1267,759,169,128,36,210,17,331,53,1342,44,90,1,0,3,1,0,17,0,15,1,0,0,,,,,,,,,,,,,,,,3,4484,146,4633,9825,0.4716
30,VERACRUZ,148,SOLEDAD ATZOMPA,9,21,1000,1185,2489,1611,196,50,237,42,53,751,87,93,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,7794,464,8258,13250,0.6232
30,VERACRUZ,149,SOLEDAD DE DOBLADO,17,42,4096,4533,205,1001,77,130,72,72,35,2378,80,276,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,1,12955,388,13344,21470,0.6215
30,VERACRUZ,150,SOTEAPAN,11,38,3498,5851,618,248,167,80,249,78,65,1675,71,270,10,10,9,0,0,125,27,8,6,1,6,,,,,,,,,,,,,,,,4,13072,869,13945,22123,0.6303
30,VERACRUZ,151,TAMALIN,8,14,1935,1551,349,1267,18,12,53,11,7,248,11,49,1,2,2,0,0,228,1,0,0,1,2,111,,,,,,,,,,,,,,,2,5859,56,5917,8265,0.7159
30,VERACRUZ,152,TAMIAHUA,21,36,2890,2583,436,1494,126,44,212,658,54,991,41,99,3,1,5,1,0,45,7,16,3,6,1,,,,,,,,,,,,,,,,1,9716,287,10004,17102,0.5850
30,VERACRUZ,153,TAMPICO ALTO,19,23,2298,1334,86,822,33,29,27,10,7,188,6,57,8,2,32,1,0,150,0,1,2,1,0,15,,,,,,,,,,,,,,,0,5109,112,5221,8631,0.6049
30,VERACRUZ,154,TANCOCO,7,9,661,689,159,408,23,62,25,6,273,270,22,41,0,0,0,0,0,18,1,1,1,0,0,,,,,,,,,,,,,,,,0,2660,78,2738,4401,0.6221
30,VERACRUZ,155,TANTIMA,11,16,2518,1726,67,640,27,17,105,12,7,243,17,102,1,1,1,0,0,92,1,1,2,0,0,35,,,,,,,,,,,,,,,4,5615,95,5714,9104,0.6276
30,VERACRUZ,156,TANTOYUCA,60,126,20975,9902,1530,3119,436,124,379,93,181,3001,190,577,29,15,15,1,2,503,11,2,20,2,2,,,,,,,,,,,,,,,,5,41109,933,42047,67342,0.6244
