ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,AVE,PC,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA_AVE,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_AVE,PRI_NVA_ALIANZA_AVE,PVEM_NVA_ALIANZA_AVE,PRI_PVEM,PRI_NVA_ALIANZA,PRI_AVE,PVEM_NVA_ALIANZA,PVEM_AVE,NVA_ALIANZA_AVE,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
30,VERACRUZ,1,PANUCO,246,398,22747,20845,2738,34010,754,3419,1155,365,354,8886,487,861,72,44,90,10,13,2191,20,10,58,26,7,2991,,,,,,,,,,,,,,,74,102153,2572,104799,193283,0.5422
30,VERACRUZ,2,TANTOYUCA,198,365,36133,28368,10580,16923,1517,946,1538,465,968,12996,887,1907,74,48,45,5,4,1549,36,12,75,16,6,,,,,,,,,,,,,,,,16,115098,3675,118789,191491,0.6203
30,VERACRUZ,3,TUXPAN,160,372,24135,22599,11538,4382,1891,824,1259,1409,1108,23869,1121,1822,121,43,56,7,4,624,33,33,24,14,7,,,,,,,,,,,,,,,,61,96923,3366,100350,205347,0.4887
30,VERACRUZ,4,ALAMO TEMAPACHE,210,398,31969,40479,9932,5340,2387,2161,1196,858,1107,14925,1525,1869,73,47,35,8,2,781,36,22,30,13,11,,1132,,,,,,,,,,,,,,45,115938,4263,120246,201760,0.596
30,VERACRUZ,5,POZA RICA,139,323,16735,19551,11516,2534,1233,1700,2716,2100,2383,23553,981,2015,0,0,0,0,0,0,0,0,0,0,0,,,4913,,,,,,,,,,,,,70,91930,3061,95061,184805,0.5144
30,VERACRUZ,6,PAPANTLA,149,351,18131,35361,12456,7073,1961,2755,1454,11369,945,12512,609,2367,0,0,0,0,0,0,0,0,0,0,0,,,,881,,,,,,,,,,,,35,107874,4071,111980,195530,0.5727
30,VERACRUZ,7,MARTINEZ DE LA TORRE,173,342,20418,20055,6922,4275,3445,906,1785,537,1522,17624,1422,1483,84,40,42,7,0,471,64,20,15,4,14,,,,,1056,489,,,,,,,,,,53,82700,3122,85875,176344,0.487
30,VERACRUZ,8,MISANTLA,214,380,18754,14473,8161,3416,13431,2521,1411,10240,3015,19703,1396,1463,97,13,105,11,4,255,31,387,17,48,47,,,,,,,,,,,,,,,,39,98999,3302,102340,185638,0.5513
30,VERACRUZ,9,PEROTE,131,317,22706,27548,2824,1154,5147,1771,877,4698,3010,15568,890,1140,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,28,87333,4293,91654,168267,0.5447
30,VERACRUZ,10,XALAPA I,137,304,20329,13865,3841,2137,1603,3322,1200,1898,1875,38719,2986,1069,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,1826,92844,3753,98423,177680,0.5539
30,VERACRUZ,11,XALAPA II,117,314,26459,15391,2882,2057,1338,3831,1270,794,2909,35232,3940,1325,143,44,89,8,6,347,23,18,8,8,12,,,,,,,1942,1918,,,,,,,,147,101994,3530,105671,183827,0.5748
30,VERACRUZ,12,COATEPEC,122,309,22219,14450,3898,7251,1196,1082,1003,12197,1089,23509,1476,1080,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1124,,,,,,,93,91574,4480,96147,175236,0.5487
30,VERACRUZ,13,EMILIANO ZAPATA,171,350,33845,23104,7559,2085,2308,2462,968,837,1862,16902,1340,2341,64,20,61,8,3,473,28,29,4,7,10,,,,,,,,,,1284,,,,,,104,97604,2750,100458,182984,0.549
30,VERACRUZ,14,VERACRUZ I,173,379,52193,17738,2368,2135,1146,3221,2044,691,822,18244,2052,2538,178,69,119,11,6,722,58,26,26,9,17,,,,,,,,,,,990,,,,,84,107423,3421,110928,217523,0.51
30,VERACRUZ,15,VERACRUZ II,190,399,59609,18597,2151,2129,1662,1799,1906,751,1105,21401,2190,2760,236,69,82,15,11,686,35,18,10,5,12,,,,,,,,,,,,,,,,163,117239,3965,121367,227222,0.5341
30,VERACRUZ,16,BOCA DEL RIO,186,378,62937,25577,1664,2735,1020,1532,1290,632,790,14356,1363,2953,126,54,94,10,3,796,51,45,6,4,12,,,,,,,,,,,,,,,,104,118050,3765,121919,207755,0.5868
30,VERACRUZ,17,MEDELLIN,137,339,33895,26634,6358,3874,1175,1562,2138,2262,641,16599,924,1927,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,43,97989,3304,101336,185371,0.5467
30,VERACRUZ,18,HUATUSCO,119,303,26274,25805,6702,9107,1097,2357,1640,706,1689,11498,957,2618,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,79,90450,4650,95179,172008,0.5533
30,VERACRUZ,19,CORDOBA,154,348,28450,31477,2230,2083,1173,3001,1242,1525,1245,26721,1580,787,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,197,101514,4554,106265,194588,0.5461
30,VERACRUZ,20,ORIZABA,168,360,22400,16005,4299,3664,1998,1872,1196,860,1955,37162,2690,793,41,25,31,3,6,474,22,8,13,4,13,,,,,,,,,,,,2396,,,,187,97930,4584,102701,200593,0.512
30,VERACRUZ,21,CAMERINO Z. MENDOZA,117,294,14029,20613,8641,1184,2115,1340,1402,1009,1019,25625,1785,1191,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,1429,,,84,81382,4493,85959,169017,0.5086
30,VERACRUZ,22,ZONGOLICA,133,292,25462,16276,8601,17571,1847,1051,2198,915,844,11789,956,1842,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,24,89352,5687,95063,162438,0.5852
30,VERACRUZ,23,COSAMALOAPAN,193,386,34354,34962,2844,2787,2191,1285,1662,605,849,18947,856,1643,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,50,102985,3956,106991,199506,0.5363
30,VERACRUZ,24,SANTIAGO TUXTLA,181,360,22249,32612,11300,1569,1582,1626,1060,736,665,14391,542,3741,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,1393,,91,93466,3746,97303,194287,0.5008
30,VERACRUZ,25,SAN ANDRES TUXTLA,132,313,12019,8003,3947,2191,990,1934,34079,601,1096,15862,2755,1230,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,72,84707,5709,90488,178466,0.507
30,VERACRUZ,26,COSOLEACAQUE,159,369,16288,23920,8456,1822,1623,829,3891,1480,1138,32785,2821,1668,123,60,66,11,18,590,215,52,23,9,38,,,,,,,,,,,,,,,,29,97926,5076,103031,204741,0.5032
