ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI_PVEM_NVA_ALIANZA,PRD,PT,MC,MORENA,ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
28,TAMAULIPAS,1,NUEVO LAREDO,81,190,28214,19522,839,210,1482,782,632,302,26,51983,1592,53601,113837,0.4709
28,TAMAULIPAS,2,NUEVO LAREDO,115,231,32391,23796,883,245,2006,1054,609,478,42,61462,1053,62557,127135,0.4921
28,TAMAULIPAS,3,NUEVO LAREDO,71,192,32757,21531,584,222,1669,903,4031,406,24,62103,1142,63269,112098,0.5644
28,TAMAULIPAS,4,REYNOSA,86,189,25344,18002,703,420,3741,2329,997,726,37,52262,1103,53402,112902,0.4730
28,TAMAULIPAS,5,REYNOSA,110,200,28565,16278,807,442,4324,2814,1024,774,50,55028,1102,56180,112049,0.5014
28,TAMAULIPAS,6,REYNOSA,100,225,29294,21966,758,536,3656,2239,861,573,66,59883,1611,61560,127377,0.4833
28,TAMAULIPAS,7,REYNOSA,87,198,29801,14497,654,396,3463,1909,758,539,47,52017,902,52966,111076,0.4768
28,TAMAULIPAS,8,RIO BRAVO,89,213,25965,22310,739,481,3723,2197,1882,492,316,57789,1187,59292,123756,0.4791
28,TAMAULIPAS,9,VALLE HERMOSO,82,184,23071,24747,348,280,3245,800,1117,420,33,54028,1291,55352,102544,0.5398
28,TAMAULIPAS,10,MATAMOROS,47,169,19702,21653,426,264,6825,1139,582,456,43,51047,1227,52317,106048,0.4933
28,TAMAULIPAS,11,MATAMOROS,35,159,19380,22504,589,301,5648,1137,629,463,90,50651,1561,52302,105343,0.4965
28,TAMAULIPAS,12,MATAMOROS,106,213,20052,25090,358,332,5157,1131,546,357,63,53023,984,54070,117801,0.4590
28,TAMAULIPAS,13,SAN FERNANDO,160,264,47881,31922,1466,161,680,771,546,54,2,83481,1285,84768,118365,0.7162
28,TAMAULIPAS,14,VICTORIA,82,204,40120,31948,447,361,8417,901,668,412,23,83274,1111,84408,120294,0.7017
28,TAMAULIPAS,15,VICTORIA,67,192,35995,25211,561,498,10004,734,559,314,16,73876,937,74829,117334,0.6377
28,TAMAULIPAS,16,XICOTENCATL,150,269,47891,41187,695,201,611,575,832,417,26,92409,1736,94171,122842,0.7666
28,TAMAULIPAS,17,MANTE,123,231,42859,27756,502,366,896,1318,416,214,32,74327,1201,75560,118175,0.6394
28,TAMAULIPAS,18,ALTAMIRA,76,201,37948,24006,625,803,6136,1206,479,174,27,71377,1303,72707,114391,0.6356
28,TAMAULIPAS,19,MIRAMAR,42,156,29483,16381,899,443,2904,1231,512,269,33,52122,827,52982,103164,0.5136
28,TAMAULIPAS,20,CIUDAD MADERO,94,217,40450,20909,995,346,3414,3018,632,489,44,70253,1518,71815,125164,0.5738
28,TAMAULIPAS,21,TAMPICO,69,189,42819,21541,1637,415,3747,1858,620,389,44,73026,1176,74246,116256,0.6386
28,TAMAULIPAS,22,TAMPICO,123,241,41067,24862,1809,558,2988,2137,526,433,50,74380,1230,75660,129277,0.5853
