CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,28,TAMAULIPAS,3,NUEVO LAREDO,25,MIGUEL ALEMAN,0736,2,265,92,2,4,2,6,5,0,9,1,4,2,0,4,1,396,10,507,813
2,28,TAMAULIPAS,3,NUEVO LAREDO,25,MIGUEL ALEMAN,0737,2,444,219,3,0,0,6,9,11,16,0,2,0,1,9,0,720,16,732,1142
2,28,TAMAULIPAS,3,NUEVO LAREDO,25,MIGUEL ALEMAN,0738,2,378,265,3,2,4,9,11,2,4,1,3,2,0,3,4,687,11,699,1028
2,28,TAMAULIPAS,3,NUEVO LAREDO,25,MIGUEL ALEMAN,0739,3,636,398,1,11,0,15,19,9,10,2,7,0,0,23,1,1131,24,1156,1904
2,28,TAMAULIPAS,3,NUEVO LAREDO,25,MIGUEL ALEMAN,0740,1,185,106,2,1,0,0,4,3,2,0,1,0,0,3,0,307,5,312,480
2,28,TAMAULIPAS,3,NUEVO LAREDO,25,MIGUEL ALEMAN,0742,1,48,35,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,83,206
2,28,TAMAULIPAS,3,NUEVO LAREDO,25,MIGUEL ALEMAN,0743,1,65,74,0,0,0,0,0,0,0,0,0,0,0,0,0,139,3,142,326
2,28,TAMAULIPAS,3,NUEVO LAREDO,25,MIGUEL ALEMAN,0744,1,131,60,0,0,0,1,1,0,0,0,0,0,0,0,0,193,2,195,355
2,28,TAMAULIPAS,16,XICOTENCATL,26,MIQUIHUANA,0745,2,515,535,2,0,0,3,5,20,0,0,4,0,0,0,0,1084,15,1099,1275
2,28,TAMAULIPAS,16,XICOTENCATL,26,MIQUIHUANA,0746,1,258,188,0,0,0,11,1,23,0,0,0,0,0,1,0,482,6,488,583
2,28,TAMAULIPAS,16,XICOTENCATL,26,MIQUIHUANA,0747,2,285,343,0,0,0,2,2,29,0,0,0,0,0,0,0,661,11,672,810
2,28,TAMAULIPAS,16,XICOTENCATL,26,MIQUIHUANA,0748,1,78,63,0,0,0,0,0,0,0,0,0,0,0,0,0,141,1,142,149
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0749,12,1980,1056,49,18,17,94,20,42,38,2,7,1,0,11,2,3335,33,3399,8285
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0750,10,1518,1234,48,17,9,83,15,55,36,1,6,0,0,17,2,3039,53,3199,6485
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0751,1,184,82,4,3,1,9,2,0,1,0,1,0,0,0,0,287,2,289,686
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0752,2,373,201,4,3,3,11,3,10,0,0,3,0,0,2,0,613,18,631,1337
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0753,2,334,173,8,2,3,11,2,12,2,0,1,0,0,9,1,557,7,561,1164
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0754,5,697,777,24,8,6,33,18,18,26,1,6,1,0,11,0,1626,40,1668,3397
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0755,2,297,305,12,13,2,18,5,14,14,0,0,0,0,0,0,680,21,702,1393
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0756,7,1000,889,38,16,4,66,24,41,20,4,7,1,1,13,0,2124,30,2160,4720
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0757,3,440,326,16,5,3,27,6,7,3,0,2,0,0,5,5,840,22,859,1767
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0758,4,651,542,20,13,3,42,15,32,8,0,1,0,0,5,0,1332,31,1363,2644
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0759,6,892,775,21,21,13,51,14,20,25,2,5,0,0,12,0,1851,26,1877,3848
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0760,2,220,191,8,3,1,14,9,3,4,0,1,0,0,1,0,455,3,458,1030
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0761,2,331,226,6,4,1,17,8,11,2,0,2,0,0,2,1,610,9,620,1429
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0762,2,312,294,12,1,1,8,6,11,7,0,1,1,0,7,1,661,15,678,1353
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0763,2,363,199,8,6,4,13,5,6,6,0,2,0,0,3,3,615,12,630,1276
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0764,2,195,227,7,5,2,16,6,4,4,0,2,0,0,3,0,471,13,484,1096
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0765,9,1596,961,33,17,15,71,15,35,59,1,4,0,0,18,1,2825,46,2882,6275
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0766,2,247,220,9,6,3,14,10,11,5,1,3,1,0,2,1,532,18,551,1242
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0767,2,211,202,7,3,1,12,0,5,4,0,1,0,0,2,0,448,14,462,970
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0768,1,125,99,4,2,3,7,3,12,7,0,1,0,0,0,0,263,1,254,611
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0769,1,144,139,12,4,0,10,6,3,1,0,0,0,0,1,0,320,3,323,733
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0770,2,183,160,4,2,6,6,5,12,4,0,0,0,0,7,0,389,7,391,880
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0771,1,106,89,4,4,1,6,0,5,1,0,0,0,0,1,0,217,3,220,516
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0772,1,75,34,6,1,0,6,0,1,0,0,0,0,0,0,0,123,5,128,339
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0773,1,107,107,4,4,0,6,2,3,1,0,3,0,0,1,0,238,8,246,528
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0774,2,175,200,6,3,5,19,2,4,4,0,0,0,0,1,0,419,6,425,908
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0775,2,170,138,1,2,0,25,4,6,4,1,1,0,0,4,1,356,12,654,892
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0776,1,85,66,4,1,2,5,5,11,1,0,0,0,0,3,0,183,5,188,494
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0777,1,116,64,3,1,1,8,0,6,0,0,0,0,0,3,0,202,1,203,507
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0778,2,290,185,3,3,0,12,6,5,8,0,1,0,0,2,0,515,10,528,1238
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0779,2,302,224,8,9,2,15,13,14,8,8,5,0,0,6,0,614,7,611,1275
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0780,3,399,266,16,10,5,25,10,7,5,0,2,1,0,2,0,748,22,770,1585
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0781,2,288,249,5,5,5,13,6,13,3,0,0,0,0,9,0,596,17,612,1291
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0782,2,256,224,11,6,2,24,2,8,9,1,0,0,0,3,1,546,12,559,1207
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,0783,2,169,166,3,1,1,18,7,5,5,0,3,0,0,2,0,380,15,396,953
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,0784,3,374,249,11,4,2,12,9,10,2,1,3,0,0,3,4,680,3,687,1636
