ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
28,TAMAULIPAS,1,NUEVO LAREDO,81,190,28138,18476,836,393,197,1557,486,788,652,42,127,21,4,307,32,52024,866,52948,113837,0.4651
28,TAMAULIPAS,2,NUEVO LAREDO,115,231,32391,22458,883,448,245,2036,604,1058,609,145,154,33,5,478,42,61547,1067,63141,127135,0.4966
28,TAMAULIPAS,3,NUEVO LAREDO,71,192,30673,20033,589,298,225,1677,657,901,4055,141,229,105,23,406,27,60012,1139,61668,112098,0.5501
28,TAMAULIPAS,4,REYNOSA,86,189,25523,15893,702,546,379,3789,651,2336,983,264,268,139,11,715,31,52199,1115,52857,112902,0.4682
28,TAMAULIPAS,5,REYNOSA,110,200,28321,14837,790,549,404,4392,691,2843,1018,116,84,15,9,785,44,54854,1135,55916,112049,0.4990
28,TAMAULIPAS,6,REYNOSA,100,225,29469,20362,764,605,541,3688,673,2272,872,199,171,23,12,590,46,60241,1633,61936,127377,0.4862
28,TAMAULIPAS,7,REYNOSA,87,198,29801,13306,654,428,396,3466,557,1924,753,89,81,13,8,539,47,52015,902,53011,111076,0.4772
28,TAMAULIPAS,8,RIO BRAVO,89,213,26689,20572,732,735,455,3850,870,2285,1970,441,281,83,13,504,328,59480,1221,65222,123756,0.5270
28,TAMAULIPAS,9,VALLE HERMOSO,82,184,23071,23397,348,223,255,3334,382,803,1191,174,255,141,135,416,33,54125,1283,55224,102544,0.5385
28,TAMAULIPAS,10,MATAMOROS,47,169,19637,20668,423,329,268,6983,332,1137,578,69,207,18,6,472,29,51127,933,52167,106048,0.4919
28,TAMAULIPAS,11,MATAMOROS,35,159,19403,20784,591,425,306,5649,355,1125,616,445,343,175,9,471,91,50697,1570,51803,105343,0.4918
28,TAMAULIPAS,12,MATAMOROS,106,213,22049,25953,402,345,331,6092,353,1282,624,74,253,37,1,401,46,58197,1115,59203,117801,0.5026
28,TAMAULIPAS,13,SAN FERNANDO,160,264,47829,31010,1473,116,152,693,352,767,545,200,158,26,9,56,7,83386,1327,84729,118365,0.7158
28,TAMAULIPAS,14,VICTORIA,82,204,40187,30145,330,197,319,8580,490,889,657,339,411,223,11,421,21,83199,896,84159,120294,0.6996
28,TAMAULIPAS,15,VICTORIA,67,192,36031,23190,562,194,501,9976,505,742,556,91,205,32,15,297,14,72897,939,73705,117334,0.6282
28,TAMAULIPAS,16,XICOTENCATL,150,269,47976,39225,710,215,191,593,1067,597,837,390,350,214,23,367,6,92755,1653,94303,122842,0.7677
28,TAMAULIPAS,17,MANTE,123,231,42859,26384,502,500,366,896,430,1318,416,171,242,23,6,214,32,74327,1201,75560,118175,0.6394
28,TAMAULIPAS,18,ALTAMIRA,76,201,37760,22874,628,330,821,5291,515,1223,498,173,281,79,7,178,21,70658,1314,71817,114391,0.6278
28,TAMAULIPAS,19,MIRAMAR,42,156,31167,16123,942,414,444,3133,402,1311,543,72,194,21,12,281,31,55059,900,55957,103164,0.5424
28,TAMAULIPAS,20,CIUDAD MADERO,94,217,40648,19261,987,582,348,3426,486,2991,635,159,265,119,7,495,37,70409,1262,71707,125164,0.5729
28,TAMAULIPAS,21,TAMPICO,69,189,36544,20272,1633,446,409,3759,360,1861,617,236,342,174,163,389,44,67205,1183,68401,116256,0.5884
28,TAMAULIPAS,22,TAMPICO,123,241,41067,23470,1809,586,558,2988,366,2137,526,182,231,25,2,433,50,74380,1230,75660,129277,0.5853
