ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
28,TAMAULIPAS,1,ABASOLO,11,17,3130,2625,73,4,12,10,17,151,23,5,10,1,0,3,0,6064,78,6147,8251,0.7450
28,TAMAULIPAS,2,ALDAMA,21,44,7308,5419,72,32,45,3090,161,238,77,35,39,26,1,3,1,16546,484,16937,23115,0.7327
28,TAMAULIPAS,3,ALTAMIRA,84,253,49485,27450,1167,538,1118,4099,618,1651,735,184,377,69,12,322,42,87825,1379,89164,155168,0.5746
28,TAMAULIPAS,4,ANTIGUO MORELOS,7,12,3583,1774,15,7,7,16,12,31,5,4,10,0,0,2,0,5466,57,5523,7201,0.7670
28,TAMAULIPAS,5,BURGOS,8,12,1888,1587,1,7,2,0,11,2,0,3,7,0,0,0,0,3508,19,3528,4373,0.8068
28,TAMAULIPAS,6,BUSTAMANTE,9,15,1413,2712,11,9,3,6,26,12,22,0,9,2,1,2,0,4228,91,4323,5521,0.7830
28,TAMAULIPAS,7,CAMARGO,16,26,2563,2807,34,35,19,66,110,138,1030,82,105,79,7,46,5,7121,216,7380,12788,0.5771
28,TAMAULIPAS,8,CASAS,8,12,1808,1504,14,1,11,33,10,1,17,3,1,0,0,0,0,3403,26,3439,4109,0.8369
28,TAMAULIPAS,9,CIUDAD MADERO,107,277,52782,25389,1318,756,450,4661,624,3636,864,185,324,124,13,629,46,91755,1613,93380,164436,0.5679
28,TAMAULIPAS,10,CRUILLAS,5,7,380,1032,3,1,2,1,0,10,0,0,3,0,0,1,0,1433,14,1447,2039,0.7097
28,TAMAULIPAS,11,GOMEZ FARIAS,7,17,3375,1905,10,6,23,25,34,48,20,9,8,2,0,5,0,5470,60,5526,7004,0.7890
