CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,MC,NVA_ALIANZA,PVEM,MORENA,PT,PRI_NVA_ALIANZA_PVEM_PT,PRI_NVA_ALIANZA_PVEM,PRI_PVEM_PT,PRI_NVA_ALIANZA_PT,NVA_ALIANZA_PVEM_PT,PRI_NVA_ALIANZA,PRI_PVEM,PRI_PT,NVA_ALIANZA_PVEM,NVA_ALIANZA_PT,PVEM_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,22,QUERETARO,8,Amealco de Bonfil,1,Amealco de Bonfil,1,2,354,318,4,11,11,8,14,2,7,0,0,1,0,0,3,2,1,0,0,0,736,8,744,1019
2,22,QUERETARO,8,Amealco de Bonfil,1,Amealco de Bonfil,2,2,247,303,5,3,8,2,11,1,1,0,1,0,0,2,0,1,0,0,0,0,585,11,596,828
2,22,QUERETARO,8,Amealco de Bonfil,1,Amealco de Bonfil,3,3,518,565,19,9,8,11,31,4,16,3,3,0,0,1,6,0,0,0,0,0,1194,25,1219,1405
2,22,QUERETARO,8,Amealco de Bonfil,1,Amealco de Bonfil,4,3,396,509,13,8,22,9,25,6,11,3,4,0,0,0,14,1,0,0,0,0,1021,17,1038,1569
2,22,QUERETARO,8,Amealco de Bonfil,1,Amealco de Bonfil,5,2,414,472,9,11,11,12,21,4,3,2,0,1,0,1,8,0,0,0,0,0,969,28,997,1427
2,22,QUERETARO,8,Amealco de Bonfil,1,Amealco de Bonfil,6,2,284,243,7,4,6,9,1,4,0,1,1,1,1,1,2,0,0,0,0,0,565,4,569,873
2,22,QUERETARO,8,Amealco de Bonfil,1,Amealco de Bonfil,7,1,245,189,1,3,4,7,9,4,1,0,0,0,0,0,3,0,0,0,0,0,466,22,488,684
2,22,QUERETARO,8,Amealco de Bonfil,1,Amealco de Bonfil,8,2,443,264,8,2,6,5,7,4,0,2,0,0,0,1,5,0,0,0,0,0,747,37,784,1148
2,22,QUERETARO,8,Amealco de Bonfil,1,Amealco de Bonfil,9,3,596,259,3,3,11,7,6,8,1,0,0,0,0,0,1,0,0,0,0,0,895,35,930,1691
2,22,QUERETARO,8,Amealco de Bonfil,1,Amealco de Bonfil,10,2,244,316,2,2,5,6,4,2,4,2,6,0,0,0,7,2,0,0,0,0,602,22,624,1029
2,22,QUERETARO,8,Amealco de Bonfil,1,Amealco de Bonfil,11,3,461,299,11,5,11,13,15,4,3,0,0,1,0,1,5,2,3,0,0,0,834,25,859,1296
