ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,C_COMUN_PRI_PVEM_NA_PS,C_COMUN_PRI_PVEM_PS,PRD,PT,MC,NA,PAC,MORENA,ES,PAN_PRD_PAC,PAN_PRD,PAN_PAC,PRD_PAC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA,,,
29,TLAXCALA,01,SAN ANTONIO CALPULALPAN,38,97,4508,7138,,1071,1621,877,,2173,14558,954,125,54,43,14,480,164,25,173,,,,,,,,33978,11,1386,35375,57924,,,,
29,TLAXCALA,02,TLAXCO DE MORELOS,60,109,4962,,3832,1158,1602,356,2662,453,10178,404,74,66,19,10,287,166,22,118,2237,2500,,,,,,31106,3743,1919,36768,57606,,,,
29,TLAXCALA,03,SAN COSME XALOSTOC,42,93,2256,9344,,629,2458,5384,,606,10798,600,29,26,11,7,366,189,27,105,,,2804,,,,,35639,23,1444,37106,56120,,,,
29,TLAXCALA,04,APIZACO,37,103,8010,6566,,790,6993,1015,,685,14560,1375,99,62,34,7,,,,,,,,,,,,40196,44,1922,42162,63601,,,,
29,TLAXCALA,05,SAN DIONICIO YAUHQUEMEHCAN,51,99,8405,3676,,942,7868,509,,992,11160,640,125,98,42,8,,,,,,,,,,,,34465,16,2004,36485,56642,,,,
29,TLAXCALA,06,IXTACUIXTLA DE MARIANO MATAMOROS,53,114,1759,5458,,1453,4139,1802,,1416,18796,2171,58,34,20,11,,,,,,,,2861,,,,39978,74,2252,42304,64806,,,,
29,TLAXCALA,07,TLAXCALA DE XICOHTENCATL,35,118,6426,8468,,1375,1351,925,,4230,22126,1129,285,78,95,27,487,187,16,150,,,,,2661,,,50016,31,1675,51722,73408,,,,
29,TLAXCALA,08,SAN BERNARDINO CONTLA,35,97,2587,7211,,2831,2027,1888,,737,16093,4044,93,56,12,13,,,,,,,,,,3064,,40656,19,1763,42438,59913,,,,
29,TLAXCALA,09,SANTA ANA CHIAUTEMPAN,36,109,6449,4661,,1537,3135,1291,,1399,17803,875,126,71,44,24,518,262,18,119,,,,,,,4198,42530,25,1583,44138,65798,,,,
29,TLAXCALA,10,HUAMANTLA,41,94,4309,9630,,744,1515,1101,,624,13873,667,70,39,19,3,273,132,20,72,,,,,,,,33091,26,1835,34952,55655,,,,
29,TLAXCALA,11,HUAMANTLA,48,95,3519,7267,,1146,4838,517,,459,12390,629,42,78,15,1,,,,,,,,,,,,30901,14,2077,32992,53580,,,,
29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,37,107,2722,6569,,2973,1653,5156,,741,22531,791,86,94,11,12,660,209,25,215,,,,,,,,44448,12,1649,46109,66955,,,,
29,TLAXCALA,13,ZACATELCO,32,102,3167,8570,,3786,1433,4605,,1105,18101,636,139,100,27,21,,,,,,,,,,,,41690,14,1738,43442,62749,,,,
29,TLAXCALA,14,SANTA MARIA NATIVITAS,39,102,4704,3896,,8376,1222,949,,3743,14803,550,139,110,41,59,308,147,14,119,,,,,,,,39180,6,1269,40455,64097,,,,
29,TLAXCALA,15,VICENTE GUERRERO,23,95,3538,4071,,769,5664,6465,,413,13859,3374,55,42,16,5,0,0,0,0,,,,,,,,38271,15,2370,40656,63162,,,,
