Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PRD,PT,PCP,PMC,PNA,CC_PAN_PNA,CC_PRD_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRD_PMC,CC_1,CC_2
10,11,CIUDAD FERNANDEZ ,220,B01,677,86,125,3,154,3,1,8,15,0,0,395,15,410,109,4,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,220,C01,677,83,116,2,175,0,0,3,0,0,0,379,24,403,86,2,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,221,B01,674,74,197,5,118,3,1,2,12,2,0,414,17,431,88,8,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,221,C01,673,60,161,9,149,0,1,4,5,2,0,391,18,409,69,12,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,222,B01,626,39,214,4,105,2,0,2,12,1,3,382,16,398,53,5,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,222,C01,626,40,178,1,131,2,0,0,19,0,0,371,13,384,59,1,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,222,C02,625,56,170,1,114,0,0,1,10,0,0,352,22,374,67,1,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,223,B01,449,42,109,4,114,4,1,0,3,1,0,278,9,287,45,6,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,223,C01,449,37,125,3,101,1,0,4,4,0,0,275,7,282,45,3,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,224,B01,546,28,133,1,176,0,3,3,4,0,0,348,11,359,35,4,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,224,C01,545,51,136,2,159,0,1,8,0,0,0,357,10,367,59,3,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,225,B01,739,83,162,16,195,5,0,0,0,0,0,461,13,474,83,16,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,225,C01,739,85,142,9,168,1,6,2,11,3,0,427,7,434,98,18,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,225,C02,739,72,138,10,184,1,6,5,12,0,1,429,14,443,89,16,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,225,C03,739,62,136,8,211,2,5,7,10,2,0,443,14,457,79,15,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,225,C04,738,58,130,6,201,1,3,7,12,4,1,423,20,443,77,13,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,226,B01,521,37,84,11,138,0,4,10,4,0,0,288,14,302,51,15,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,226,C01,521,29,103,5,161,3,2,4,5,0,0,312,13,325,38,7,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,226,C02,520,30,89,4,145,1,1,3,6,4,0,283,14,297,39,9,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,227,B01,527,33,46,2,226,0,1,2,11,1,0,322,8,330,46,4,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,227,C01,527,43,49,2,204,0,3,4,8,1,0,314,23,337,55,6,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,227,C02,526,67,55,5,211,0,0,0,0,0,0,338,0,338,67,5,PAN_PNA,PRD_PMC
10,11,CIUDAD FERNANDEZ ,228,B01,643,67,47,0,286,0,7,0,0,0,0,407,13,420,67,7,PAN_PNA,PRD_PMC
