Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PNA,CC_PRI_PVEM,CC_PRD_PT_PCP_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC,CC_1,CC_2,CC_3
4,21,MEXQUITIC DE CARMONA ,555,B01,540,23,90,36,12,8,8,79,0,10,45,69,0,380,10,390,33,143,204,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,555,C01,540,22,152,23,13,6,10,68,11,7,46,43,0,401,12,413,40,204,157,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,555,E01,350,16,79,17,6,6,2,68,2,6,32,40,0,274,5,279,24,117,133,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,556,B01,645,63,90,12,10,5,1,68,4,22,36,47,0,358,7,365,89,131,138,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,556,C01,645,56,94,10,4,45,0,130,25,0,0,0,0,364,7,371,81,139,144,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,556,E01,419,10,68,11,4,1,1,70,1,10,32,41,0,249,2,251,21,101,127,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,557,B01,387,25,83,4,4,3,3,15,6,12,33,17,0,205,11,216,43,119,43,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,557,C01,386,22,59,4,4,0,2,21,3,12,24,20,0,171,5,176,37,83,51,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,558,B01,400,31,56,9,4,2,1,29,1,24,19,16,0,192,18,210,56,77,59,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
4,21,MEXQUITIC DE CARMONA ,558,C01,400,21,64,14,3,4,1,29,3,15,36,20,0,210,10,220,39,104,67,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
