Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PNA,CC_PRI_PVEM,CC_PRD_PT_PMC,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,PRD_PT_PMC,CC_1,CC_2,CC_3
4,1,AHUALULCO ,1,B01,632,115,76,26,1,6,74,13,5,36,33,16,401,15,416,156,115,56,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,1,C01,632,121,73,32,0,5,69,14,6,31,40,26,417,7,424,158,118,72,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,2,B01,620,98,90,41,3,3,55,8,6,49,41,47,441,11,452,153,134,99,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,2,C01,620,106,86,42,4,3,64,10,5,33,36,27,416,14,430,144,125,83,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,2,C02,619,99,70,58,4,1,65,14,5,41,31,38,426,14,440,145,102,114,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,3,B01,293,23,15,36,10,0,4,8,2,5,5,42,150,10,160,30,20,96,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,4,B01,350,23,23,65,10,3,11,11,1,6,7,56,216,14,230,30,33,142,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,5,B01,222,24,26,36,3,1,2,6,1,8,15,19,141,5,146,33,42,64,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,6,B01,426,70,53,11,2,6,54,5,2,16,25,12,256,12,268,88,84,30,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,6,C01,425,72,32,10,4,3,63,4,1,19,12,10,230,9,239,92,47,28,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,6,E01,705,83,69,85,21,3,60,10,4,20,41,56,452,13,465,107,113,172,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,7,B01,595,68,59,58,16,6,35,9,2,21,34,70,378,18,396,91,99,153,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,7,C01,594,67,67,63,20,3,31,9,6,17,28,58,369,29,398,90,98,150,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,8,B01,581,91,62,19,4,7,64,6,3,24,47,26,353,22,375,118,116,55,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,8,C01,580,93,56,44,2,4,67,4,0,20,37,33,360,13,373,113,97,83,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,8,E01,241,11,12,20,1,5,51,2,1,2,7,15,127,11,138,14,24,38,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,9,B01,294,71,24,7,8,5,32,1,4,19,19,4,194,4,198,94,48,20,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,10,B01,143,2,15,21,2,2,12,1,2,0,8,15,80,5,85,4,25,39,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,11,B01,502,88,37,81,11,1,16,6,0,33,27,81,381,7,388,121,65,179,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,11,C01,501,87,36,65,8,5,28,5,2,30,31,61,358,14,372,119,72,139,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,12,B01,652,102,49,37,16,6,89,4,2,33,26,30,394,23,417,137,81,87,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,13,B01,396,61,59,36,0,5,36,5,2,13,29,32,278,8,286,76,93,73,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,13,C01,396,68,53,41,3,4,48,5,1,19,28,25,295,3,298,88,85,74,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,14,B01,397,77,51,46,15,1,10,5,1,20,33,16,275,12,287,98,85,82,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,14,C01,397,71,59,43,19,2,14,3,0,14,21,38,284,9,293,85,82,103,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,14,E01,513,110,16,68,54,4,56,13,0,22,13,31,387,12,399,132,33,166,PAN_PNA,PRI_PVEM,PRD_PT_PMC
4,1,AHUALULCO ,14,E1C1,513,131,15,56,43,1,71,5,1,36,9,36,404,13,417,168,25,140,PAN_PNA,PRI_PVEM,PRD_PT_PMC
