Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PNA,CC_PRI_PVEM,CC_PRD_PCP_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,PRD_PCP_PMC,CC_1,CC_2,CC_3
12,13,CIUDAD VALLES ,266,B01,698,59,129,24,14,10,1,8,7,20,34,5,0,311,18,329,86,173,38,PAN_PNA,PRI_PVEM,PRD_PCP_PMC
12,13,CIUDAD VALLES ,266,C01,698,75,145,30,12,16,1,5,6,12,40,11,2,355,17,372,93,201,47,PAN_PNA,PRI_PVEM,PRD_PCP_PMC
12,13,CIUDAD VALLES ,266,C02,698,75,101,13,15,9,4,7,4,30,43,6,0,307,16,323,109,153,30,PAN_PNA,PRI_PVEM,PRD_PCP_PMC
12,13,CIUDAD VALLES ,266,C03,698,85,110,21,14,14,3,6,13,26,43,8,0,343,18,361,124,167,38,PAN_PNA,PRI_PVEM,PRD_PCP_PMC
12,13,CIUDAD VALLES ,266,C04,697,55,102,33,19,13,5,3,7,27,42,11,0,317,18,335,89,157,52,PAN_PNA,PRI_PVEM,PRD_PCP_PMC
12,13,CIUDAD VALLES ,266,C05,697,56,129,30,15,16,1,3,9,23,42,17,0,341,17,358,88,187,51,PAN_PNA,PRI_PVEM,PRD_PCP_PMC
12,13,CIUDAD VALLES ,266,C06,697,79,115,26,7,12,2,3,13,23,28,9,0,317,14,331,115,155,40,PAN_PNA,PRI_PVEM,PRD_PCP_PMC
12,13,CIUDAD VALLES ,267,B01,693,81,106,24,13,17,3,7,6,30,28,14,0,329,15,344,117,151,48,PAN_PNA,PRI_PVEM,PRD_PCP_PMC
12,13,CIUDAD VALLES ,267,C01,693,72,115,30,6,9,8,9,10,29,22,15,0,325,21,346,111,146,62,PAN_PNA,PRI_PVEM,PRD_PCP_PMC
12,13,CIUDAD VALLES ,267,C02,692,98,103,26,7,5,2,6,2,27,35,14,0,325,18,343,127,143,48,PAN_PNA,PRI_PVEM,PRD_PCP_PMC
12,13,CIUDAD VALLES ,268,B01,390,73,70,15,12,10,2,5,5,13,22,0,0,227,6,233,91,102,22,PAN_PNA,PRI_PVEM,PRD_PCP_PMC
12,13,CIUDAD VALLES ,268,C01,390,79,63,14,9,6,4,7,5,11,17,2,0,217,4,221,95,86,27,PAN_PNA,PRI_PVEM,PRD_PCP_PMC
12,13,CIUDAD VALLES ,269,B01,409,84,69,24,8,6,1,6,6,25,13,9,0,251,8,259,115,88,40,PAN_PNA,PRI_PVEM,PRD_PCP_PMC
12,13,CIUDAD VALLES ,269,C01,409,74,71,18,9,12,6,2,5,14,11,1,0,223,10,233,93,94,27,PAN_PNA,PRI_PVEM,PRD_PCP_PMC
12,13,CIUDAD VALLES ,270,B01,468,45,94,32,19,6,6,6,7,11,29,5,0,260,13,273,63,129,49,PAN_PNA,PRI_PVEM,PRD_PCP_PMC
12,13,CIUDAD VALLES ,270,C01,468,75,94,20,12,7,7,5,4,13,28,13,0,278,6,284,92,129,45,PAN_PNA,PRI_PVEM,PRD_PCP_PMC
12,13,CIUDAD VALLES ,271,B01,649,77,102,20,21,16,8,2,8,23,32,3,0,312,19,331,108,150,33,PAN_PNA,PRI_PVEM,PRD_PCP_PMC
