Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI_PVEM,PNA,CC_PAN_PNA,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,CC_1
11,10,CIUDAD DEL MAIZ ,173,B01,705,209,210,24,56,0,499,4,503,289,PAN_PNA
11,10,CIUDAD DEL MAIZ ,173,C01,705,210,215,14,46,0,485,3,488,270,PAN_PNA
11,10,CIUDAD DEL MAIZ ,173,E01,170,55,61,2,11,0,129,8,137,68,PAN_PNA
11,10,CIUDAD DEL MAIZ ,174,B01,510,138,173,13,25,0,349,5,354,176,PAN_PNA
11,10,CIUDAD DEL MAIZ ,174,C01,510,163,169,14,0,0,346,8,354,177,PAN_PNA
11,10,CIUDAD DEL MAIZ ,175,B01,734,209,252,15,33,0,509,9,518,257,PAN_PNA
11,10,CIUDAD DEL MAIZ ,175,C01,733,182,246,17,32,0,477,19,496,231,PAN_PNA
11,10,CIUDAD DEL MAIZ ,176,B01,506,0,149,0,185,0,334,9,343,185,PAN_PNA
11,10,CIUDAD DEL MAIZ ,176,C01,505,128,164,7,23,0,322,9,331,158,PAN_PNA
11,10,CIUDAD DEL MAIZ ,176,E01,354,87,109,3,20,0,219,5,224,110,PAN_PNA
11,10,CIUDAD DEL MAIZ ,177,B01,382,125,105,4,42,0,276,3,279,171,PAN_PNA
11,10,CIUDAD DEL MAIZ ,177,C01,382,117,107,6,39,0,269,2,271,162,PAN_PNA
11,10,CIUDAD DEL MAIZ ,178,B01,372,98,160,1,17,0,276,4,280,116,PAN_PNA
11,10,CIUDAD DEL MAIZ ,179,B01,498,118,184,11,24,0,337,10,347,153,PAN_PNA
11,10,CIUDAD DEL MAIZ ,179,C01,497,105,158,9,42,0,314,10,324,156,PAN_PNA
11,10,CIUDAD DEL MAIZ ,181,B01,372,71,150,1,8,0,230,12,242,80,PAN_PNA
11,10,CIUDAD DEL MAIZ ,182,B01,603,152,190,7,26,0,375,6,381,185,PAN_PNA
11,10,CIUDAD DEL MAIZ ,182,C01,602,158,200,2,35,0,395,8,403,195,PAN_PNA
11,10,CIUDAD DEL MAIZ ,183,B01,339,83,120,4,5,0,212,1,213,92,PAN_PNA
11,10,CIUDAD DEL MAIZ ,184,B01,414,89,111,8,22,0,230,0,230,119,PAN_PNA
11,10,CIUDAD DEL MAIZ ,184,C01,413,63,123,10,29,0,225,15,240,102,PAN_PNA
11,10,CIUDAD DEL MAIZ ,185,B01,385,65,110,16,17,0,208,7,215,98,PAN_PNA
11,10,CIUDAD DEL MAIZ ,185,C01,385,75,87,29,27,0,218,8,226,131,PAN_PNA
11,10,CIUDAD DEL MAIZ ,196,B01,249,73,102,4,13,0,192,2,194,90,PAN_PNA
11,10,CIUDAD DEL MAIZ ,197,B01,589,113,189,6,30,0,338,11,349,149,PAN_PNA
11,10,CIUDAD DEL MAIZ ,198,B01,469,84,192,1,6,0,283,3,286,91,PAN_PNA
11,10,CIUDAD DEL MAIZ ,198,C01,469,60,187,4,9,0,260,8,268,73,PAN_PNA
11,10,CIUDAD DEL MAIZ ,198,E01,347,70,88,2,19,0,179,0,179,91,PAN_PNA
11,10,CIUDAD DEL MAIZ ,199,B01,320,86,123,3,18,0,230,7,237,107,PAN_PNA
11,10,CIUDAD DEL MAIZ ,200,B01,201,50,88,8,2,0,148,6,154,60,PAN_PNA
11,10,CIUDAD DEL MAIZ ,201,B01,570,58,299,4,15,0,376,17,393,77,PAN_PNA
11,10,CIUDAD DEL MAIZ ,201,C01,570,67,278,1,20,0,366,10,376,88,PAN_PNA
11,10,CIUDAD DEL MAIZ ,201,C02,569,53,303,2,12,0,370,12,382,67,PAN_PNA
11,10,CIUDAD DEL MAIZ ,202,B01,572,120,213,2,26,0,361,10,371,148,PAN_PNA
11,10,CIUDAD DEL MAIZ ,202,C01,572,169,182,4,26,0,381,6,387,199,PAN_PNA
11,10,CIUDAD DEL MAIZ ,206,B01,406,85,103,14,26,0,228,7,235,125,PAN_PNA
11,10,CIUDAD DEL MAIZ ,207,B01,157,17,73,4,5,0,99,3,102,26,PAN_PNA
11,10,CIUDAD DEL MAIZ ,208,B01,527,80,217,3,24,0,324,10,334,107,PAN_PNA
11,10,CIUDAD DEL MAIZ ,209,B01,538,82,290,2,25,0,399,15,414,109,PAN_PNA
11,10,CIUDAD DEL MAIZ ,210,B01,342,25,150,2,12,0,189,8,197,39,PAN_PNA
11,10,CIUDAD DEL MAIZ ,211,B01,541,113,195,10,45,0,363,14,377,168,PAN_PNA
11,10,CIUDAD DEL MAIZ ,214,B01,535,96,175,7,25,0,303,16,319,128,PAN_PNA
11,10,CIUDAD DEL MAIZ ,215,B01,447,89,120,8,18,0,235,11,246,115,PAN_PNA
11,10,CIUDAD DEL MAIZ ,216,B01,364,94,120,3,24,0,241,8,249,121,PAN_PNA
11,10,CIUDAD DEL MAIZ ,217,B01,481,146,142,2,14,0,304,6,310,162,PAN_PNA
11,10,CIUDAD DEL MAIZ ,217,C01,481,147,132,1,9,0,289,9,298,157,PAN_PNA
11,10,CIUDAD DEL MAIZ ,218,B01,177,24,79,4,6,0,113,4,117,34,PAN_PNA
