Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PRD,PT,PVEM,PCP,PMC,PNA,CC_PAN_PNA,CC_PRI_PVEM,CC_PRD_PT_PCP_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC,CC_1,CC_2,CC_3
15,58,MATLAPA ,1349,B01,508,110,165,25,8,52,2,2,21,0,0,0,0,385,11,396,131,217,37,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1349,C01,507,103,232,13,1,11,2,0,2,0,0,0,0,364,15,379,105,243,16,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1350,B01,404,95,122,7,4,6,2,1,0,11,34,3,0,285,11,296,106,162,17,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1350,C01,403,101,110,8,3,11,0,3,5,10,37,6,0,294,9,303,116,158,20,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1351,B01,536,79,174,28,3,9,1,3,3,12,41,11,0,364,22,386,94,224,46,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1351,C01,536,108,149,23,5,10,2,4,2,13,43,12,0,371,20,391,123,202,46,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1352,B01,743,171,227,19,5,16,2,4,6,27,55,7,0,539,43,582,204,298,37,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1353,B01,692,208,212,17,3,8,1,2,3,24,34,4,2,518,20,538,235,254,27,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1353,C01,692,154,206,19,4,11,6,2,3,28,45,12,0,490,32,522,185,262,43,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1354,B01,219,48,60,4,0,2,0,0,5,4,3,0,0,126,5,131,57,65,4,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1355,B01,541,119,184,14,2,7,0,3,3,22,49,5,0,408,6,414,144,240,24,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1355,C01,541,92,158,10,3,10,0,0,4,28,89,4,0,398,14,412,124,257,17,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
15,58,MATLAPA ,1355,C02,541,94,190,14,0,8,0,1,3,18,73,8,0,409,5,414,115,271,23,PAN_PNA,PRI_PVEM,PRD_PT_PCP_PMC
