Dto Local,Nom Mpio,Municipio,No. de Seccion,Tipo,Lista Nominal,PAN,PRI,PT,PVEM,PMC,PNA,CC_PAN_PNA,CC_PRI_PVEM,CC_PT_PMC,FORMULAS NO REGISTRADAS,VOTACION VALIDA EMITIDA,VOTOS NULOS,VOTACION EMITIDA,PAN_PNA,PRI_PVEM,PT_PMC,CC_1,CC_2,CC_3
14,55,XILITLA ,1726,B01,548,127,129,10,10,9,5,39,58,4,0,391,11,402,171,197,23,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1726,C01,548,139,122,10,9,6,3,35,58,7,0,389,12,401,177,189,23,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1726,C02,547,134,125,5,11,6,9,29,49,7,0,375,6,381,172,185,18,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1727,B01,602,128,152,15,10,9,10,24,64,7,0,419,5,424,162,226,31,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1727,C01,602,129,139,19,11,11,8,35,81,6,0,439,10,449,172,231,36,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1728,B01,386,78,85,5,2,6,6,16,54,2,0,254,5,259,100,141,13,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1728,C01,385,100,100,3,8,9,7,15,36,1,0,279,8,287,122,144,13,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1729,B01,704,185,180,5,5,8,7,46,68,5,0,509,15,524,238,253,18,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1730,B01,529,118,145,4,9,3,11,38,66,2,0,396,12,408,167,220,9,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1730,C01,528,144,114,3,8,5,7,37,46,4,0,368,13,381,188,168,12,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1730,C02,528,141,90,4,7,7,5,39,58,4,0,355,13,368,185,155,15,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1731,B01,509,105,122,3,10,2,5,17,27,2,0,293,27,320,127,159,7,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1731,C01,508,114,104,5,5,3,8,10,29,1,0,279,33,312,132,138,9,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1732,B01,541,153,137,5,9,8,10,12,43,4,0,381,22,403,175,189,17,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1732,C01,540,146,135,5,3,6,9,16,39,10,0,369,41,410,171,177,21,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1733,B01,510,112,161,9,7,10,7,15,51,1,0,373,23,396,134,219,20,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1734,B01,390,89,69,4,4,3,3,15,52,3,0,242,10,252,107,125,10,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1735,B01,648,232,162,5,7,5,8,15,26,0,0,460,10,470,255,195,10,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1736,B01,148,35,42,0,2,0,1,2,19,0,0,101,2,103,38,63,0,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1737,B01,453,147,106,0,33,16,23,0,0,0,0,325,18,343,170,139,16,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1738,B01,446,120,170,2,6,3,2,14,42,2,0,361,8,369,136,218,7,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1739,B01,535,155,154,6,3,2,3,12,51,4,0,390,7,397,170,208,12,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1739,C01,534,156,140,1,9,0,3,20,44,2,0,375,17,392,179,193,3,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1740,B01,669,111,151,12,10,8,2,14,70,3,0,381,25,406,127,231,23,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1741,B01,454,127,118,7,5,3,4,8,28,0,0,300,5,305,139,151,10,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1741,C01,453,151,143,8,4,10,8,13,41,6,0,384,10,394,172,188,24,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1742,B01,344,65,109,3,11,6,2,14,41,2,0,253,12,265,81,161,11,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1743,B01,459,117,126,12,8,12,1,11,38,3,0,328,20,348,129,172,27,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1744,B01,477,80,148,3,8,3,3,14,59,2,0,320,15,335,97,215,8,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1745,B01,216,81,53,3,3,2,5,3,20,0,0,170,0,170,89,76,5,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1746,B01,308,54,72,6,3,7,3,17,35,14,0,211,13,224,74,110,27,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1747,B01,448,125,108,1,6,3,3,15,55,0,0,316,18,334,143,169,4,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1747,C01,448,131,107,3,5,5,1,14,61,2,0,329,10,339,146,173,10,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1748,B01,397,89,119,3,5,5,6,15,41,5,0,288,20,308,110,165,13,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1749,B01,399,126,96,2,5,0,2,16,34,1,0,282,14,296,144,135,3,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1749,C01,398,125,114,2,3,0,2,9,28,2,0,285,15,300,136,145,4,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1750,B01,711,161,153,14,11,17,6,14,87,7,0,470,20,490,181,251,38,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1751,B01,470,98,129,5,5,10,3,12,22,3,0,287,17,304,113,156,18,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1751,C01,469,103,101,2,3,6,6,12,28,4,0,265,18,283,121,132,12,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1752,B01,568,141,113,9,14,5,3,16,83,1,0,385,13,398,160,210,15,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1753,B01,389,144,69,6,7,9,11,11,20,0,0,277,13,290,166,96,15,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1753,C01,389,110,73,7,4,2,8,10,25,4,0,243,18,261,128,102,13,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1754,B01,514,126,152,4,8,11,2,16,32,4,0,355,19,374,144,192,19,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1755,B01,423,82,92,2,5,2,7,22,42,0,0,254,15,269,111,139,4,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1755,C01,423,67,79,1,6,2,2,22,52,2,0,233,12,245,91,137,5,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1756,B01,365,102,91,5,5,1,6,12,52,0,0,274,12,286,120,148,6,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1757,B01,152,61,20,1,2,1,0,8,5,0,0,98,5,103,69,27,2,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1757,E01,250,85,60,3,3,6,3,16,24,4,0,204,9,213,104,87,13,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1758,B01,417,51,144,6,4,16,5,15,40,7,0,288,19,307,71,188,29,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1759,B01,605,127,150,3,14,3,5,15,81,1,0,399,26,425,147,245,7,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1760,B01,506,124,141,4,8,3,5,6,28,5,0,324,11,335,135,177,12,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1760,C01,505,80,201,3,9,5,5,0,0,0,0,303,14,317,85,210,8,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1761,B01,351,66,115,2,6,1,3,15,33,1,0,242,12,254,84,154,4,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1762,B01,501,114,147,2,7,4,4,15,24,4,0,321,14,335,133,178,10,PAN_PNA,PRI_PVEM,PT_PMC
14,55,XILITLA ,1762,C01,500,108,149,6,4,4,2,18,34,0,0,325,12,337,128,187,10,PAN_PNA,PRI_PVEM,PT_PMC
