ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PCU,MORENA,PH,ES,MVC,CAND_IND9,PRI_PVEM_NVA_ALIANZA_PCU,PRI_PVEM_PCU,PVEM_NVA_ALIANZA_PCU,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,153,350,18059,7935,1974,2020,,1955,,,12630,1221,2066,1350,,,,28291,195,77501,5525,83221,206695,0.4026
7,CHIAPAS,2,TUXTLA GUTIERREZ PONIENTE,79,317,26052,,1502,1455,,1629,,,9918,789,1553,1164,3021,34092,,,165,81175,4113,85453,202230,0.4226
7,CHIAPAS,3,CHIAPA DE CORZO,69,206,3530,17701,1031,2077,,1189,,,9834,519,725,9196,,,,35378,73,81180,3506,84759,121872,0.6955
7,CHIAPAS,4,VENUSTIANO CARRANZA,44,128,490,,3279,3024,,2528,,,2156,313,160,3020,,33205,,,10,48175,3200,51385,73794,0.6963
7,CHIAPAS,5,SAN CRISTOBAL DE LAS CASAS,62,240,4043,,5315,1492,,1464,,,11244,1257,2700,9079,,33302,,,100,69896,5801,75797,144014,0.5263
7,CHIAPAS,6,COMITAN DE DOMINGUEZ,109,306,1256,31581,1658,1488,,555,,,5246,509,558,18849,,,,51451,120,113151,6534,119805,178462,0.6713
7,CHIAPAS,7,OCOSINGO,119,446,8006,,1827,1808,,9540,,,8916,767,410,2246,,86411,,,0,119931,8033,127964,230399,0.5554
7,CHIAPAS,8,YAJALON,57,192,763,,8534,1686,,675,,,7211,505,,6169,,51795,,,495,77338,4169,82002,104890,0.7818
7,CHIAPAS,9,PALENQUE,70,236,3428,,1175,4480,,1341,,,5219,700,166,7385,,29657,,,0,53551,2938,56489,132404,0.4266
7,CHIAPAS,10,BOCHIL,46,150,1267,,3081,1106,,1216,,,3586,218,188,4229,,45074,,,28,59965,2923,62916,76842,0.8188
7,CHIAPAS,11,PUEBLO NUEVO SOLISTAHUACAN,31,94,2716,,7562,1120,,925,,,3004,141,94,8187,,16748,,,8,40497,2901,43406,50207,0.8645
7,CHIAPAS,12,PICHUCALCO,88,227,2229,,5797,1811,,1349,3147,,3414,381,796,8441,,,55110,,38,82475,3987,86500,117654,0.7352
7,CHIAPAS,13,COPAINALA,69,172,3365,,3750,1971,,1496,,,7409,546,238,7358,,39776,,,31,65909,4100,70040,88950,0.7874
7,CHIAPAS,14,CINTALAPA,104,296,4685,,5486,1902,,7845,,,7633,1088,1943,10455,,66832,,,62,107869,5253,113184,170086,0.6655
7,CHIAPAS,15,TONALA,116,300,7682,,4069,4854,,3250,,,6852,1210,323,8132,,56427,,,20,92799,3716,96535,158604,0.6087
7,CHIAPAS,16,HUIXTLA,121,318,4919,,7665,5317,,1612,,,14137,1016,702,8254,,62862,,,31,106484,5632,112147,169920,0.66
7,CHIAPAS,17,MOTOZINTLA,134,367,1471,28205,6684,5826,,2548,,,4879,672,264,2482,,,,55099,20,108130,7912,116062,194184,0.5977
7,CHIAPAS,18,TAPACHULA NORTE,69,159,2384,,1139,1671,,708,,,10611,550,446,2197,,17602,,,24,37308,2343,39675,85828,0.4623
7,CHIAPAS,19,TAPACHULA SUR,103,244,3378,,1034,888,,1052,,,15963,948,543,3308,,27698,,,56,54812,2446,57314,132975,0.431
7,CHIAPAS,20,LAS MARGARITAS,63,219,277,,12019,617,,614,,,895,392,59,3371,,51882,,,19,70126,6141,76286,110274,0.6918
7,CHIAPAS,21,TENEJAPA,61,193,514,19787,9451,462,26551,367,,2757,2654,327,402,1279,,,,,296,64551,9334,74181,94106,0.7883
7,CHIAPAS,22,CHAMULA,103,296,400,45225,6070,3350,,279,,,1338,,139,2881,,,,53948,44,113630,4490,118164,149383,0.791
7,CHIAPAS,23,VILLAFLORES,116,313,3218,,8558,4257,,2009,,,9903,1102,1329,17392,,66316,,,35,114084,4929,119048,174738,0.6813
7,CHIAPAS,24,CACAHOATAN,77,189,7352,14696,3930,1838,,2039,,,8203,784,335,8116,,,,22562,11,69855,3287,73153,103586,0.7062
