CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PCU,MORENA,PH,ES,MVC,CAND_IND9,PRI_PVEM_NVA_ALIANZA_PCU,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PCU,PRI_NVA_ALIANZA_PCU,PVEM_NVA_ALIANZA_PCU,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PCU,PVEM_NVA_ALIANZA,PVEM_PCU,NVA_ALIANZA_PCU,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1604,5,172,237,28,114,422,7,24,39,100,11,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1216,98,1314,3087
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1605,4,157,184,15,11,393,16,15,78,139,14,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1072,80,1152,2955
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1607,3,105,108,18,112,204,5,9,29,80,21,10,15,0,0,0,0,0,0,0,0,0,0,0,0,1,716,60,777,2107
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1608,6,189,147,46,16,825,21,25,16,205,19,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1558,137,1695,4108
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1610,9,480,182,64,61,535,60,29,15,386,26,60,46,0,0,0,0,0,0,0,0,0,0,0,0,3,1944,118,2065,5409
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1611,5,223,223,20,29,352,21,14,28,249,17,29,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1225,107,1332,3598
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1612,4,209,99,20,10,304,11,20,20,166,12,22,17,0,0,0,0,0,0,0,0,0,0,0,0,7,910,67,984,2389
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1618,3,188,83,14,27,228,11,16,11,170,8,19,11,0,0,0,0,0,0,0,0,0,0,0,0,2,786,45,833,2029
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1619,3,231,79,22,31,175,18,16,4,179,8,22,6,0,0,0,0,0,0,0,0,0,0,0,0,2,791,48,841,1828
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1620,3,326,79,25,10,192,30,19,2,186,14,47,17,0,0,0,0,0,0,0,0,0,0,0,0,7,947,82,1036,2203
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1621,2,105,49,14,14,86,7,9,3,64,4,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,376,29,405,839
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1622,8,362,184,44,29,987,44,39,67,242,23,36,35,0,0,0,0,0,0,0,0,0,0,0,0,2,2092,116,2210,5654
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1623,3,81,127,28,14,487,17,19,44,90,12,15,16,0,0,0,0,0,0,0,0,0,0,0,0,2,950,67,1019,2249
