CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PCU,MORENA,PH,ES,MVC,CAND_IND9,PRI_PVEM_NVA_ALIANZA_PCU,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_PCU,PRI_NVA_ALIANZA_PCU,PVEM_NVA_ALIANZA_PCU,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PCU,PVEM_NVA_ALIANZA,PVEM_PCU,NVA_ALIANZA_PCU,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1604,B,33,46,4,3,102,1,3,2,23,1,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,231,24,255,617,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas_dip/Distrito 1/1604_B.pdf
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1604,C01,33,53,9,102,3,1,6,21,1,5,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,257,20,277,617,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas_dip/Distrito 1/1604_C1.pdf
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1604,C02,35,50,4,2,91,3,6,4,23,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,227,36,263,617,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas_dip/Distrito 1/1604_C2.pdf
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1604,C03,31,38,2,3,114,2,6,9,27,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,242,618,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas_dip/Distrito 1/1604_C3.pdf
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1604,C04,40,50,9,4,112,0,3,3,26,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,259,18,277,618,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas_dip/Distrito 1/1604_C4.pdf
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1605,B,42,52,4,2,96,4,4,17,35,2,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,270,13,283,738,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas_dip/Distrito 1/1605_B.pdf
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1605,C01,38,53,3,5,100,6,7,19,31,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,275,28,303,739,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas_dip/Distrito 1/1605_C1.pdf
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1605,C02,46,35,4,3,84,4,4,24,38,3,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,264,17,281,739,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas_dip/Distrito 1/1605_C2.pdf
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1605,C03,31,44,4,1,113,2,0,18,35,6,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,263,22,285,739,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas_dip/Distrito 1/1605_C3.pdf
1,7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,102,TUXTLA GUTIERREZ,1607,B,40,34,5,103,4,1,1,27,12,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,16,252,702,ACTA CASILLA,,,www.iepc-chiapas.org.mx/SICEE/actas_dip/Distrito 1/1607_B.pdf
