ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,PCPP,PSI,MORENA,ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,1,XICOTEPEC DE JUAREZ,106,286,31792,21327,3851,3411,5125,3791,3571,3580,823,29496,994,107761,14,5969,113744,153385,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,2,HUAUCHINANGO DE DEGOLLADO,99,270,23728,28718,5043,3236,4091,4946,3079,2919,2450,26799,1659,106668,313,6399,113380,152624,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/02_HUAUCHINANGO_ACTA_FINAL_ESCRUTINIO_CONSEJO_GENERAL_IEE_DIPUTACIONES_M_R_26.jpg
21,PUEBLA,3,ZACATLAN,96,287,29792,27163,1956,4098,4029,3399,4528,1072,1141,29287,1257,107722,51,6430,114203,162264,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,4,ZACAPOAXTLA,116,285,21822,31858,9277,4221,5679,5708,3419,4458,1609,23258,1113,112422,42,7597,120061,160165,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,5,TLATLAUQUITEPEC,106,266,23871,25584,1829,5297,4263,2754,6541,2023,4439,21821,1195,99617,56,6960,106633,153087,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,6,TEZIUTLAN,92,264,23833,26762,1407,3389,7039,4465,4667,7452,1950,26761,1723,109448,70,6134,115652,160379,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,7,SAN MARTIN TEXMELUCAN DE LABASTIDA,88,281,20508,14916,2978,5432,4319,2051,4510,7045,3360,35617,2097,102833,75,5566,108474,174616,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,8,HUEJOTZINGO,80,271,17730,14144,4692,5252,4957,7030,3623,4498,2441,42924,2231,109522,107,6863,116492,174128,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,9,HEROICA PUEBLA DE ZARAGOZA,75,292,30615,11687,2707,4049,4150,2227,2187,1465,755,52932,2988,115762,128,4866,120756,189340,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
21,PUEBLA,10,HEROICA PUEBLA DE ZARAGOZA,123,324,23702,10168,1382,4873,4216,2017,2096,1113,852,52828,2874,106121,92,4634,110847,196030,https://www.ieepuebla.org.mx/2018/acuerdos/CG/CG_AC_124_2018_COMPLETO.pdf
