ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PRI,PRD,PT,PVEM,MC,NA,PCPP,PSI,MORENA,ES,PAN_PRD_MC_PCPP_PSI,PT_MORENA_ES,C_COMUN_PAN_PRD_MC_NA_PCPP_PSI,C_COMUN_PAN_PRD_MC_PCPP,C_COMUN_PAN_PRD_MC_PSI,C_COMUN_PAN_PRD_PCPP_PSI,C_COMUN_PAN_MC_PCPP_PSI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,1,XICOTEPEC DE JUAREZ,106,286,21327,,,5125,,3571,,,,,43837,33901,,,,,,107761,14,5969,113744,153385,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/01_XICOTEPEC_ACTA_FINAL_DE_ESCRUTINIO_DISTRITAL_DIPUTACIONES_RECUENTO_M_R_13.jpg
21,PUEBLA,2,HUAUCHINANGO DE DEGOLLADO,99,270,28718,,,4091,,3079,,,,,39086,31694,,,,,,106668,313,6399,113380,152624,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/02_HUAUCHINANGO_ACTA_FINAL_ESCRUTINIO_CONSEJO_GENERAL_IEE_DIPUTACIONES_M_R_26.jpg
21,PUEBLA,3,ZACATLAN,96,287,27163,,,4029,,4528,,,,,37360,34642,,,,,,107722,51,6430,114203,162264,
21,PUEBLA,4,ZACAPOAXTLA,116,285,31858,,,5679,,3419,,,,,42874,28592,,,,,,112422,42,7597,120061,160165,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/04_ZACAPOAXTLA_ACTA_FINAL_DE_ESCRUTINIO_DISTRITAL_DIPUTACIONES_RECUENTO_M_R_13.jpg
21,PUEBLA,5,TLATLAUQUITEPEC,106,266,25584,,,4263,,6541,,,,,34916,28313,,,,,,99617,56,6960,106633,153087,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/05_TLATLAUQUITEPEC_ACTA_FINAL_DE_ESCRUTINIO_DISTRITAL_DIPUTACIONES_RECUENTO_M_R_13.jpg
21,PUEBLA,6,TEZIUTLAN,92,264,26762,,,7039,,4667,,,,,39107,31873,,,,,,109448,70,6134,115652,160379,
21,PUEBLA,7,SAN MARTIN TEXMELUCAN DE LABASTIDA,88,281,14916,,,4319,,4510,7045,,,,,43146,,,28897,,,102833,75,5566,108474,174616,
21,PUEBLA,8,HUEJOTZINGO,80,271,14144,,,4957,,3623,,,,,36391,50407,,,,,,109522,107,6863,116492,174128,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/08_HUEJOTZINGO_ACTA_FINAL_DE_ESCRUTINIO_DISTRITAL_DIPUTACIONES_RECUENTO_M_R_13.jpg
21,PUEBLA,9,HEROICA PUEBLA DE ZARAGOZA,75,292,11687,,,4150,,2187,,,,,37769,59969,,,,,,115762,128,4866,120756,189340,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/09_PUEBLA_ACTA_FINAL_DE_ESCRUTINIO_DISTRITAL_DIPUTACIONES_RECUENTO_M_R_13.jpg
21,PUEBLA,10,HEROICA PUEBLA DE ZARAGOZA,123,324,10168,,,4216,2017,2096,,,,,,60575,,,,27049,,106121,92,4634,110847,196030,
21,PUEBLA,11,HEROICA PUEBLA DE ZARAGOZA,48,268,15178,,,5853,,1600,,,,,26166,52866,,,,,,101663,136,3799,105598,180125,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/11_PUEBLA_ACTA_FINAL_DE_ESCRUTINIO_DISTRITAL_DIPUTACIONES_RECUENTO_M_R_13.jpg
21,PUEBLA,12,AMOZOC DE MOTA,69,264,12404,,,3320,,4233,,,,,33505,55181,,,,,,108643,132,5637,114412,168910,
21,PUEBLA,13,TEPEACA,78,263,18788,,,7453,,1873,,,,,37192,41256,,,,,,106562,51,5264,111877,161817,https://www.ieepuebla.org.mx/2018/computos/dip/distritales/dmr/13_TEPEACA_ACTA_DE_COMPUTO_DISTRITAL_DIPUTACIONES_M_R_12.jpg
21,PUEBLA,14,CIUDAD SERDAN,108,274,14837,,,3240,,8859,,,,,48845,31500,,,,,,107281,18,7284,114583,156517,
21,PUEBLA,15,TECAMACHALCO,74,253,12550,,,3886,,1404,,13456,,,,49215,,20236,,,,100747,44,6885,107676,155988,
21,PUEBLA,16,HEROICA PUEBLA DE ZARAGOZA,125,328,13870,,,3990,,1212,,,,,38074,61831,,,,,,118977,108,5054,124139,198393,
