ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,PCPP,PSI,MORENA,ES,PAN_PRD_MC_PCPP_PSI,PAN_PRD_MC_PCPP,PAN_PRD_MC_PSI,PAN_PRD_PCPP_PSI,PAN_MC_PCPP_PSI,PRD_MC_PCPP_PSI,PAN_PRD_MC,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_MC_PCPP,PAN_MC_PSI,PAN_PCPP_PSI,PRD_MC_PCPP,PRD_MC_PSI,PRD_PCPP_PSI,MC_PCPP_PSI,PAN_PRD,PAN_MC,PAN_PCPP,PAN_PSI,PRD_MC,PRD_PCPP,PRD_PSI,MC_PCPP,MC_PSI,PCPP_PSI,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PAN_PRD_MC_NA_PCPP_PSI,PAN_PRD_MC_NA_PCPP,PAN_PRD_MC_NA_PSI,PAN_PRD_MC_PCPP_PSI,PAN_PRD_NA_PCPP_PSI,PAN_MC_NA_PCPP_PSI,PRD_MC_NA_PCPP_PSI,PAN_PRD_MC_NA,PAN_PRD_MC_PCPP,PAN_PRD_MC_PSI,PAN_PRD_NA_PCPP,PAN_PRD_NA_PSI,PAN_PRD_PCPP_PSI,PAN_MC_NA_PCPP,PAN_MC_NA_PSI,PAN_MC_PCPP_PSI,PAN_NA_PCPP_PSI,PRD_MC_NA_PCPP,PRD_MC_NA_PSI,PRD_MC_PCPP_PSI,PRD_NA_PCPP_PSI,MC_NA_PCPP_PSI,PAN_PRD_MC,PAN_PRD_NA,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_MC_NA,PAN_MC_PCPP,PAN_MC_PSI,PAN_NA_PCPP,PAN_NA_PSI,PAN_PCPP_PSI,PRD_MC_NA,PRD_MC_PCPP,PRD_MC_PSI,PRD_NA_PCPP,PRD_NA_PSI,PRD_PCPP_PSI,MC_NA_PCPP,MC_NA_PSI,MC_PCPP_PSI,NA_PCPP_PSI,PAN_PRD,PAN_MC,PAN_NA,PAN_PCPP,PAN_PSI,PRD_MC,PRD_NA,PRD_PCPP,PRD_PSI,MC_NA,MC_PCPP,MC_PSI,NA_PCPP,NA_PSI,PCPP_PSI,C_COMUN_PAN_PRD_MC_PCPP,PAN_PRD_MC,PAN_PRD_PCPP,PAN_MC_PCPP,PRD_MC_PCPP,PAN_PRD,PAN_MC,PAN_PCPP,PRD_MC,PRD_PCPP,MC_PCPP,C_COMUN_PAN_PRD_MC_PSI,PAN_PRD_MC,PAN_PRD_PSI_,PAN_MC_PSI,PRD_MC_PSI,PAN_PRD,PAN_MC,PAN_PSI,PRD_MC,PRD_PSI,MC_PSI,C_COMUN_PAN_PRD_PCPP_PSI,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_PCPP_PSI,PRD_PCPP_PSI,PAN_PRD,PAN_PCPP,PAN_PSI,PRD_PCPP,PRD_PSI,PCPP_PSI,C_COMUN_PAN_MC_PCPP_PSI,PAN_MC_PCPP,PAN_MC_PSI,PAN_PCPP_PSI,MC_PCPP_PSI,PAN_MC,PAN_PCPP,PAN_PSI,MC_PCPP,MC_PSI,PCPP_PSI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,11,ALBINO ZERTUCHE,1,2,418,399,3,16,11,9,3,1,34,119,69,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1091,0,31,1122,1445,
21,PUEBLA,12,ALJOJUCA,4,9,1164,451,78,58,54,234,345,541,137,544,25,12,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,7,7,9,1,9,2,1,1,0,3,6,5,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3700,0,239,3939,4858,
21,PUEBLA,13,ALTEPEXI,6,21,1407,1758,111,177,188,942,968,1036,42,3439,202,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,2,8,0,11,1,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10301,2,765,11068,13488,
21,PUEBLA,14,AMIXTLAN,3,7,323,463,801,40,521,29,14,11,3,307,11,3,1,1,0,0,0,2,1,1,0,0,1,1,0,0,0,9,0,0,0,6,1,1,0,0,0,4,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2558,2,156,2716,3459,
21,PUEBLA,15,AMOZOC,18,101,8130,4041,472,1672,1358,1529,2050,845,2068,16197,1419,89,9,15,12,8,1,26,4,7,3,6,8,1,4,0,6,82,49,22,18,3,3,6,21,144,15,617,165,31,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41372,14,1834,43220,68752,
21,PUEBLA,16,AQUIXTLA,5,10,1041,1881,48,68,86,394,165,132,11,442,27,4,1,0,0,1,0,5,0,1,1,0,0,0,2,0,0,8,9,55,2,6,1,0,2,3,1,18,4,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4431,0,309,4740,6004,
21,PUEBLA,17,ATEMPAN,9,31,1787,3293,112,605,221,139,2687,63,52,2436,64,6,1,0,0,0,1,8,1,1,0,1,2,1,0,1,3,16,2,3,1,0,0,1,1,0,6,55,16,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11604,2,898,12504,18161,
21,PUEBLA,18,ATEXCAL,6,7,609,758,20,31,19,20,31,82,4,406,10,5,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,5,2,15,0,1,0,0,0,0,0,6,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2036,0,138,2174,2775,
21,PUEBLA,82,ATLEQUIZAYAN,2,4,207,750,6,23,13,7,2,3,0,539,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568,0,40,1608,1889,
21,PUEBLA,19,ATLIXCO,68,170,18036,9972,766,1418,4080,622,1168,350,486,23705,798,139,11,20,6,7,2,69,12,18,10,7,7,1,0,1,3,99,27,31,7,4,4,2,6,4,3,489,145,36,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62735,85,2736,65556,103235,
21,PUEBLA,20,ATOYATEMPAN,2,7,242,489,66,233,129,66,47,134,239,1917,33,4,1,4,0,0,0,1,0,0,1,0,2,0,0,0,0,4,0,7,4,1,0,0,1,6,2,63,31,9,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3754,1,175,3930,4905,
21,PUEBLA,21,ATZALA,1,2,161,252,7,11,203,17,16,46,2,116,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,0,37,887,1074,
21,PUEBLA,22,ATZITZIHUACAN,9,18,1569,1851,889,173,122,309,52,26,40,905,36,24,1,1,3,0,0,33,1,5,1,0,0,0,0,0,0,36,3,0,0,9,0,1,0,0,0,35,6,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6140,1,397,6538,9014,
21,PUEBLA,23,ATZITZINTLA,5,13,216,393,466,150,83,1266,949,30,33,859,18,3,0,0,7,0,0,8,0,0,0,0,0,1,0,0,0,11,9,0,0,0,0,0,3,2,0,33,4,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4557,0,340,4897,6190,
21,PUEBLA,24,AXUTLA,2,3,290,224,23,16,2,0,1,1,0,107,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,667,0,38,705,1059,
21,PUEBLA,25,AYOTOXCO DE GUERRERO,4,10,1037,1166,116,78,516,39,29,327,22,707,25,5,2,1,1,2,0,4,0,0,0,0,0,0,0,0,0,2,2,6,3,0,0,1,3,1,1,11,5,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4115,4,191,4310,5880,
21,PUEBLA,26,CALPAN,8,18,997,751,147,243,422,578,223,91,375,2256,214,18,0,3,1,1,0,2,1,3,2,1,2,0,2,0,0,10,14,7,2,2,0,1,2,5,6,61,22,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6482,3,529,7014,10576,
21,PUEBLA,27,CALTEPEC,7,10,896,897,29,34,103,286,16,10,17,396,14,2,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,6,0,0,7,0,0,0,1,0,5,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2728,1,126,2855,3572,
21,PUEBLA,28,CAMOCUAUTLA,2,3,86,493,12,17,5,620,5,4,9,358,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1620,0,60,1680,1855,
21,PUEBLA,29,CAÑADA MORELOS,9,25,1411,1775,118,383,421,110,83,415,342,2974,71,48,2,0,1,0,0,1,13,0,0,0,1,0,0,0,0,2,1,3,16,0,0,0,0,1,0,70,34,19,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8337,0,524,8861,13797,
21,PUEBLA,30,CAXHUACAN,2,4,153,603,24,60,116,73,25,363,78,617,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2135,0,116,2251,2796,
21,PUEBLA,46,CHALCHICOMULA DE SESMA,24,57,5987,1932,453,476,596,549,613,3140,227,5914,199,116,14,17,10,8,5,86,13,16,10,6,10,3,2,3,7,67,50,107,15,4,10,2,28,4,5,244,69,10,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21110,8,1118,22236,33128,
21,PUEBLA,47,CHAPULCO,3,8,692,743,75,103,335,383,29,38,310,838,25,2,0,0,0,0,0,3,1,3,4,1,0,0,0,0,0,4,6,0,5,1,0,3,5,2,0,7,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3624,0,181,3805,4888,
21,PUEBLA,48,CHIAUTLA,17,33,1403,2745,138,223,167,104,266,1231,185,3213,146,,,,,,,,,,,,,,,,,,,,,,,,,,,104,25,6,45,15,0,2,0,2,4,1,0,0,8,0,2,2,0,0,0,0,0,0,0,0,0,2,3,2,1,0,2,0,1,4,4,0,0,0,0,0,1,0,0,0,1,13,9,7,19,3,0,2,7,0,0,5,1,6,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10133,0,448,10581,16307,
21,PUEBLA,49,CHIAUTZINGO,8,23,1513,1642,161,500,224,207,49,275,539,3040,114,15,2,2,0,4,0,11,2,2,2,4,1,1,0,0,1,5,3,4,6,2,1,2,1,5,5,86,48,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8504,21,445,8970,14334,
21,PUEBLA,51,CHICHIQUILA,9,24,1934,2617,210,323,94,140,1681,525,228,1745,77,7,1,3,1,0,0,87,4,1,2,1,0,0,2,0,3,40,11,8,4,4,6,2,0,1,6,94,38,6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9928,2,823,10753,14444,
21,PUEBLA,50,CHICONCUAUTLA,7,19,1990,3390,113,94,70,31,1377,10,25,208,12,239,2,3,1,2,0,12,0,5,0,0,1,0,0,0,3,40,6,0,3,0,0,1,0,0,0,12,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7652,1,569,8222,10348,
21,PUEBLA,52,CHIETLA,20,48,2769,3259,312,1246,505,1392,671,1708,747,4920,181,,,,,,,,,,,,,,,,,,,,,,,,,,,107,26,4,27,45,4,7,7,4,4,0,1,1,17,0,4,0,1,0,0,1,1,1,0,0,0,8,6,0,2,4,1,2,3,1,2,1,1,2,1,0,0,2,0,3,1,50,13,15,32,3,8,1,4,2,5,22,3,8,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18188,3,969,19160,27640,
21,PUEBLA,53,CHIGMECATITLAN,2,2,236,324,32,13,0,25,0,13,1,275,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,926,0,41,967,1111,
21,PUEBLA,54,CHIGNAHUAPAN,28,77,12347,5685,361,1351,519,329,1089,112,192,7763,272,56,14,9,5,7,6,19,8,4,5,3,1,0,1,0,1,51,24,13,9,2,1,3,1,0,2,177,102,13,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30600,20,1602,32222,44566,
21,PUEBLA,55,CHIGNAUTLA,7,34,1979,3587,166,564,1333,338,379,1311,365,3502,412,13,7,2,2,3,0,1,3,1,2,3,2,3,0,0,2,15,6,17,5,2,3,1,83,2,1,182,37,23,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14425,13,924,15362,21286,
21,PUEBLA,56,CHILA,4,8,137,1164,977,40,26,44,12,7,6,351,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,2771,0,132,2903,3935,
