ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAS,MORENA,ES,C_COMUN_PRI_NVA_ALIANZA,C_COMUN_MC_PAS,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
25,SINALOA,1,AHOME,455,638,39703,42318,2822,1464,2057,926,21927,14522,6812,1183,,132,,2988,11886,,,,,,,,,146,148740,4576,153462,307269,0.4994
25,SINALOA,2,ANGOSTURA,106,108,988,6528,3717,119,400,370,,10199,241,436,,193,,,,,,,,,,,,4,23191,550,23745,35327,0.6721
25,SINALOA,3,BADIRAGUATO,65,67,313,6490,3066,508,1039,228,130,927,48,66,16,,,,,,,,,,,,,5,12831,581,13417,22191,0.6046
25,SINALOA,7,CHOIX,71,74,8366,5642,703,47,,119,329,211,25,,23,4,,,,,,,,,,,,1,15469,308,15778,23430,0.6734
25,SINALOA,4,CONCORDIA,46,49,1340,6512,740,173,341,139,,1572,514,97,,1,,,,,,,,,,,102,0,11531,426,11957,20934,0.5712
25,SINALOA,5,COSALA,34,37,344,2431,156,206,29,17,157,4355,65,,10,13,,,,,,,,,,,,2,7783,243,8028,11881,0.6757
25,SINALOA,6,CULIACAN,1013,1396,35795,111458,7791,3063,4192,3372,4695,53672,17118,5744,233,269,,,,,,,,,,,,308,247402,9996,257706,653066,0.3946
25,SINALOA,10,EL FUERTE,176,184,7629,13912,742,524,5727,449,503,7969,689,1008,27,38,988,,,,,,,,,,,32,40205,1054,41291,71498,0.5775
25,SINALOA,8,ELOTA,60,73,2413,7369,373,,180,311,,5193,211,,,,,,,,,,,,,,,4,16050,504,16558,28191,0.5874
25,SINALOA,9,ESCUINAPA,64,84,6064,6379,1416,,,6037,384,1008,664,96,39,,,,,,,,,,,,,8,22087,576,22671,39585,0.5727
25,SINALOA,11,GUASAVE,438,496,18511,53950,2410,1378,1286,1163,,14888,1916,1008,,105,,,,1514,16729,1126,,,,,,15,115984,3167,119166,204240,0.5835
25,SINALOA,12,MAZATLAN,501,695,44152,42294,2408,,2967,2052,1800,20323,10492,1126,128,101,,,,,,,,2460,4056,1435,,150,135794,5214,141158,334891,0.4215
25,SINALOA,13,MOCORITO,131,117,1094,8661,295,,,336,246,9101,251,153,46,,,,,,,,,,,,,2,20183,571,20756,35020,0.5927
25,SINALOA,18,NAVOLATO,174,218,4036,17595,848,474,10534,753,,13658,1821,979,,,,,,,,,,,,,,30,50698,1697,52425,100611,0.5211
25,SINALOA,14,ROSARIO,88,97,11203,6556,2203,,,37,246,1395,347,122,176,37,,,,,,,,,,,,3,22322,511,22836,37364,0.6112
25,SINALOA,15,SALVADOR ALVARADO,149,164,4145,17025,1148,391,370,416,549,5263,645,1039,23,17,,,,,,,477,,,,,31,31508,846,32385,59680,0.5426
25,SINALOA,16,SAN IGNACIO,44,46,333,4103,204,,,35,647,4398,92,,95,28,,,,,,,,,,,,0,9935,243,10178,16471,0.6179
25,SINALOA,17,SINALOA,189,188,2293,19771,1105,,507,294,,10522,536,226,,,,,,,,,,,,,,7,35254,1302,36563,62859,0.5817
