ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,C_COMUN_PRI_NVA_ALIANZA,PRD,PT,PVEM,MC,NVA_ALIANZA,PAS,C_COMUN_MC_PAS,MORENA,ES,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
25,SINALOA,7,CHOIX,71,74,8366,,5994,703,47,,,,,334,25,,,,,,,,,,,,,1,15469,308,15778,23430,0.6734
25,SINALOA,10,EL FUERTE,176,184,7629,,14442,742,524,5727,,,,8456,689,1008,988,,,,,,,,,,,32,40205,1054,41291,71498,0.5775
25,SINALOA,1,AHOME ,455,638,39587,42220,,2818,1462,2051,,21874,,15529,6793,1200,,2979,11855,,,,,,,,,146,148368,4574,153088,307269,0.4982
25,SINALOA,17,SINALOA,189,188,2293,19771,,1105,,507,294,,10522,,536,226,,,,,,,,,,,,7,35254,1302,36563,62859,0.5817
25,SINALOA,11,GUASAVE,438,496,18511,53950,,2410,1378,1286,,,,16156,1916,1008,,,,1514,16729,1126,,,,,,15,115984,3167,119166,204240,0.5835
25,SINALOA,2,ANGOSTURA,106,108,988,6528,,3717,119,400,,,,10762,241,436,,,,,,,,,,,,4,23191,550,23745,35327,0.6721
25,SINALOA,15,SALVADOR ALVARADO,149,164,4145,,17597,1148,391,370,,,,5696,645,1039,,,,,,,477,,,,,31,31508,846,32385,59680,0.5426
25,SINALOA,13,MOCORITO,131,117,1094,,8958,295,,,336,,9104,,251,154,,,,,,,,,,,,2,20192,571,20765,35020,0.5929
25,SINALOA,3,BADIRAGUATO,65,67,313,,6636,3066,508,1039,228,,927,,48,66,,,,,,,,,,,,5,12831,581,13417,22191,0.6046
25,SINALOA,6,CULIACAN,1013,1396,35795,,116386,7791,3063,4192,,,,57313,17118,5744,,,,,,,,,,,,308,247402,9996,257706,653066,0.3946
25,SINALOA,18,NAVOLATO,174,218,4036,17595,,848,474,10534,753,,13658,,1821,979,,,,,,,,,,,,30,50698,1697,52425,100611,0.5211
25,SINALOA,5,COSALA,34,37,344,,2598,156,206,29,,,,4385,65,,,,,,,,,,,,,2,7783,243,8028,11881,0.6757
25,SINALOA,8,ELOTA,60,73,2407,7350,,374,,180,308,,5181,,211,,,,,,,,,,,,,4,16011,503,16518,28191,0.5859
25,SINALOA,16,SAN IGNACIO,44,46,333,,4845,204,,,,,,4461,92,,,,,,,,,,,,,0,9935,243,10178,16471,0.6179
25,SINALOA,12,MAZATLAN ,501,695,44152,,44222,2138,,2967,,,,22476,10492,1126,,,,,,,,2460,4056,1435,,150,135524,5213,140887,334891,0.4207
25,SINALOA,4,CONCORDIA,46,49,1340,6512,,740,173,341,,,,1712,514,97,,,,,,,,,,,102,0,11531,426,11957,20934,0.5712
25,SINALOA,14,ROSARIO,88,97,11203,,6978,2203,,,,,,1469,347,122,,,,,,,,,,,,3,22322,511,22836,37364,0.6112
25,SINALOA,9,ESCUINAPA,64,84,6052,,6789,1414,,,6022,,1003,,662,96,,,,,,,,,,,,8,22038,576,22622,39585,0.5715
