ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND47,CAND_IND48,CAND_IND49,CAND_IND50,CAND_IND51,CAND_IND52,CAND_IND53,CAND_IND54,CAND_IND55,CAND_IND56,CAND_IND57,CAND_IND58,CAND_IND59,CAND_IND60,CAND_IND61,CAND_IND62,CAND_IND63,CAND_IND64,CAND_IND65,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,1,ACATIC,11,26,2760,938,174,1570,399,1289,347,870,58,,,,,12,27,3,6,,,,,,,,,,,,,,,,,,,,8453,4,484,8941,16146,
14,JALISCO,2,ACATLAN DE JUAREZ,11,28,1406,1312,812,1318,271,2622,338,2471,217,6,8,7,4,11,5,0,5,,,,,,,,,,,,,,,,,,,,10813,8,420,11241,17497,
14,JALISCO,3,AHUALULCO DE MERCADO,12,29,856,2669,145,287,183,4198,360,3297,112,31,4,17,10,40,13,2,13,,,,,,,,,,,,,,,,,,,,12237,2,349,12588,17472,
14,JALISCO,4,AMACUECA,4,9,275,662,65,41,68,781,107,682,54,13,4,4,4,26,5,10,9,,,,,,,,,,,,,,,,,,235,,3045,0,122,3167,4500,
14,JALISCO,5,AMATITAN,8,19,672,1260,536,480,150,1060,829,2182,57,42,12,10,12,28,5,2,7,,,,,,,,,,,,,,,,,,,,7344,1,311,7656,11215,
14,JALISCO,6,AMECA,43,90,1690,3569,542,5371,517,6438,2601,4795,283,136,10,15,10,,,,,,,,,,,,,,,,,,,,,,,,25977,5,1250,27232,48084,
14,JALISCO,8,ARANDAS,30,91,7268,7444,337,809,373,10808,789,3095,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,31449,7,2113,33569,55904,
14,JALISCO,10,ATEMAJAC DE BRIZUELA,5,9,659,1025,32,130,88,397,937,373,17,23,5,34,3,0,21,2,2,,,,,,,,,,,,,,,,,,,,3748,0,95,3843,4790,
14,JALISCO,11,ATENGO,6,10,1219,1048,369,58,26,202,55,246,4,6,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,3245,0,122,3367,4447,
14,JALISCO,12,ATENGUILLO,5,8,123,614,9,37,13,1315,10,111,6,,,,,1,0,0,0,,,,,,,,,37,,,,,,,,,,5,2281,0,103,2384,3517,
14,JALISCO,13,ATOTONILCO EL ALTO,27,78,4561,3486,342,2292,486,5604,2900,3402,1803,143,19,78,20,96,19,9,59,,,,,,,,,,,,,,,,,,,,25319,14,1278,26611,47109,
14,JALISCO,14,ATOYAC,6,14,871,1613,43,66,412,578,45,315,31,37,8,36,2,11,10,1,15,,,,,,,,,,,,,,,,,,157,,4251,0,215,4466,6922,
14,JALISCO,15,AUTLAN DE NAVARRO,30,80,2405,5437,400,901,776,5285,1020,9233,438,141,20,40,15,,,,,,,,,,,,,,,,,,,,,,,,26111,5,1202,27318,48322,
14,JALISCO,16,AYOTLAN,19,49,1391,1463,170,5369,209,920,942,1478,4724,23,11,10,7,102,24,28,101,,,,,,,,,,,,,,,,,,,,16972,21,936,17929,28926,
14,JALISCO,17,AYUTLA,12,20,2066,799,35,298,62,2601,66,486,17,5,0,8,135,,,,,,,,,,,,,,,,,,,,,,,,6578,10,224,6812,10392,
14,JALISCO,19,BOLAÑOS,3,4,695,453,10,24,18,190,6,192,7,8,3,29,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,1638,0,62,1700,2186,
14,JALISCO,20,CABO CORRIENTES,6,18,93,2047,36,48,317,2236,17,1046,28,,,,,48,29,5,4,,,,,,,,,96,,,,,,,,,,10,6060,0,284,6344,9006,
14,JALISCO,117,CAÑADAS DE OBREGON,7,9,679,148,12,681,13,396,9,144,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2089,1,208,2298,3755,
14,JALISCO,21,CASIMIRO CASTILLO,14,27,631,1880,135,265,169,2667,180,2647,89,6,1,7,5,,,,,,,,,,,,,,,,,,,,,,,,8682,4,376,9062,15977,
14,JALISCO,31,CHAPALA,19,62,3769,5853,124,1550,270,5973,625,4410,374,33,13,34,12,56,42,4,15,,,,,,,,,,,,,,,,,,,,23157,10,797,23964,37393,
14,JALISCO,32,CHIMALTITAN,3,5,881,896,6,31,5,289,3,102,1,1,1,4,0,2,1,0,1,,,,,,,,,,,,,,,,,,,,2224,0,73,2297,2812,
14,JALISCO,33,CHIQUILISTLAN,4,8,212,1110,539,62,36,258,29,567,21,22,13,1,6,,,,,,,,,,,,,,,,,,,,,,,,2876,1,139,3016,4346,
14,JALISCO,22,CIHUATLAN,17,45,841,3475,2195,453,261,2542,875,4481,192,17,12,1,112,,,,,,,,,,,,,,,,,,,,,,,,15457,5,927,16389,26588,
14,JALISCO,25,COCULA,17,38,1664,1668,188,1200,174,3429,162,4491,123,20,5,8,5,42,22,2,18,,,,,,,,,,,,,,,,,,,,13221,9,454,13684,22749,
14,JALISCO,26,COLOTLAN,15,29,1849,1714,106,278,124,1892,135,2029,127,258,9,46,3,138,4,0,8,,,,,,,,,,,,,,,,,,,,8720,2,475,9197,14727,
14,JALISCO,27,CONCEPCION DE BUENOS AIRES,5,9,324,469,29,1134,24,1163,27,233,7,1,0,5,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,3418,0,142,3560,4955,
14,JALISCO,28,CUAUTITLAN DE GARCIA BARRAGAN,9,24,3505,1671,53,83,109,3059,53,946,39,11,13,15,18,,,,,,,,,,,,,,,,,,,,,,,,9575,31,551,10157,13082,
14,JALISCO,29,CUAUTLA,4,5,697,363,4,17,7,240,11,90,6,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,1438,1,55,1494,2172,
14,JALISCO,30,CUQUIO,12,26,356,955,92,258,3981,2242,77,766,98,4,2,4,2,62,108,12,3,,,,,,,,,,,,,,,,,,,,9022,41,450,9513,14066,
14,JALISCO,34,DEGOLLADO,16,34,1970,3717,182,1043,94,602,258,1102,110,41,10,13,2,16,7,1,3,,,,,,,,,,,,,,,,,,,,9171,0,455,9626,18356,
14,JALISCO,35,EJUTLA,2,4,78,307,279,32,14,289,10,110,1,1,2,5,1,,,,,,,,,,,,,,,,,,,,,,,,1129,0,38,1167,1924,
14,JALISCO,9,EL ARENAL,5,22,1927,1172,49,423,159,2642,966,1414,75,5,6,7,4,11,5,0,1,,,,,,,,,,,,,,,,,,,,8866,1,327,9194,14243,
14,JALISCO,39,EL GRULLO,12,31,1881,2185,195,205,195,1382,712,2661,130,79,10,15,6,,,,,,,,,,,,,,,,,,,,,,,,9656,30,504,10190,19541,
14,JALISCO,56,EL LIMON,6,10,171,1031,191,48,41,214,78,1216,13,4,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,3010,0,142,3152,5459,
14,JALISCO,72,EL SALTO,26,170,4250,10634,1046,2026,1058,23232,846,15261,1551,,,,,434,208,22,165,,,,,,,,,,,,,,,,,,,,60733,7,2233,62973,116230,
14,JALISCO,36,ENCARNACION DE DIAZ,31,66,11464,4493,173,510,245,1140,285,2154,167,,,,,25,17,2,4,,,,,,,,,,,,,,,,,,,,20679,13,949,21641,37578,
14,JALISCO,37,ETZATLAN,11,25,1987,982,57,285,127,3927,710,1376,78,15,1,11,5,18,4,0,4,,,,,,,,,,,,,,,,,,,,9587,20,330,9937,14700,
