MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PC,PSN,PAS,El Barzon,Mexico Posible,PLM,FC,Nulos,No Registrados,PRD-PAS,PRD-PC,PRD-PVEM,PVEM-PAS,PRD-PVEM-PAS
,,,,,,,,,,,,,,,,,,,,,
EL GRULLO,549,0549 B,44,133,,3,0,0,0,,0,0,0,0,3,0,111,,,,
EL GRULLO,549,0549 C1,27,161,,4,0,0,0,,0,0,0,0,15,0,73,,,,
EL GRULLO,549,0549 C2,47,137,,6,0,0,0,,0,0,0,0,5,1,82,,,,
EL GRULLO,550,0550 B,47,162,,3,2,0,2,,0,0,0,0,8,0,82,,,,
EL GRULLO,550,0550 C1,66,167,,4,0,0,0,,0,0,0,0,7,0,86,,,,
EL GRULLO,550,0550 C2,47,169,,2,0,0,0,,0,0,0,0,9,0,95,,,,
EL GRULLO,551,0551 B,49,126,,2,0,0,0,,0,0,0,0,5,1,109,,,,
EL GRULLO,551,0551 C1,55,106,,6,0,0,0,,0,0,0,0,11,0,111,,,,
EL GRULLO,552,0552 B,49,129,,5,0,0,0,,0,0,0,0,9,0,90,,,,
EL GRULLO,552,0552 C1,40,124,,7,3,0,1,,0,0,0,0,5,0,96,,,,
EL GRULLO,553,0553 B,40,140,,16,2,0,1,,0,0,0,0,6,0,130,,,,
EL GRULLO,553,0553 C1,50,177,,7,0,0,1,,0,0,0,0,7,0,111,,,,
EL GRULLO,553,0553 C2,48,162,,16,0,0,0,,0,0,0,0,8,4,112,,,,
EL GRULLO,554,0554 B,44,126,,9,0,0,0,,0,0,0,0,8,2,129,,,,
EL GRULLO,554,0554 C1,63,116,,7,0,0,0,,0,0,0,0,10,0,136,,,,
EL GRULLO,555,0555 B,43,124,,7,0,0,1,,0,0,0,0,12,0,101,,,,
EL GRULLO,555,0555 C1,48,111,,6,0,0,0,,0,1,0,0,7,0,101,,,,
EL GRULLO,555,0555 C2,63,117,,1,1,0,0,,0,0,0,0,6,1,104,,,,
EL GRULLO,556,0556 B,55,109,,3,0,0,0,,0,0,0,0,9,0,100,,,,
EL GRULLO,556,0556 C1,39,140,,4,1,0,1,,0,0,0,0,3,0,83,,,,
