ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,AVE,PC,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA_AVE_PC,PRI_PVEM_NVA_ALIANZA_AVE,PRI_PVEM_NVA_ALIANZA_PC,PRI_PVEM_AVE_PC,PRI_NVA_ALIANZA_AVE_PC,PVEM_NVA_ALIANZA_AVE_PC,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_AVE,PRI_PVEM_PC,PRI_NVA_ALIANZA_AVE,PRI_NVA_ALIANZA_PC,PRI_AVE_PC,PVEM_NVA_ALIANZA_AVE,PVEM_NVA_ALIANZA_PC,PVEM_AVE_PC,NVA_ALIANZA_AVE_PC,PRI_PVEM,PRI_NVA_ALIANZA,PRI_AVE,PRI_PC,PVEM_NVA_ALIANZA,PVEM_AVE,PVEM_PC,NVA_ALIANZA_AVE,NVA_ALIANZA_PC,AVE_PC,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS ,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
30,VERACRUZ,1,PANUCO,246,398,26001,25580,2774,27339,810,1217,1116,448,331,12387,543,914,109,39,8,3,5,4,30,61,2,4,2,0,4,2,1,13,2148,23,16,3,45,25,10,8,5,2,945,27,102977,2824,105828,193283,0.5475
30,VERACRUZ,2,TANTOYUCA,198,365,38897,32961,7691,11867,1331,824,1319,348,520,15552,560,2077,61,39,6,3,1,21,45,48,3,5,0,0,2,3,0,1,1534,31,14,16,64,23,3,7,5,2,905,8,116789,3248,120045,191491,0.6269
30,VERACRUZ,3,TUXPAN,160,372,26226,21284,10026,3664,1840,715,882,1139,599,26704,981,2017,129,59,13,6,3,3,35,37,1,9,3,0,1,0,0,3,658,39,30,11,17,7,4,8,15,4,1781,76,98953,3016,102045,205347,0.4969
30,VERACRUZ,4,ALAMO TEMAPACHE,210,398,34752,39832,7558,4814,2422,2145,1099,927,870,17458,879,1980,112,25,2,2,1,6,26,31,8,2,3,0,1,0,0,1,798,54,29,19,21,11,5,11,7,2,1071,35,116984,4110,121129,201760,0.6004
30,VERACRUZ,5,POZA RICA,139,323,19036,18620,7632,1160,1449,1330,586,923,863,35045,966,2408,265,11,8,1,2,7,23,46,3,5,1,1,2,0,0,0,249,25,27,22,10,6,2,9,2,4,2771,104,93520,2512,96136,184805,0.5202
30,VERACRUZ,6,PAPANTLA,149,351,26466,36998,9149,3434,1903,2111,922,3784,473,18273,494,2691,92,22,6,7,0,10,18,48,2,3,2,3,3,0,1,3,519,42,209,6,21,28,1,35,5,4,943,28,108731,3044,111803,195530,0.5718
30,VERACRUZ,7,MARTINEZ DE LA TORRE,173,342,22195,21388,6356,4324,2821,734,1225,440,745,21772,1012,1725,92,27,5,2,0,7,46,38,6,12,1,1,2,0,0,0,491,88,15,18,18,7,5,12,7,0,1072,34,86709,2508,89251,176344,0.5061
30,VERACRUZ,8,MISANTLA,214,380,25980,17897,7039,3603,4135,904,1095,5247,1874,28592,1061,1663,74,20,6,2,2,6,12,108,2,7,2,4,3,2,0,1,263,29,354,22,12,57,6,38,5,5,781,26,100913,3005,103944,185638,0.5599
30,VERACRUZ,9,PEROTE,131,317,26616,24083,2675,1135,6057,1391,639,1471,1496,18927,824,1337,41,18,12,0,1,9,19,47,5,4,1,5,2,2,0,1,557,15,58,15,9,15,5,23,11,11,1260,20,88797,3336,92153,168267,0.5477
30,VERACRUZ,10,XALAPA I,137,304,25277,14033,1882,878,1460,2883,476,403,840,44267,2254,1460,224,21,3,4,1,12,12,44,6,9,3,1,2,1,0,0,212,13,22,22,3,7,2,7,3,9,1763,129,98519,2502,101150,177680,0.5693
30,VERACRUZ,11,XALAPA II,117,314,29724,18106,1772,1209,1293,3134,535,335,888,41812,2539,1742,205,39,22,5,0,24,26,108,3,6,6,5,2,0,0,12,369,23,24,15,8,3,2,5,4,18,2143,65,106166,2610,108841,183827,0.5921
30,VERACRUZ,12,COATEPEC,122,309,26264,16706,3579,3030,1260,1271,604,3203,743,32146,1347,1426,60,18,6,6,2,2,13,61,7,6,2,2,4,0,1,1,369,14,133,8,19,46,7,12,4,8,1806,76,94196,3238,97510,175236,0.5564
30,VERACRUZ,13,EMILIANO ZAPATA,171,350,36934,23178,5412,1550,1522,1197,590,569,1282,21383,977,2717,184,27,5,1,1,3,11,63,7,4,1,4,2,1,0,0,476,23,40,17,7,4,0,10,2,1,1393,96,99598,2276,101970,182984,0.5573
30,VERACRUZ,14,VERACRUZ I,173,379,53693,17764,1547,1300,1481,1757,1109,253,269,22089,1529,2781,257,42,19,6,0,23,32,97,15,9,5,2,3,1,0,0,697,48,29,16,18,1,1,4,0,10,3054,63,109961,2957,112981,217523,0.5194
30,VERACRUZ,15,VERACRUZ II,190,399,60927,18860,1479,1313,1478,1109,1145,273,560,22664,1300,3347,264,50,36,18,2,4,35,80,10,16,4,3,0,1,0,5,711,41,17,19,9,2,4,10,7,1,3011,76,118815,2869,121760,227222,0.5359
30,VERACRUZ,16,BOCA DEL RIO,186,378,63673,25710,1113,2183,1008,1099,753,310,307,14925,811,3532,167,58,16,4,1,23,49,117,2,11,2,3,4,1,0,1,784,37,27,11,12,9,2,9,5,14,2067,34,118860,3010,121904,207755,0.5868
30,VERACRUZ,17,MEDELLIN,137,339,37874,25562,5483,1366,1119,858,716,603,546,18442,673,2321,108,14,7,5,1,4,18,41,3,4,4,2,3,1,0,0,541,15,47,9,8,5,3,17,3,2,1898,36,98326,2368,100730,185371,0.5434
30,VERACRUZ,18,HUATUSCO,119,303,30670,26286,4309,3698,1193,1242,734,620,1056,16255,816,2711,46,15,2,3,0,4,21,29,5,4,0,0,2,1,0,1,707,46,30,17,14,10,4,15,5,8,2675,88,93254,3417,96759,172008,0.5625
30,VERACRUZ,19,CORDOBA,154,348,26705,28260,1691,1374,971,1062,522,572,551,32218,1119,1021,55,12,6,6,3,0,12,45,8,2,2,1,1,1,1,0,504,16,30,18,5,8,1,9,3,18,8713,98,105546,3220,108864,194588,0.5595
30,VERACRUZ,20,ORIZABA,168,360,22520,16573,3072,1679,1685,1241,600,484,947,41802,2012,964,66,18,8,6,0,6,22,45,4,1,2,0,0,0,0,0,426,33,10,10,2,7,3,10,6,5,6933,166,101202,3443,104811,200593,0.5225
30,VERACRUZ,21,CAMERINO Z. MENDOZA,117,294,16036,17383,6388,922,1259,824,820,514,665,32291,1363,1254,25,4,3,8,1,0,4,29,4,1,0,0,2,0,1,1,265,20,16,6,5,4,2,8,6,2,2777,31,82913,3090,86034,169017,0.5090
30,VERACRUZ,22,ZONGOLICA,133,292,27079,20840,8377,8515,1672,859,1197,647,642,15520,587,2004,54,9,3,1,1,2,18,25,2,2,3,0,1,1,2,7,1384,21,27,8,48,21,5,13,15,5,950,48,90567,4115,94730,162438,0.5832
30,VERACRUZ,23,COSAMALOAPAN,193,386,33752,30539,2339,2422,1567,786,772,374,506,24058,700,1841,118,23,13,9,6,2,34,47,9,3,2,2,1,0,1,2,600,40,27,11,18,4,3,9,6,2,1678,35,102326,3124,105485,199506,0.5287
30,VERACRUZ,24,SANTIAGO TUXTLA,181,360,27861,30186,6442,1350,1418,596,777,770,588,18474,534,3307,85,12,5,2,0,3,24,55,3,3,2,0,0,0,0,1,500,41,19,6,7,7,1,13,2,3,1409,50,94506,2972,97528,194287,0.5020
30,VERACRUZ,25,SAN ANDRES TUXTLA,132,313,16990,16315,3375,2403,993,1028,18766,539,730,19756,2025,1442,175,34,3,6,7,24,86,37,5,21,4,4,10,1,1,5,307,1408,24,9,172,14,9,106,12,6,980,54,87832,3033,90919,178466,0.5094
30,VERACRUZ,26,COSOLEACAQUE,159,369,17924,25241,6400,1473,1250,787,1783,1066,625,37733,1009,1683,202,55,10,4,2,16,49,60,5,6,4,1,3,1,2,0,564,150,48,10,23,13,5,18,8,1,1232,50,99466,3377,102893,204741,0.5026
30,VERACRUZ,27,ACAYUCAN,151,329,21517,21687,4015,2765,1154,1340,923,4754,523,25559,625,1813,58,53,9,3,1,26,19,113,2,6,1,3,3,0,3,0,437,20,196,9,10,74,0,23,4,8,1118,32,88874,2950,91856,181385,0.5064
30,VERACRUZ,28,MINATITLAN,151,341,16906,22941,3336,1711,966,722,476,453,376,35056,950,1471,86,9,3,5,0,3,11,46,5,6,2,0,1,1,1,2,379,14,24,11,5,4,2,4,3,3,1109,47,87103,2596,89746,173581,0.5170
30,VERACRUZ,29,COATZACOALCOS I,149,353,12340,15437,1995,1886,1089,1160,1495,665,481,55836,1989,699,88,19,5,3,1,11,26,49,2,2,1,1,2,1,1,0,400,34,41,8,19,19,5,9,2,0,2383,63,98204,2696,100963,195052,0.5176
30,VERACRUZ,30,COATZACOALCOS II,152,355,7753,18537,4085,3375,961,666,1170,724,252,42630,1421,803,127,14,9,5,1,7,8,27,3,6,1,1,2,2,1,1,413,82,38,5,11,9,8,10,3,8,1124,43,84303,2655,87001,185400,0.4693

