ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,AVE,PC,MORENA,ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS ,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
30,VERACRUZ,1,PANUCO,246,398,26458,26748,3231,28525,810,1217,1211,533,369,12387,543,945,27,102977,2824,105828,193283,0.5475
30,VERACRUZ,2,TANTOYUCA,198,365,39936,33820,8729,12745,1331,824,1421,414,552,15552,560,905,8,116789,3248,120045,191491,0.6269
30,VERACRUZ,3,TUXPAN,160,372,27235,21732,11034,4080,1840,715,983,1222,646,26704,981,1781,76,98953,3016,102045,205347,0.4969
30,VERACRUZ,4,ALAMO TEMAPACHE,210,398,35742,40341,8548,5289,2422,2145,1187,991,911,17458,879,1071,35,116984,4110,121129,201760,0.6004
30,VERACRUZ,5,POZA RICA,139,323,20240,18872,8836,1378,1449,1330,675,1022,936,35045,966,2771,104,93520,2512,96136,184805,0.5202
30,VERACRUZ,6,PAPANTLA,149,351,27812,37442,10494,3775,1903,2111,1008,3971,505,18273,494,943,28,108731,3044,111803,195530,0.5718
30,VERACRUZ,7,MARTINEZ DE LA TORRE,173,342,23058,21761,7218,4646,2821,734,1336,497,782,21772,1012,1072,34,86709,2508,89251,176344,0.5061
30,VERACRUZ,8,MISANTLA,214,380,26812,18303,7870,3839,4135,904,1166,5538,1912,28592,1061,781,26,100913,3005,103944,185638,0.5599
30,VERACRUZ,9,PEROTE,131,317,27285,24455,3343,1470,6057,1391,690,1559,1536,18927,824,1260,20,88797,3336,92153,168267,0.5477
30,VERACRUZ,10,XALAPA I,137,304,26007,14249,2612,1070,1460,2883,551,496,911,44267,2254,1763,129,98523,2502,101154,177680,0.5693
30,VERACRUZ,11,XALAPA II,117,314,30595,18434,2643,1511,1293,3134,634,459,969,41812,2539,2143,65,106166,2610,108841,183827,0.5921
30,VERACRUZ,12,COATEPEC,122,309,26977,17024,4292,3298,1260,1271,653,3349,773,32146,1347,1806,76,94196,3238,97510,175236,0.5564
30,VERACRUZ,13,EMILIANO ZAPATA,171,350,38293,23538,6770,1869,1522,1197,661,661,1334,21383,977,1393,96,99598,2276,101970,182984,0.5573
30,VERACRUZ,14,VERACRUZ I,173,379,55084,18285,2937,1785,1481,1757,1232,378,350,22089,1529,3054,63,109961,2957,112981,217523,0.5194
30,VERACRUZ,15,VERACRUZ II,190,399,62601,19388,3152,1800,1478,1109,1273,390,649,22664,1300,3011,76,118815,2869,121760,227222,0.5359
30,VERACRUZ,16,BOCA DEL RIO,186,378,65439,26260,2879,2706,1008,1099,865,436,366,14925,811,2067,34,118861,3010,121905,207755,0.5868
30,VERACRUZ,17,MEDELLIN,137,339,39035,25927,6643,1698,1119,858,775,679,579,18442,673,1898,36,98326,2368,100730,185371,0.5434
30,VERACRUZ,18,HUATUSCO,119,303,32026,26724,5664,4102,1193,1242,797,674,1086,16255,816,2675,88,93254,3417,96759,172008,0.5625
30,VERACRUZ,19,CORDOBA,154,348,27216,28588,2201,1677,971,1062,557,637,587,32218,1119,8713,98,105546,3220,108864,194588,0.5595
30,VERACRUZ,20,ORIZABA,168,360,23002,16863,3554,1945,1685,1241,652,532,976,41802,2012,6933,166,101197,3443,104806,200593,0.5225
30,VERACRUZ,21,CAMERINO Z. MENDOZA,117,294,16663,17562,7015,1083,1259,824,849,546,681,32291,1363,2777,31,82913,3090,86034,169017,0.5090
30,VERACRUZ,22,ZONGOLICA,133,292,28081,21596,9379,9253,1672,859,1273,727,670,15520,587,950,48,90567,4115,94730,162438,0.5832
30,VERACRUZ,23,COSAMALOAPAN,193,386,34673,30952,3259,2803,1567,786,859,441,550,24058,700,1678,35,102326,3124,105485,199506,0.5287
30,VERACRUZ,24,SANTIAGO TUXTLA,181,360,29515,30523,8095,1658,1418,596,841,831,612,18474,534,1409,50,94506,2972,97528,194287,0.5020
30,VERACRUZ,25,SAN ANDRES TUXTLA,132,313,17711,17293,4096,2752,993,1028,19713,689,796,19756,2025,980,54,87832,3033,90919,178466,0.5094
30,VERACRUZ,26,COSOLEACAQUE,159,369,18766,25731,7241,1878,1250,787,1966,1188,685,37733,1009,1232,50,99466,3377,102893,204741,0.5026
30,VERACRUZ,27,ACAYUCAN,151,329,22424,22100,4921,3106,1154,1340,993,4980,554,25559,625,1118,32,88874,2950,91856,181385,0.5064
30,VERACRUZ,28,MINATITLAN,151,341,17642,23205,4071,1952,966,722,517,510,403,35056,950,1109,47,87103,2596,89746,173581,0.5170
30,VERACRUZ,29,COATZACOALCOS I,149,353,12690,15736,2344,2166,1089,1160,1564,739,508,55836,1989,2383,63,98204,2696,100963,195052,0.5176
30,VERACRUZ,30,COATZACOALCOS II,152,355,8155,18859,4486,3647,961,666,1263,798,293,42630,1421,1124,43,84303,2655,87001,185400,0.4693
