CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,AVE,PC,MORENA,ES,PAN_PRD,PRI_PVEM_NVA_ALIANZA_AVE_PC,PRI_PVEM_NVA_ALIANZA_AVE,PRI_PVEM_NVA_ALIANZA_PC,PRI_PVEM_AVE_PC,PRI_NVA_ALIANZA_AVE_PC,PVEM_NVA_ALIANZA_AVE_PC,PRI_PVEM_NVA_ALIANZA,PRI_PVEM_AVE,PRI_PVEM_PC,PRI_NVA_ALIANZA_AVE,PRI_NVA_ALIANZA_PC,PRI_AVE_PC,PVEM_NVA_ALIANZA_AVE,PVEM_NVA_ALIANZA_PC,PVEM_AVE_PC,NVA_ALIANZA_AVE_PC,PRI_PVEM,PRI_NVA_ALIANZA,PRI_AVE,PRI_PC,PVEM_NVA_ALIANZA,PVEM_AVE,PVEM_PC,NVA_ALIANZA_AVE,NVA_ALIANZA_PC,AVE_PC,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS ,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF ,OBSERVACIONES,RUTA_ACTA
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1403,B,156,104,9,64,0,2,1,1,2,41,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,404,11,415,728,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1404,B,85,64,10,35,1,0,0,1,2,52,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,10,277,521,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1404,C01,116,90,8,47,2,1,4,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,2,305,520,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1405,B,92,74,4,60,2,0,1,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,269,3,272,450,GRUPO DE RECUENTO,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1405,C01,90,73,2,58,1,0,2,0,2,26,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,267,1,269,450,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1406,B,108,54,5,58,1,1,0,0,0,42,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,286,2,288,523,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1406,C01,81,69,3,76,0,1,2,1,0,32,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,280,4,284,522,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1407,B,48,45,1,19,3,0,0,0,0,8,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,2,133,212,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1407,E01,31,49,0,91,0,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,182,1,183,252,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1408,B,151,53,10,75,3,0,3,2,1,62,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,2,0,373,15,388,666,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1408,C01,126,61,5,77,0,1,1,0,1,69,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,1,0,0,0,0,0,4,0,365,10,375,666,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1409,B,99,62,3,37,1,0,1,0,1,20,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,244,6,250,423,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1409,C01,93,66,6,41,2,2,2,3,2,21,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,249,8,257,422,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1410,B,94,173,6,38,1,1,4,1,4,35,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,4,0,382,11,393,711,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1411,B,126,81,9,31,1,1,2,1,3,19,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,292,14,306,616,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1411,E01,22,34,3,23,0,1,1,1,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,100,2,102,219,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1412,B,56,54,6,52,3,1,2,1,0,87,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,270,7,277,573,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1412,C01,68,37,10,72,3,4,1,4,1,102,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,315,6,321,573,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1412,C02,66,58,8,69,4,1,1,2,0,88,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,311,4,315,573,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,62,CHINAMPA DE GOROSTIZA,1412,C03,74,56,7,55,0,3,4,0,2,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,299,8,307,573,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4696,B,36,51,6,15,2,0,2,3,0,64,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,189,1,190,397,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4696,C01,49,61,7,18,1,1,2,1,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,186,3,189,397,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4697,B,87,71,3,26,1,1,0,4,0,132,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,349,8,357,706,GRUPO DE RECUENTO,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4697,C01,90,61,6,20,0,0,2,3,1,129,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,326,15,341,706,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4698,B,62,51,5,14,1,0,2,2,1,95,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,250,7,257,494,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4698,C01,45,56,6,19,1,0,4,1,3,103,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,251,4,255,494,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4699,B,90,74,4,26,1,2,2,5,0,117,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,331,10,341,669,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4699,C01,87,83,4,23,0,1,0,1,1,119,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,340,4,344,668,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4700,B,72,117,9,28,5,1,4,0,2,88,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,340,12,352,578,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4700,C01,63,92,3,18,0,1,4,1,0,99,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,0,298,5,303,577,GRUPO DE RECUENTO,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4701,B,56,48,4,24,1,1,3,5,3,78,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,244,8,252,527,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4701,C01,75,58,3,23,3,0,4,3,0,72,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,258,5,263,526,ACTA CASILLA,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4702,B,40,35,8,99,3,1,2,0,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,1,0,0,0,0,0,0,241,1,242,421,GRUPO DE RECUENTO,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
3,30,VERACRUZ,1,PANUCO,207,EL HIGO,4702,C01,43,33,7,126,1,2,1,0,2,44,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,269,5,274,421,GRUPO DE RECUENTO,,,http://oplever.org.mx/miniportales/resultadose/computos/actasGOB.pdf
