id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI,PC,PRD,PT,PVEM,Nulos,Total
13,10/11/1996,12,Ayuntamientos,13,0,1,C,Contigua,0,27,HUEHUETLA,391,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,453,37,105,0,27,37,0,10,216
13,10/11/1996,12,Ayuntamientos,13,0,1,B,Basica,0,27,HUEHUETLA,412,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,455,4,156,0,53,10,0,4,227
13,10/11/1996,12,Ayuntamientos,13,0,1,C,Contigua,0,28,HUEJUTLA DE REYES,520,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,460,65,232,2,17,10,4,12,342
13,10/11/1996,12,Ayuntamientos,13,0,1,C,Contigua,0,28,HUEJUTLA DE REYES,636,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,461,40,182,4,5,5,0,4,240
13,10/11/1996,12,Ayuntamientos,13,0,1,B,Basica,0,28,HUEJUTLA DE REYES,544,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,464,25,137,1,10,7,0,42,222
13,10/11/1996,12,Ayuntamientos,13,0,1,C,Contigua,0,28,HUEJUTLA DE REYES,544,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,464,34,160,0,6,11,5,10,226
13,10/11/1996,12,Ayuntamientos,13,0,1,B,Basica,0,28,HUEJUTLA DE REYES,461,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,472,317,48,2,2,1,2,23,395
13,10/11/1996,12,Ayuntamientos,13,0,1,B,Basica,0,28,HUEJUTLA DE REYES,647,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,474,74,268,5,36,4,4,28,419
13,10/11/1996,12,Ayuntamientos,13,0,1,B,Basica,0,28,HUEJUTLA DE REYES,433,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,477,10,196,0,5,2,0,9,222
13,10/11/1996,12,Ayuntamientos,13,0,1,C,Contigua,0,30,IXMIQUILPAN,539,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,555,26,161,0,76,0,0,7,270
13,10/11/1996,12,Ayuntamientos,13,0,1,B,Basica,0,30,IXMIQUILPAN,450,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,561,7,74,1,83,0,0,0,165
13,10/11/1996,12,Ayuntamientos,13,0,1,C,Contigua,0,30,IXMIQUILPAN,449,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,561,9,77,0,75,0,0,4,165
13,10/11/1996,12,Ayuntamientos,13,0,1,C,Contigua,0,30,IXMIQUILPAN,419,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,563,17,108,2,71,0,0,7,205
13,10/11/1996,12,Ayuntamientos,13,0,1,B,Basica,0,30,IXMIQUILPAN,319,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,577,2,31,7,116,0,0,13,169
13,10/11/1996,12,Ayuntamientos,13,0,1,B,Basica,0,30,IXMIQUILPAN,152,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,584,1,76,0,17,0,0,4,98
13,10/11/1996,12,Ayuntamientos,13,0,1,B,Basica,0,30,IXMIQUILPAN,343,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,588,2,71,1,108,0,0,2,184
