Nombre,ListadoNominal,Casilla,TipoCasilla,PAN,PRI,PRD,PT,PVEM,PC,Alternativa,Validos,Nulos,Totales
ACATLÁN,640,1,B,202,148,15,0,0,0,0,365,3,368
ACATLÁN,641,1,C1,180,152,15,0,0,0,0,347,6,353
ACATLÁN,414,2,B,127,99,2,0,0,0,0,228,5,233
ACATLÁN,414,2,C1,120,73,3,0,0,0,0,196,0,196
ACATLÁN,221,3,B,25,101,4,0,0,0,0,130,91,221
ACATLÁN,198,4,B,38,68,3,0,0,0,0,109,6,115
ACATLÁN,413,5,B,122,84,7,0,0,0,0,213,9,222
ACATLÁN,414,5,C1,95,104,7,0,0,0,0,206,6,212
ACATLÁN,588,6,B,95,154,11,0,0,0,0,260,4,264
ACATLÁN,589,6,C1,100,163,17,0,0,0,0,280,6,286
ACATLÁN,584,7,B,133,136,8,0,0,0,0,277,0,277
ACATLÁN,585,7,C1,161,133,8,0,0,0,0,302,0,302
ACATLÁN,510,8,B,138,107,8,0,0,0,0,253,2,255
ACATLÁN,510,8,C1,113,124,9,0,0,0,0,246,264,510
ACATLÁN,511,8,C2,110,117,7,0,0,0,0,234,0,234
ACATLÁN,645,9,B,200,112,22,0,0,0,0,334,5,339
ACATLÁN,645,9,C1,153,124,17,0,0,0,0,294,7,301
ACATLÁN,646,9,C2,179,95,10,0,0,0,0,284,16,300
ACATLÁN,663,10,B,201,166,14,0,0,0,0,381,9,390
ACATLÁN,663,10,C1,177,182,11,0,0,0,0,370,16,386
ACATLÁN,556,11,B,184,87,12,0,0,0,0,283,5,288
ACATLÁN,557,11,C1,205,64,9,0,0,0,0,278,4,282
ACATLÁN,557,11,C2,190,66,19,0,0,0,0,275,10,285
ACATLÁN,567,12,B,107,124,3,0,0,0,0,234,14,248
ACATLÁN,567,12,C1,124,132,3,0,0,0,0,259,13,272
ACAXOCHITLÁN,562,13,B,70,160,49,0,15,20,0,314,16,330
ACAXOCHITLÁN,563,13,C1,77,151,48,0,15,14,0,305,0,305
ACAXOCHITLÁN,563,13,C2,80,154,47,0,14,15,0,310,5,315
ACAXOCHITLÁN,735,14,B,81,175,70,0,21,26,0,373,32,405
ACAXOCHITLÁN,735,14,C1,82,191,81,0,25,17,0,396,18,414
ACAXOCHITLÁN,452,15,B,86,45,22,0,28,14,0,195,19,214
ACAXOCHITLÁN,604,16,B,73,180,4,0,37,6,0,300,23,323
ACAXOCHITLÁN,611,17,B,81,184,4,0,6,4,0,279,23,302
