CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,VR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,1,3,392,383,11,9,8,9,99,258,7,7,3,3,3,0,0,1,0,0,,,,,,,,,,,,,,,,,,,1193,0,45,1238,1710
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,2,3,354,467,14,9,10,8,147,234,5,4,0,0,1,0,3,2,0,3,,,,,,,,,,,,,,,,,,,1261,0,41,1302,1710
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,3,3,471,579,10,26,2,11,138,363,9,2,1,0,1,0,2,1,0,3,,,,,,,,,,,,,,,,,,,1619,0,30,1649,2207
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,4,4,198,426,69,36,21,14,65,267,16,5,3,3,0,0,6,2,0,4,,,,,,,,,,,,,,,,,,,1135,0,63,1198,2051
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,5,2,151,254,19,14,4,3,11,91,3,1,1,2,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,556,0,15,571,846
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,6,2,168,271,9,9,2,6,5,143,7,1,0,2,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,624,0,23,647,940
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,7,2,126,186,24,10,4,5,11,163,5,4,2,1,0,1,2,0,0,0,,,,,,,,,,,,,,,,,,,544,0,33,577,753
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,8,1,68,107,8,13,3,5,3,156,10,0,0,0,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,376,1,18,395,607
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,9,2,121,172,16,17,6,7,9,152,5,2,1,0,1,0,2,3,1,2,,,,,,,,,,,,,,,,,,,517,0,24,541,830
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,10,2,161,228,21,11,4,13,25,315,12,3,6,4,0,1,13,0,1,6,,,,,,,,,,,,,,,,,,,824,0,42,866,1455
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,11,3,133,200,11,25,14,7,34,231,7,3,3,0,2,0,5,1,3,4,,,,,,,,,,,,,,,,,,,683,0,23,706,1082
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,12,2,177,239,30,15,4,9,27,178,10,6,1,2,1,0,2,1,0,0,,,,,,,,,,,,,,,,,,,702,0,28,730,1024
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,13,3,197,327,18,29,22,10,88,224,4,5,2,0,0,1,4,1,0,3,,,,,,,,,,,,,,,,,,,935,0,51,986,1479
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,14,5,147,486,38,25,24,15,179,358,26,6,4,4,0,0,7,0,0,3,,,,,,,,,,,,,,,,,,,1322,0,32,1354,1803
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,15,3,161,283,13,20,17,17,111,165,11,5,1,1,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,809,1,36,846,1197
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,16,3,218,339,31,29,9,16,185,300,15,4,2,2,0,0,4,0,0,1,,,,,,,,,,,,,,,,,,,1155,2,64,1221,1732
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,17,3,179,315,22,33,25,11,156,298,17,6,4,1,0,0,8,1,1,1,,,,,,,,,,,,,,,,,,,1078,0,60,1138,1671
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,18,2,81,190,5,5,7,6,83,168,11,6,1,0,0,0,3,0,1,0,,,,,,,,,,,,,,,,,,,567,0,35,602,799
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,19,4,338,350,10,37,35,13,43,313,17,4,11,6,1,0,20,5,0,5,,,,,,,,,,,,,,,,,,,1208,1,70,1279,2267
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,20,3,248,393,39,50,12,19,38,453,23,3,12,3,0,0,2,2,0,3,,,,,,,,,,,,,,,,,,,1300,1,51,1352,2145
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,21,3,142,275,22,41,11,12,75,332,17,13,2,3,0,0,8,7,1,1,,,,,,,,,,,,,,,,,,,962,0,50,1012,1514
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,22,3,152,324,15,26,11,4,41,529,17,6,0,1,0,0,17,1,1,5,,,,,,,,,,,,,,,,,,,1150,0,39,1189,1758
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,23,2,78,310,14,6,12,3,63,123,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,612,0,26,638,877
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,24,3,114,402,29,35,9,13,201,271,6,7,1,0,0,0,10,1,0,3,,,,,,,,,,,,,,,,,,,1102,0,58,1160,1648
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,25,2,224,205,7,6,1,6,50,144,7,2,1,1,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,656,0,14,670,934
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,26,3,195,533,17,17,12,7,75,292,11,6,6,1,1,0,8,2,0,2,,,,,,,,,,,,,,,,,,,1185,0,40,1225,1625
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,27,2,57,241,13,23,18,5,90,394,17,7,1,0,0,0,9,3,1,6,,,,,,,,,,,,,,,,,,,885,0,39,924,1328
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,28,3,77,260,32,47,16,17,187,518,22,8,2,4,0,0,11,3,2,6,,,,,,,,,,,,,,,,,,,1212,0,81,1293,1889
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,29,2,86,209,11,25,3,8,41,305,6,5,0,0,2,0,7,4,1,6,,,,,,,,,,,,,,,,,,,719,0,32,751,1017
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,30,3,191,253,25,17,38,6,112,241,10,6,3,1,1,0,6,0,0,1,,,,,,,,,,,,,,,,,,,911,0,38,949,1289
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,31,3,86,292,19,43,42,9,45,624,11,5,2,1,0,1,10,2,0,7,,,,,,,,,,,,,,,,,,,1199,0,33,1232,1826
,15,MEXICO,14,JILOTEPEC DE ANDRES MOLINA ENRIQUEZ,1,ACAMBAY,32,2,112,435,21,33,14,11,35,193,11,2,2,2,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,873,1,24,898,1298
