DTO.,CLAVE,MUNICIPIO,SECCION,TIPO_SECCION,CASILLA,TIPO_CASILLA,PAN,TS,ACLG,PRD,PT,PVEM,CONV.,CAND. NO REGIST.,VOTOS NULOS,TOTAL,LISTA NOMINAL,Anulada
1,1,AHUMADA,1,M,1,B,,248,165,,,,,0,3,416,613,
1,1,AHUMADA,2,U,2,B,,254,165,,,,,0,5,424,680,
1,1,AHUMADA,3,U,3,B,,133,114,,,,,0,2,249,381,
1,1,AHUMADA,3,U,3,C1,,132,113,,,,,0,3,248,382,
1,1,AHUMADA,4,U,4,B,,176,105,,,,,0,3,284,447,
1,1,AHUMADA,4,U,4,C1,,163,116,,,,,0,1,280,448,
1,1,AHUMADA,5,U,5,B,,199,119,,,,,0,8,326,518,
1,1,AHUMADA,5,U,5,C1,,240,90,,,,,0,13,343,519,
1,1,AHUMADA,6,M,6,B,,238,105,,,,,0,7,350,509,
1,1,AHUMADA,6,M,6,C1,,233,84,,,,,0,5,322,509,
1,1,AHUMADA,7,U,7,B,,217,133,,,,,0,5,355,540,
1,1,AHUMADA,8,U,8,B,,153,102,,,,,0,8,263,398,
1,1,AHUMADA,8,U,8,C1,,144,110,,,,,0,0,254,399,
1,1,AHUMADA,9,R,9,N.I.,,,,,,,,,,0,28,
1,1,AHUMADA,10,R,10,B,,20,73,,,,,0,1,94,158,
1,1,AHUMADA,11,R,11,B,,40,30,,,,,0,1,71,125,
1,1,AHUMADA,12,R,12,B,,39,103,,,,,0,1,143,336,
1,1,AHUMADA,13,R,13,B,,68,114,,,,,0,3,185,348,
1,1,AHUMADA,13,R,13,EX1,,29,23,,,,,0,1,53,83,
1,1,AHUMADA,14,R,14,B,,35,151,,,,,0,3,189,341,
1,1,AHUMADA,15,R,15,B,,19,41,,,,,0,3,63,147,
1,1,AHUMADA,16,R,16,B,,11,49,,,,,0,2,62,131,
10,2,ALDAMA,17,U,17,B,,124,136,,,,,0,8,268,508,
10,2,ALDAMA,17,U,17,C1,,122,145,,,,,0,9,276,508,
10,2,ALDAMA,17,U,17,C2,,131,135,,,,,0,7,273,508,
10,2,ALDAMA,18,U,18,B,,,,,,,,,,,661,Anulada
10,2,ALDAMA,18,U,18,C1,,133,143,,,,,0,14,290,661,
10,2,ALDAMA,19,U,19,B,,109,96,,,,,0,7,212,427,
10,2,ALDAMA,19,U,19,C1,,76,106,,,,,0,4,186,428,
10,2,ALDAMA,20,U,20,B,,144,174,,,,,0,11,329,581,
10,2,ALDAMA,20,U,20,C1,,145,153,,,,,0,11,309,582,
10,2,ALDAMA,21,U,21,B,,154,248,,,,,0,11,413,739,
10,2,ALDAMA,22,U,22,B,,124,96,,,,,0,16,236,520,
10,2,ALDAMA,22,U,22,C1,,126,109,,,,,0,10,245,520,
10,2,ALDAMA,23,U,23,B,,126,143,,,,,0,12,281,564,
10,2,ALDAMA,23,U,23,C1,,147,109,,,,,0,18,274,565,
10,2,ALDAMA,24,U,24,B,,108,143,,,,,0,16,267,505,
10,2,ALDAMA,24,U,24,C1,,115,156,,,,,0,18,289,506,
10,2,ALDAMA,25,U,25,B,,157,132,,,,,0,18,307,596,
10,2,ALDAMA,26,U,26,B,,156,183,,,,,0,16,355,648,
10,2,ALDAMA,27,U,27,B,,142,183,,,,,0,8,333,630,
10,2,ALDAMA,27,U,27,C1,,133,151,,,,,0,16,300,630,
10,2,ALDAMA,28,U,28,B,,124,125,,,,,0,9,258,586,
10,2,ALDAMA,28,U,28,C1,,123,151,,,,,0,10,284,586,
10,2,ALDAMA,29,R,29,B,,7,27,,,,,0,5,39,66,
10,2,ALDAMA,30,R,30,B,,37,75,,,,,0,5,117,254,
10,2,ALDAMA,31,R,31,B,,25,83,,,,,0,5,113,237,
10,2,ALDAMA,32,R,32,B,,64,148,,,,,0,18,230,489,
10,2,ALDAMA,33,R,33,B,,4,20,,,,,0,2,26,85,
10,2,ALDAMA,34,R,34,B,,85,138,,,,,0,13,236,464,
10,2,ALDAMA,34,R,34,C1,,77,127,,,,,0,12,216,464,
