ID_ESTADO,NOMBRE_ESTADO,DISTRITOS_LOCALES,MUNICIPIOS,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,OBSERVACIONES,RUTA_ACTA
31,YUCATAN,15,106,1116,2666,431634,366992,22028,25622,18087,17231,17419,204134,9237,1112384,249,23437,1136070,1544062,,
31,YUCATAN,0,0,0,0,300,73,16,7,12,20,0,237,7,672,0,9,681,1030,,
