ID_ESTADO,NOMBRE_ESTADO,DISTRITOS_LOCALES,MUNICIPIOS,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,OBSERVACIONES,RUTA_ACTA
31,YUCATAN,15,106,1116,2666,428941,363837,22028,22711,15803,14546,15970,201341,7150,5378,2832,3647,746,290,4132,1599,207,1226,1112384,249,23437,1136070,1544062,,
31,YUCATAN,0,0,0,0,291,71,16,7,5,11,0,228,2,18,1,1,0,0,17,3,0,1,672,0,9,681,1030,,
