ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN_MC,PRI_PVEM_NA,PRD,PT_MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,1,MERIDA,84,191,32030,24228,772,18634,75664,22,1597,77283,109953,
31,YUCATAN,2,MERIDA,127,228,37636,24916,1152,19026,82730,24,1677,84431,115737,
31,YUCATAN,3,MERIDA,68,192,29576,21699,885,24442,76602,24,1248,77874,118833,
31,YUCATAN,4,MERIDA,69,201,42706,23746,1005,17694,85151,21,1272,86444,117468,
31,YUCATAN,5,MERIDA,70,186,40443,22103,831,15336,78713,25,1154,79892,111563,
31,YUCATAN,6,KANASIN,41,147,24433,22754,1724,14277,63188,5,1569,64762,94775,
31,YUCATAN,7,MERIDA,52,171,25245,19875,549,15576,61245,13,1603,62861,106292,
31,YUCATAN,8,UMAN,61,163,29918,27001,1787,13189,71895,9,1832,73736,95388,
31,YUCATAN,9,PROGRESO,81,176,27312,31505,892,11839,71548,5,1850,73403,104059,
31,YUCATAN,10,TIZIMIN,74,160,19553,30467,455,17676,68151,7,1364,69522,90495,
31,YUCATAN,11,VALLADOLID,65,157,23018,29298,711,19548,72575,14,1361,73950,92739,
31,YUCATAN,12,TEKAX,72,164,26169,29211,6334,10560,72274,50,2323,74647,94571,
31,YUCATAN,13,TICUL,66,166,28918,34457,1876,14165,79416,22,1720,81158,96496,
31,YUCATAN,14,TECOH,85,170,27209,32649,1790,8242,69890,3,1260,71153,94010,
31,YUCATAN,15,IZAMAL,101,194,34699,36124,1265,11254,83342,5,1607,84954,101683,
31,YUCATAN,0,VOTO EN EL EXTRANJERO,0,0,320,80,16,256,672,0,9,681,1030,
