ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_MC,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,1,MERIDA,84,191,30975,22682,772,452,1118,555,328,16154,553,500,308,384,67,7,473,159,20,157,75664,22,1597,77283,109953,
31,YUCATAN,2,MERIDA,127,228,36386,23309,1152,448,1121,578,298,16713,503,672,349,448,57,7,428,142,19,100,82730,24,1677,84431,115737,
31,YUCATAN,3,MERIDA,68,192,28558,20179,885,507,1344,541,344,21535,661,477,285,306,57,21,579,174,22,127,76602,24,1248,77874,118833,
31,YUCATAN,4,MERIDA,69,201,41506,22311,1005,505,1032,600,278,15582,552,600,277,324,44,7,352,104,6,66,85151,21,1272,86444,117468,
31,YUCATAN,5,MERIDA,70,186,39306,20755,831,411,961,560,275,13449,416,577,286,312,49,15,318,108,5,79,78713,25,1154,79892,111563,
31,YUCATAN,6,KANASIN,41,147,22681,18689,1724,2406,1063,1457,1303,12149,458,295,103,159,60,34,360,115,37,95,63188,5,1569,64762,94775,
31,YUCATAN,7,MERIDA,52,171,24320,18209,549,402,1137,479,547,13229,477,446,279,371,50,17,429,163,21,120,61245,13,1603,62861,106292,
31,YUCATAN,8,UMAN,61,163,28391,23035,1787,2655,971,1276,960,11420,469,251,107,179,42,23,144,99,16,70,71895,9,1832,73736,95388,
31,YUCATAN,9,PROGRESO,81,176,25957,26596,892,2530,978,990,1812,10017,455,365,208,236,98,25,219,88,6,76,71548,5,1850,73403,104059,
31,YUCATAN,10,TIZIMIN,74,160,18974,27878,455,1400,1028,453,728,15894,345,126,127,242,36,56,219,104,13,73,68151,7,1364,69522,90495,
31,YUCATAN,11,VALLADOLID,65,157,22296,25685,711,3072,813,569,214,17848,508,153,87,193,20,27,226,78,8,67,72575,14,1361,73950,92739,
31,YUCATAN,12,TEKAX,72,164,25462,24486,6334,3446,2098,475,920,7936,268,232,106,166,63,24,95,121,12,30,72274,50,2323,74647,94571,
31,YUCATAN,13,TICUL,66,166,26478,28519,1876,1298,1058,2065,4321,12606,219,375,181,79,51,8,108,68,8,98,79416,22,1720,81158,96496,
31,YUCATAN,14,TECOH,85,170,24950,27891,1790,1390,437,2130,3200,6609,1086,129,46,85,27,10,47,33,4,26,69890,3,1260,71153,94010,
31,YUCATAN,15,IZAMAL,101,194,32701,33613,1265,1789,644,1818,442,10200,180,180,83,163,25,9,135,43,10,42,83342,5,1607,84954,101683,
31,YUCATAN,0,VOTO EN EL EXTRANJERO,0,0,291,71,16,7,5,11,0,228,2,18,1,1,0,0,17,3,0,1,672,0,9,681,1030,
