ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
11,GUANAJUATO,1,ABASOLO,50,111,12421,8168,573,8086,602,167,497,425,319,1527,0,0,0,3,32788,760,33548,64501,0.5201
11,GUANAJUATO,2,ACAMBARO,90,174,12362,2072,17158,3456,674,0,1978,624,0,0,0,0,0,24,38348,1540,39888,93723,0.4256
11,GUANAJUATO,3,SAN MIGUEL DE ALLENDE,103,210,25477,13620,607,1459,1069,1195,811,0,6073,2770,898,0,325,56,54035,2241,56276,116877,0.4815
11,GUANAJUATO,4,APASEO EL ALTO,44,85,9090,3536,1464,3389,156,6149,448,0,0,0,0,0,0,3,24235,593,24828,48360,0.5134
11,GUANAJUATO,5,APASEO EL GRANDE,43,107,10569,7986,1194,565,415,4229,258,1919,0,512,152,0,8,8,27807,793,28600,62017,0.4612
11,GUANAJUATO,6,ATARJEA,5,10,2034,886,0,394,0,0,27,0,0,0,46,0,12,0,3387,61,3448,4083,0.8445
11,GUANAJUATO,7,CELAYA,247,580,61227,31763,3130,7641,3474,10360,5068,9740,3111,4453,1972,0,0,112,142051,4421,146472,341368,0.4291
11,GUANAJUATO,8,MANUEL DOBLADO,42,61,6326,5628,3318,157,0,0,212,102,0,0,301,0,0,2,16046,382,16428,30287,0.5424
11,GUANAJUATO,9,COMONFORT,43,99,6827,5029,3525,0,0,1868,855,240,0,0,0,7873,0,9,26226,977,27203,56870,0.4783
11,GUANAJUATO,10,CORONEO,10,17,1867,2734,54,353,347,235,36,0,0,0,167,0,0,1,5794,178,5972,9216,0.648
11,GUANAJUATO,11,CORTAZAR,55,124,9514,6686,10080,4925,545,526,1743,960,0,0,0,0,0,10,34989,984,35973,70281,0.5118
11,GUANAJUATO,12,CUERAMARO,21,39,7719,784,3782,0,225,0,338,13,0,0,0,0,0,1,12862,286,13148,22152,0.5935
11,GUANAJUATO,13,DOCTOR MORA,12,27,5758,3199,290,251,0,0,1092,233,242,0,0,0,0,3,11068,236,11304,16776,0.6738
11,GUANAJUATO,14,DOLORES HIDALGO C.I.N.,71,183,17377,14878,2258,5530,2468,981,2259,1811,1126,0,0,0,0,25,48713,2169,50882,105170,0.4838
11,GUANAJUATO,15,GUANAJUATO,93,223,12907,17302,11673,2114,739,0,1155,1674,1165,0,783,0,0,78,49590,1838,51428,128272,0.4009
11,GUANAJUATO,16,HUANIMARO,13,28,2838,660,357,2023,287,1550,1047,83,894,381,0,0,0,0,10120,161,10281,16307,0.6305
11,GUANAJUATO,17,IRAPUATO,249,636,68888,51965,2606,6155,1243,3385,3867,5596,0,0,1831,0,0,182,145718,5169,150887,384565,0.3924
11,GUANAJUATO,18,JARAL DEL PROGRESO,26,48,4991,7156,809,3571,0,0,802,207,0,0,0,0,0,3,17539,295,17834,27724,0.6433
11,GUANAJUATO,19,JERECUARO,56,84,6202,5884,217,7757,0,433,237,49,0,0,0,0,0,3,20782,954,21736,41040,0.5296
11,GUANAJUATO,20,LEON,723,1695,225873,84442,4284,24596,3040,9006,8803,8570,6967,12093,5929,0,0,400,394003,13669,407672,1006918,0.4049
11,GUANAJUATO,21,MOROLEON,35,76,5513,3321,6135,3069,0,1805,662,0,0,0,0,0,0,7,20512,489,21001,41583,0.505
11,GUANAJUATO,22,OCAMPO,18,34,3820,4991,726,518,0,0,0,0,0,0,0,0,0,1,10056,247,10303,16546,0.6227
11,GUANAJUATO,23,PENJAMO,113,223,24181,10087,12640,764,780,0,590,745,694,0,410,0,3357,123,54371,2111,56482,119643,0.4721
11,GUANAJUATO,24,PUEBLO NUEVO,8,19,883,3433,2950,0,52,0,81,0,0,0,0,0,0,1,7400,95,7495,10457,0.7167
11,GUANAJUATO,25,PURISIMA DEL RINCON,25,79,12339,8898,166,1241,0,0,0,257,0,0,0,0,0,8,22909,647,23556,49079,0.48
11,GUANAJUATO,26,ROMITA,50,80,6777,6634,3527,773,0,0,4116,883,0,0,0,0,0,2,22712,428,23140,42619,0.543
11,GUANAJUATO,27,SALAMANCA,154,342,32669,16987,2453,14158,0,2920,2430,5033,3146,0,0,0,0,112,79908,3377,83285,201711,0.4129
11,GUANAJUATO,28,SALVATIERRA,84,148,14533,15725,2430,2614,473,0,569,1200,0,0,0,0,0,19,37563,1243,38806,80355,0.4829
11,GUANAJUATO,29,SAN DIEGO DE LA UNION,28,47,4216,5155,529,2018,1625,0,392,123,0,0,0,0,0,1,14059,555,14614,26117,0.5596
11,GUANAJUATO,30,SAN FELIPE,71,137,10808,6909,993,11452,813,0,1545,287,1064,0,0,0,0,25,33896,1353,35249,74733,0.4717
11,GUANAJUATO,31,SAN FRANCISCO DEL RINCON,59,149,12433,10891,343,11259,200,0,545,289,242,619,0,0,0,15,36836,1066,37902,84933,0.4463
11,GUANAJUATO,32,SAN JOSE ITURBIDE,38,95,5677,4171,1487,12072,358,817,1854,361,0,498,0,0,0,5,27300,737,28037,53277,0.5262
11,GUANAJUATO,33,SAN LUIS DE LA PAZ,57,137,15284,8155,3492,2802,996,980,875,700,0,0,304,0,0,22,33610,1609,35219,82653,0.4261
11,GUANAJUATO,34,SANTA CATARINA,5,8,1516,1387,0,20,0,0,0,0,0,0,0,0,0,0,2923,49,2972,4114,0.7224
11,GUANAJUATO,35,SANTA CRUZ DE JUVENTINO ROSAS,36,96,10059,4436,10267,5546,261,0,1092,0,0,0,0,0,0,5,31666,646,32312,57739,0.5596
11,GUANAJUATO,36,SANTIAGO MARAVATIO,10,13,2045,2349,0,53,0,0,0,0,0,0,0,0,0,0,4447,83,4530,6590,0.6874
11,GUANAJUATO,37,SILAO DE LA VICTORIA,78,201,19491,11067,5776,6778,446,420,845,2856,0,624,0,0,0,25,48328,1421,49749,121716,0.4087
11,GUANAJUATO,38,TARANDACUAO,12,19,2225,2422,211,0,0,632,178,64,0,0,0,0,0,2,5734,176,5910,9939,0.5946
11,GUANAJUATO,39,TARIMORO,34,57,6655,4810,686,1600,97,1477,425,69,0,0,0,0,0,3,15822,434,16256,30411,0.5345
11,GUANAJUATO,40,TIERRA BLANCA,11,22,2847,2306,2914,639,0,0,54,116,0,0,67,0,0,0,8943,179,9122,12194,0.7481
11,GUANAJUATO,41,URIANGATO,26,75,5800,8743,676,9136,0,0,542,251,0,0,0,0,0,2,25150,464,25614,46860,0.5466
11,GUANAJUATO,42,VALLE DE SANTIAGO,75,201,20794,10688,6777,0,772,0,2918,1756,4828,0,0,0,0,24,48557,1354,49911,110490,0.4517
11,GUANAJUATO,43,VICTORIA,15,27,4505,3792,1168,0,0,0,214,21,0,0,0,0,0,0,9700,201,9901,14580,0.6791
11,GUANAJUATO,44,VILLAGRAN,28,72,8741,1495,2044,992,81,1006,6337,959,1857,0,0,0,0,1,23513,332,23845,42019,0.5675
11,GUANAJUATO,45,XICHU,14,22,3325,2136,0,236,0,0,0,0,0,0,0,0,0,1,5698,123,5821,8181,0.7115
11,GUANAJUATO,46,YURIRIA,57,105,6865,4769,304,10152,0,0,880,949,6024,0,0,0,0,5,29948,919,30867,59217,0.5213
