id_entidad_electoral,fecha_jornada,id_cargo,nombre_cargo,id_estado,id_distrito,seccion,id_casilla,tipo_casilla,descripcion,ext_contigua,id_municipio,nombre_municipio,lista_nominal,estatus_casilla,descripcion,resultados_obtenidos,tipo_urna,descripcion,seccion,PAN,PRI,PRD,PT,PVEM,Nulos,total
13,14/11/1999,12,Ayuntamientos,13,0,78,1,B,Basica,0,4,AGUA BLANCA DE ITURBIDE,541,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,78,0,151,195,0,0,23,369
13,14/11/1999,12,Ayuntamientos,13,0,84,1,C,Contigua,0,5,AJACUBA,462,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,84,68,80,53,108,0,4,313
13,14/11/1999,12,Ayuntamientos,13,0,85,1,B,Basica,0,5,AJACUBA,460,AL,Anulada por el Tribunal Local,P,T,Urna tradicional,85,0,0,0,0,0,0,0
13,14/11/1999,12,Ayuntamientos,13,0,85,1,C,Contigua,0,5,AJACUBA,460,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,85,33,184,47,10,0,5,279
13,14/11/1999,12,Ayuntamientos,13,0,90,1,B,Basica,0,5,AJACUBA,249,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,90,71,65,13,7,0,0,156
13,14/11/1999,12,Ayuntamientos,13,0,91,1,B,Basica,0,5,AJACUBA,176,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,91,23,62,9,19,0,5,118
13,14/11/1999,12,Ayuntamientos,13,0,99,1,C,Contigua,0,6,ALFAJAYUCAN,435,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,99,0,93,88,0,0,10,191
13,14/11/1999,12,Ayuntamientos,13,0,115,1,C,Contigua,0,7,ALMOLOYA,465,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,115,134,149,3,25,0,0,311
13,14/11/1999,12,Ayuntamientos,13,0,131,1,C,Contigua,0,8,APAN,583,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,131,4,144,11,119,30,6,314
13,14/11/1999,12,Ayuntamientos,13,0,132,1,C,Contigua,0,8,APAN,473,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,132,6,117,10,89,27,2,251
13,14/11/1999,12,Ayuntamientos,13,0,134,1,C,Contigua,0,8,APAN,628,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,134,7,132,7,123,32,8,309
13,14/11/1999,12,Ayuntamientos,13,0,136,1,B,Basica,0,8,APAN,527,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,136,4,141,6,95,23,3,272
13,14/11/1999,12,Ayuntamientos,13,0,137,1,B,Basica,0,8,APAN,615,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,137,7,147,3,131,40,17,345
13,14/11/1999,12,Ayuntamientos,13,0,148,1,C,Contigua,0,8,APAN,422,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,148,2,89,2,39,6,12,150
13,14/11/1999,12,Ayuntamientos,13,0,151,1,B,Basica,0,8,APAN,609,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,151,0,99,6,83,15,1,204
13,14/11/1999,12,Ayuntamientos,13,0,387,1,B,Basica,0,24,HUASCA DE OCAMPO,595,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,387,29,147,149,0,0,9,334
13,14/11/1999,12,Ayuntamientos,13,0,400,1,B,Basica,0,24,HUASCA DE OCAMPO,438,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,400,16,116,108,0,0,9,249
13,14/11/1999,12,Ayuntamientos,13,0,406,1,C,Contigua,0,25,HUAUTLA,442,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,406,80,156,8,0,0,11,255
13,14/11/1999,12,Ayuntamientos,13,0,411,1,B,Basica,0,25,HUAUTLA,498,EC,Casilla con resultados de acta de escrutinio y computo,P,T,Urna tradicional,411,235,29,2,0,0,35,301
