ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PAN_NA,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,1,ABALA,6,11,1937,1925,5,2,12,20,33,411,7,,7,21,,,9,14,,,8,4,3,7,,,,,,4425,1,78,4504,4892,
31,YUCATAN,2,ACANCEH,7,18,319,3893,923,4037,18,30,34,175,9,,,42,,,7,28,1,1,17,9,1,3,,,,,,9547,20,175,9742,11578,
31,YUCATAN,3,AKIL,5,13,412,2159,1388,66,1776,,,158,10,,0,29,,,10,9,3,,18,3,0,1,,,,,,6042,2,115,6159,7792,
31,YUCATAN,4,BACA,5,8,48,1700,810,11,1,954,98,85,4,,,19,,,6,4,1,0,14,4,0,3,,,,,,3762,0,45,3807,4519,
31,YUCATAN,5,BOKOBA,2,4,708,1049,3,6,,2,4,,,,,10,,,3,5,1,,3,1,,1,,,,,,1796,0,15,1811,1956,
31,YUCATAN,6,BUCTZOTZ,6,12,2152,2677,,3,19,18,4,686,14,,,32,,,13,12,1,1,11,3,1,1,,,,,,5648,2,82,5732,6752,
31,YUCATAN,7,CACALCHEN,4,9,347,2668,6,5,17,33,2,1562,3,0,0,20,0,,13,7,2,0,14,5,2,2,,,,,,4708,0,88,4796,5478,
31,YUCATAN,8,CALOTMUL,4,6,1119,1782,,,4,,2,92,1,,,10,,,6,23,1,0,7,5,0,1,,,,,,3053,0,55,3108,3352,
31,YUCATAN,9,CANSAHCAB,6,9,553,841,1085,415,2,2,100,76,2,,,22,,,15,15,1,,15,4,1,2,,,,,,3151,0,100,3251,3664,
31,YUCATAN,10,CANTAMAYEC,3,4,675,429,,517,1,1,1,7,0,,,9,,,6,15,0,,3,2,0,0,,,,,,1666,1,40,1707,1785,
31,YUCATAN,11,CELESTUN,4,9,102,1453,630,1192,14,780,7,190,10,,,22,,,7,11,6,1,25,6,0,4,,,,,,4460,3,61,4524,5500,
31,YUCATAN,12,CENOTILLO,5,7,966,1238,,1,,336,3,,,,,19,,,6,9,1,1,13,8,3,2,,,,,,2606,1,68,2675,3078,
31,YUCATAN,13,CONKAL,6,15,2818,3145,,12,22,22,25,413,27,,,27,,,11,23,3,0,10,5,0,4,,,,,,6567,1,173,6741,8331,
31,YUCATAN,14,CUNCUNUL,2,3,399,790,,0,0,9,1,83,0,,,12,,,6,8,,,7,0,0,1,,,,,,1316,0,31,1347,1360,
31,YUCATAN,15,CUZAMA,3,6,68,1464,149,9,8,1241,90,147,6,,,13,,,2,4,,,2,1,0,2,,,,,,3206,0,50,3256,3794,
31,YUCATAN,16,CHACSINKIN,1,3,75,849,,1096,,0,0,,,,,6,,,1,3,0,,4,1,,1,,,,,,2036,0,27,2063,2126,
31,YUCATAN,17,CHANKOM,4,8,12,2182,1,,112,1023,,52,1,,5,9,,,8,18,4,,6,6,1,3,,,,,,3443,2,84,3529,3602,
31,YUCATAN,18,CHAPAB,3,6,1100,721,,,2,4,720,37,0,,,5,,,,,,,0,0,0,1,,,,,,2590,0,63,2653,2928,
31,YUCATAN,19,CHEMAX,13,37,9827,7526,104,,96,,,1507,,,9,63,,,34,42,7,1,53,18,4,18,,,,,,19309,1,375,19685,22062,
31,YUCATAN,20,CHICXULUB PUEBLO,2,5,1103,1587,,4,7,6,3,150,4,,,12,,,12,10,0,0,7,4,0,2,,,,,,2911,0,44,2955,3356,
31,YUCATAN,21,CHICHIMILA,6,12,1868,3039,8,319,5,13,,94,3,,1,18,,,22,17,1,,28,6,1,10,,,,,,5453,0,129,5582,5959,
31,YUCATAN,22,CHIKINDZONOT,3,5,277,1868,,,10,22,,376,8,,,14,,,7,14,2,,4,6,0,1,,,,,,2609,1,53,2663,2952,
31,YUCATAN,23,CHOCHOLA,3,6,130,1032,15,6,19,1028,3,799,9,,,8,,,5,15,1,0,10,2,1,4,,,,,,3087,0,67,3154,3570,
31,YUCATAN,24,CHUMAYEL,2,4,1314,982,,,8,,,12,3,,,5,,,2,7,,,3,3,0,0,,,,,,2339,0,35,2374,2593,
31,YUCATAN,25,DZAN,2,6,1450,1175,204,,2,497,,162,2,,,11,,,1,5,,,5,0,0,2,,,,,,3516,0,61,3577,3973,
31,YUCATAN,26,DZEMUL,3,6,417,1162,,1090,9,4,21,47,2,,,8,,,2,2,2,,2,1,1,2,,,,,,2772,1,37,2810,3092,
31,YUCATAN,27,DZIDZANTUN,5,12,2066,2250,,794,19,,,202,7,,,22,,,17,8,,,7,4,1,2,,,,,,5399,1,83,5483,6459,
31,YUCATAN,28,DZILAM DE BRAVO,2,4,910,977,,3,6,,,29,1,,,9,,,8,4,1,,3,0,0,0,,,,,,1951,3,21,1975,2213,
31,YUCATAN,29,DZILAM GONZALEZ,5,10,1879,2172,,4,9,11,,52,2,,,26,,,10,7,4,,11,2,0,3,,,,,,4192,2,77,4271,4842,
31,YUCATAN,30,DZITAS,4,5,488,1113,3,2,2,6,2,106,858,0,0,7,0,,12,5,0,0,10,1,,4,,,,,,2619,2,27,2648,2967,
31,YUCATAN,31,DZONCAUICH,3,5,1200,1368,,2,1,0,2,15,0,,,9,,,8,4,1,0,9,0,0,1,,,,,,2620,0,26,2646,2846,
31,YUCATAN,32,ESPITA,8,17,2056,4152,,1538,32,28,,602,,,,39,,,18,28,4,0,19,15,,9,,,,,,8540,16,102,8658,10520,
31,YUCATAN,33,HALACHO,10,26,1572,4621,61,,36,,5538,750,13,,,38,,,26,17,5,1,39,12,1,7,,,,,,12737,4,240,12981,14705,
31,YUCATAN,34,HOCABA,5,9,455,847,403,46,22,,224,1087,692,,,13,,,9,6,1,,10,4,1,1,,,,,,3821,1,71,3893,4666,
31,YUCATAN,35,HOCTUN,5,9,1887,1889,2,12,1,,49,49,4,,,,,,,,,,2,0,0,0,79,,,,,3974,4,67,4045,4738,
31,YUCATAN,36,HOMUN,6,11,2352,2278,120,285,10,4,47,64,1,,,27,,,18,21,3,4,39,14,2,3,,,,,,5292,1,93,5386,5930,
31,YUCATAN,37,HUHI,4,8,1412,1361,16,,3,2,589,26,2,,,19,,,5,5,1,,18,4,2,3,,,,,,3468,0,86,3554,3973,
31,YUCATAN,38,HUNUCMA,15,41,6404,5334,77,2760,84,66,122,2076,299,,,74,,,42,47,13,1,65,12,4,16,,,,,,17496,7,348,17851,23400,
31,YUCATAN,39,IXIL,2,5,1221,1260,,27,2,10,4,54,1,,,8,,,7,8,0,,7,3,0,1,,,,,,2613,1,41,2655,2994,
31,YUCATAN,40,IZAMAL,15,35,4800,8582,,49,105,114,26,1378,50,,,52,,,32,31,6,1,42,13,2,16,,,,,,15299,4,282,15585,19663,
31,YUCATAN,41,KANASIN,20,98,10270,11860,577,2058,492,2800,2579,7958,323,2,3,112,,,54,57,12,2,113,46,4,28,,,,,,39350,6,921,40277,66320,
31,YUCATAN,42,KANTUNIL,3,6,1312,1484,13,264,5,3,4,90,1,0,0,16,0,,6,3,0,,8,3,0,2,,,,,,3214,1,35,3250,3958,
31,YUCATAN,43,KAUA,1,3,278,962,,,4,,,790,0,,,8,,,2,2,,,8,0,0,1,,,,,,2055,1,27,2083,2196,
31,YUCATAN,44,KINCHIL,4,9,2615,1170,38,440,5,9,27,53,3,,,12,,,3,7,2,,28,4,0,8,,,,,,4424,1,66,4491,5021,
31,YUCATAN,45,KOPOMA,2,4,33,770,368,,50,14,41,327,4,,,7,,,3,4,1,,4,3,0,2,,,,,,1631,1,33,1665,1995,
31,YUCATAN,46,MAMA,2,4,963,1154,7,2,4,4,0,102,1,0,0,4,0,,0,1,0,0,8,3,0,1,,,,,,2254,0,21,2275,2506,
31,YUCATAN,47,MANI,3,8,29,1564,2012,,19,35,2,86,2,,,13,0,,6,8,1,,6,0,0,4,,,,,,3787,0,76,3863,4220,
31,YUCATAN,48,MAXCANU,12,29,1029,4920,24,2130,56,46,3266,1195,20,,12,33,,,17,14,8,1,11,7,1,6,,,,,,12796,3,294,13093,16477,
31,YUCATAN,49,MAYAPAN,2,5,1183,1186,0,,1,,,7,2,,0,7,,,1,3,1,,8,5,0,2,,,,,,2406,2,67,2475,2504,
31,YUCATAN,50,MERIDA,470,1169,202979,121296,6380,4890,5663,5504,2852,99535,4407,0,0,2547,0,,1575,1997,248,92,2240,748,115,629,,,,,,463697,178,10198,474073,679846,
31,YUCATAN,51,MOCOCHA,4,5,1054,1077,,1,1,15,182,75,0,,,13,,,,6,2,,3,1,0,1,,,,,,2431,0,51,2482,2685,
31,YUCATAN,52,MOTUL,19,42,2615,6435,1117,4359,96,95,3401,1493,71,,,48,,,21,29,11,,47,19,7,13,,,,,,19877,5,481,20363,25509,
31,YUCATAN,53,MUNA,7,16,861,3986,1748,16,47,19,127,594,11,,,8,,,,,,,8,7,0,3,,24,,,,7459,0,218,7677,9694,
31,YUCATAN,54,MUXUPIP,3,4,82,748,,65,1,1,1150,26,0,14,3,2,1,,1,4,,,2,1,0,1,,,,,,2102,0,57,2159,2359,
31,YUCATAN,55,OPICHEN,3,8,1727,851,,,50,29,11,1383,3,1,2,8,,,1,4,0,,16,5,0,4,,,,,,4095,0,87,4182,4852,
31,YUCATAN,56,OXKUTZCAB,16,38,2763,5142,6293,794,85,85,280,286,8,115,5,25,1,,14,20,2,1,79,21,7,25,,,,,,16051,4,430,16485,22275,
31,YUCATAN,57,PANABA,6,11,2816,2147,,6,2,5,0,52,0,,,10,,,5,20,0,0,17,3,0,4,,,,,,5087,1,134,5222,5596,
31,YUCATAN,58,PETO,17,30,2407,3844,197,3471,79,51,54,1952,20,,,13,,,,,,18,10,12,0,3,,,202,,,12333,5,428,12766,16396,
31,YUCATAN,59,PROGRESO,30,73,12377,10909,194,119,209,240,149,3053,140,5,4,61,,,30,97,14,2,193,155,5,42,,,,,,27998,7,708,28713,44094,
31,YUCATAN,60,QUINTANA ROO,1,2,360,461,,,,4,,,,,,0,,,1,,1,,5,,,1,,,,,,833,0,33,866,954,
31,YUCATAN,61,RIO LAGARTOS,3,6,1288,973,,6,11,10,3,257,3,,,10,,,4,11,0,0,6,1,0,5,,,,,,2588,1,68,2657,2909,
31,YUCATAN,62,SACALUM,3,6,61,1197,,61,7,1804,2,47,4,,,2,,,3,11,2,,12,2,0,1,,,,,,3216,0,66,3282,3670,
