DISTRITO,MUNICIPIO,DTO_R,CAB_R,MUNI_R,SECCION,CASILLA,PAN,FIDE,PRD,PRV,NO_REG,NULOS
PEROTE,ACAJETE,10,1,1,1,B,53,123,354,0,0,26
PEROTE,ACAJETE,10,1,1,1,C,63,96,393,0,0,25
PEROTE,ACAJETE,10,1,1,2,B,138,261,16,0,0,11
PEROTE,ACAJETE,10,1,1,2,C,117,290,15,0,2,15
PEROTE,ACAJETE,10,1,1,3,B,95,256,137,0,0,15
PEROTE,ACAJETE,10,1,1,3,C,87,233,136,0,0,25
PEROTE,ACAJETE,10,1,1,4,B,76,112,18,0,0,3
PEROTE,ACAJETE,10,1,1,4,X,95,107,18,0,0,17
MISANTLA,ACATLAN,9,1,2,5,B,45,97,133,89,0,14
MISANTLA,ACATLAN,9,1,2,5,C,37,97,130,116,0,9
MISANTLA,ACATLAN,9,1,2,6,B,30,104,100,145,0,11
MISANTLA,ACATLAN,9,1,2,6,C,49,100,92,113,0,14
ACAYUCAN,ACAYUCAN,26,0,3,7,B,125,77,6,127,0,17
ACAYUCAN,ACAYUCAN,26,0,3,7,C,144,62,10,105,0,11
ACAYUCAN,ACAYUCAN,26,0,3,7,C2,124,66,10,114,0,14
ACAYUCAN,ACAYUCAN,26,0,3,8,B,97,76,20,124,0,22
ACAYUCAN,ACAYUCAN,26,0,3,9,B,142,57,25,141,0,17
ACAYUCAN,ACAYUCAN,26,0,3,9,C,126,54,22,181,0,37
ACAYUCAN,ACAYUCAN,26,0,3,10,B,108,78,11,77,0,17
ACAYUCAN,ACAYUCAN,26,0,3,10,C,114,73,24,86,0,0
ACAYUCAN,ACAYUCAN,26,0,3,11,B,135,92,19,127,1,13
ACAYUCAN,ACAYUCAN,26,0,3,11,C,124,85,18,114,0,13
ACAYUCAN,ACAYUCAN,26,0,3,12,B,64,46,7,79,0,2
ACAYUCAN,ACAYUCAN,26,0,3,12,C,71,39,12,63,0,0
ACAYUCAN,ACAYUCAN,26,0,3,13,B,101,56,23,138,0,15
ACAYUCAN,ACAYUCAN,26,0,3,13,C,115,57,18,128,0,11
ACAYUCAN,ACAYUCAN,26,0,3,14,B,190,59,12,83,1,15
ACAYUCAN,ACAYUCAN,26,0,3,14,C,165,74,18,87,0,20
ACAYUCAN,ACAYUCAN,26,0,3,15,B,132,99,9,117,0,9
ACAYUCAN,ACAYUCAN,26,0,3,15,C,147,66,23,99,1,17
ACAYUCAN,ACAYUCAN,26,0,3,16,B,90,57,20,171,0,0
ACAYUCAN,ACAYUCAN,26,0,3,16,C,98,66,16,172,0,7
ACAYUCAN,ACAYUCAN,26,0,3,17,B,60,44,14,104,0,7
ACAYUCAN,ACAYUCAN,26,0,3,17,C,71,42,26,125,0,6
ACAYUCAN,ACAYUCAN,26,0,3,18,B,97,69,18,136,1,12
ACAYUCAN,ACAYUCAN,26,0,3,18,C,98,55,13,153,0,9
ACAYUCAN,ACAYUCAN,26,0,3,19,B,111,68,21,148,0,11
ACAYUCAN,ACAYUCAN,26,0,3,19,C,106,75,23,170,0,22
ACAYUCAN,ACAYUCAN,26,0,3,20,B,80,62,18,81,0,2
ACAYUCAN,ACAYUCAN,26,0,3,20,C,81,66,7,95,0,4
ACAYUCAN,ACAYUCAN,26,0,3,21,B,92,47,9,67,0,0
ACAYUCAN,ACAYUCAN,26,0,3,21,C,0,0,0,0,0,0
ACAYUCAN,ACAYUCAN,26,0,3,22,B,136,57,12,74,0,26
ACAYUCAN,ACAYUCAN,26,0,3,22,C,151,66,9,76,0,15
ACAYUCAN,ACAYUCAN,26,0,3,23,B,125,56,15,60,0,7
ACAYUCAN,ACAYUCAN,26,0,3,23,C,99,50,16,72,0,14
ACAYUCAN,ACAYUCAN,26,0,3,23,C2,110,71,26,78,0,12
ACAYUCAN,ACAYUCAN,26,0,3,24,B,95,72,14,154,0,8
ACAYUCAN,ACAYUCAN,26,0,3,24,C,111,50,18,131,0,9
ACAYUCAN,ACAYUCAN,26,0,3,24,C2,94,63,10,152,0,12
ACAYUCAN,ACAYUCAN,26,0,3,25,B,67,65,22,119,0,10
