Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 15 - COALCOMAN,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 241 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,37,73,,,3,,12,131,4,,,,,,,,,,0,11,271,471
C1,AC,Urna tradicional,38,68,,,3,,8,109,11,,,,,,,,,,0,13,250,472
Total,,,75,141,0,0,6,0,20,240,15,0,0,0,0,0,0,0,0,0,0,24,521,943
Sección 242 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,35,128,,,1,,14,166,4,,,,,,,,,,0,4,352,613
C1,AC,Urna tradicional,21,119,,,1,,10,172,6,,,,,,,,,,0,10,339,613
C2,AC,Urna tradicional,42,122,,,0,,10,154,0,,,,,,,,,,0,11,339,613
C3,AC,Urna tradicional,38,88,,,5,,11,188,11,,,,,,,,,,0,9,350,613
C4,AC,Urna tradicional,32,124,,,5,,17,144,13,,,,,,,,,,0,7,342,614
Total,,,168,581,0,0,12,0,62,824,34,0,0,0,0,0,0,0,0,0,0,41,1722,3066
Sección 243 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,8,6,,,1,,3,15,0,,,,,,,,,,0,0,33,111
Total,,,8,6,0,0,1,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,33,111
Sección 244 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,8,37,,,2,,4,51,1,,,,,,,,,,0,1,104,176
Total,,,8,37,0,0,2,0,4,51,1,0,0,0,0,0,0,0,0,0,0,1,104,176
Sección 245 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,10,25,,,1,,0,140,0,,,,,,,,,,1,3,180,432
C1,AC,Urna tradicional,2,24,,,0,,1,108,2,,,,,,,,,,0,3,140,433
Total,,,12,49,0,0,1,0,1,248,2,0,0,0,0,0,0,0,0,0,1,6,320,865
Sección 246 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,20,133,,,4,,7,183,11,,,,,,,,,,0,14,372,633
Total,,,20,133,0,0,4,0,7,183,11,0,0,0,0,0,0,0,0,0,0,14,372,633
Sección 247 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,6,9,,,1,,0,49,15,,,,,,,,,,0,0,80,131
Total,,,6,9,0,0,1,0,0,49,15,0,0,0,0,0,0,0,0,0,0,0,80,131
Sección 248 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,11,21,,,1,,4,44,1,,,,,,,,,,0,2,84,164
Total,,,11,21,0,0,1,0,4,44,1,0,0,0,0,0,0,0,0,0,0,2,84,164
