Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 104 - VENUSTIANO CARRANZA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 2317 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,36,133,59,1,0,0,0,,,,,1,,2,,,0,,0,8,240,388
Total,,,36,133,59,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,8,240,388
Sección 2318 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,46,106,90,4,0,0,1,,,,,0,,1,,,2,,1,3,254,445
C1,AC,Urna tradicional,60,75,99,5,0,0,0,,,,,1,,2,,,3,,1,8,254,446
Total,,,106,181,189,9,0,0,1,0,0,0,0,1,0,3,0,0,5,0,2,11,508,891
Sección 2319 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,44,98,164,3,2,0,1,,,,,5,,2,,,0,,0,7,326,615
C1,AC,Urna tradicional,59,96,144,5,1,0,6,,,,,3,,0,,,4,,0,11,329,615
Total,,,103,194,308,8,3,0,7,0,0,0,0,8,0,2,0,0,4,0,0,18,655,1230
Sección 2320 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,41,139,93,1,0,0,2,,,,,1,,5,,,0,,0,9,291,535
C1,AC,Urna tradicional,49,155,75,2,1,0,2,,,,,0,,1,,,0,,1,10,296,535
Total,,,90,294,168,3,1,0,4,0,0,0,0,1,0,6,0,0,0,0,1,19,587,1070
Sección 2321 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,42,166,170,0,2,0,1,,,,,1,,0,,,0,,0,11,393,567
Total,,,42,166,170,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11,393,567
Sección 2322 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,22,91,123,0,0,0,0,,,,,0,,0,,,1,,0,9,246,411
C1,AC,Urna tradicional,24,86,95,0,0,2,1,,,,,2,,3,,,1,,1,7,222,411
