Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 76 - LOS REYES,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1684 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,159,105,53,37,3,0,4,,,,,2,,1,,,,0,0,6,370,612
C1,AC,Urna tradicional,147,120,49,35,1,1,4,,,,,0,,0,,,,0,0,8,365,612
C2,AC,Urna tradicional,131,120,66,26,3,0,4,,,,,1,,3,,,,0,0,5,359,613
Total,,,437,345,168,98,7,1,12,0,0,0,0,3,0,4,0,0,0,0,0,19,1094,1837
Sección 1685 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,107,143,84,20,4,2,3,,,,,0,,2,,,,0,0,19,384,574
C1,AC,Urna tradicional,110,165,61,10,3,0,5,,,,,1,,4,,,,0,0,8,367,575
E1,AC,Urna tradicional,57,51,31,24,0,0,1,,,,,1,,1,,,,0,0,6,172,240
Total,,,274,359,176,54,7,2,9,0,0,0,0,2,0,7,0,0,0,0,0,33,923,1389
Sección 1686 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,109,70,79,22,4,1,4,,,,,0,,0,,,,0,0,7,296,515
C1,AC,Urna tradicional,92,59,88,22,2,1,1,,,,,2,,1,,,,0,0,7,275,515
C2,AC,Urna tradicional,101,52,77,19,2,2,2,,,,,0,,1,,,,0,0,19,275,516
Total,,,302,181,244,63,8,4,7,0,0,0,0,2,0,2,0,0,0,0,0,33,846,1546
Sección 1687 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,129,77,94,39,3,2,2,,,,,5,,0,,,,0,0,18,369,626
C1,AC,Urna tradicional,155,67,80,39,4,2,4,,,,,0,,0,,,,0,4,9,364,626
C2,AC,Urna tradicional,137,65,78,43,2,4,4,,,,,2,,0,,,,0,0,13,348,627
Total,,,421,209,252,121,9,8,10,0,0,0,0,7,0,0,0,0,0,0,4,40,1081,1879
Sección 1688 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,155,75,51,51,3,5,1,,,,,2,,0,,,,0,0,14,357,685
C1,AC,Urna tradicional,145,87,51,59,0,2,3,,,,,3,,2,,,,0,0,20,372,685
Total,,,300,162,102,110,3,7,4,0,0,0,0,5,0,2,0,0,0,0,0,34,729,1370
Sección 1689 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,97,55,51,47,1,1,1,,,,,0,,0,,,,0,0,10,263,481
C1,AC,Urna tradicional,129,63,39,27,0,0,0,,,,,0,,0,,,,0,0,4,262,482
Total,,,226,118,90,74,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,525,963
Sección 1690 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,89,69,53,35,5,3,2,,,,,1,,0,,,,0,0,0,257,500
C1,AC,Urna tradicional,106,64,42,50,0,0,0,,,,,0,,0,,,,0,0,5,267,500
Total,,,195,133,95,85,5,3,2,0,0,0,0,1,0,0,0,0,0,0,0,5,524,1000
Sección 1691 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,130,58,44,37,1,2,4,,,,,3,,0,,,,2,1,7,289,504
C1,AC,Urna tradicional,124,53,67,32,2,3,6,,,,,3,,0,,,,1,0,5,296,505
C2,AC,Urna tradicional,117,42,70,40,2,6,3,,,,,1,,2,,,,1,0,6,290,505
Total,,,371,153,181,109,5,11,13,0,0,0,0,7,0,2,0,0,0,4,1,18,875,1514
Sección 1692 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,140,97,81,49,3,4,3,,,,,5,,2,,,,0,0,14,398,738
C1,AC,Urna tradicional,169,81,61,44,3,2,2,,,,,0,,0,,,,0,0,15,377,739
Total,,,309,178,142,93,6,6,5,0,0,0,0,5,0,2,0,0,0,0,0,29,775,1477
Sección 1693 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,129,65,38,23,1,1,1,,,,,0,,0,,,,0,0,6,264,461
C1,AC,Urna tradicional,124,60,24,45,1,1,4,,,,,2,,0,,,,0,0,3,264,462
Total,,,253,125,62,68,2,2,5,0,0,0,0,2,0,0,0,0,0,0,0,9,528,923
Sección 1694 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,115,58,50,38,1,0,11,,,,,5,,0,,,,1,0,8,287,575
