Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 56 - MUGICA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1297 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,42,154,66,2,0,0,,,,,,,,,,,0,,0,18,282,486
C1,AC,Urna tradicional,39,126,73,0,1,0,,,,,,,,,,,0,,0,10,249,487
Total,,,81,280,139,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,531,973
Sección 1298 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,61,97,95,5,1,0,,,,,,,,,,,0,,0,15,274,571
C1,AC,Urna tradicional,64,126,77,4,4,1,,,,,,,,,,,0,,0,15,291,571
C2,AC,Urna tradicional,74,140,67,5,1,0,,,,,,,,,,,0,,0,13,300,571
C3,AC,Urna tradicional,78,99,76,0,0,0,,,,,,,,,,,0,,0,8,261,572
Total,,,277,462,315,14,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1126,2285
Sección 1299 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,50,176,97,0,0,0,,,,,,,,,,,0,,0,12,335,594
C1,AC,Urna tradicional,59,174,80,3,2,1,,,,,,,,,,,0,,0,0,319,594
Total,,,109,350,177,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,654,1188
Sección 1300 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,94,168,86,3,2,0,,,,,,,,,,,0,,0,15,368,710
C1,AC,Urna tradicional,73,159,86,6,0,0,,,,,,,,,,,0,,0,31,355,710
Total,,,167,327,172,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,723,1420
Sección 1301 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,67,161,56,4,2,0,,,,,,,,,,,0,,2,16,308,648
C1,AC,Urna tradicional,82,197,52,5,1,0,,,,,,,,,,,0,,0,10,347,648
Total,,,149,358,108,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26,655,1296
Sección 1302 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,77,122,96,4,2,0,,,,,,,,,,,0,,0,0,301,617
C1,AC,Urna tradicional,92,120,69,7,0,0,,,,,,,,,,,0,,0,20,308,617
C2,AC,Urna tradicional,82,150,73,8,2,2,,,,,,,,,,,0,,0,12,329,618
Total,,,251,392,238,19,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,32,938,1852
Sección 1303 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,71,117,82,5,0,0,,,,,,,,,,,0,,0,12,287,589
C1,AC,Urna tradicional,61,120,81,3,0,2,,,,,,,,,,,0,,0,15,282,589
C2,AC,Urna tradicional,83,120,81,4,2,0,,,,,,,,,,,0,,0,7,297,590
Total,,,215,357,244,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,866,1768
Sección 1304 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,74,158,97,7,3,1,,,,,,,,,,,0,,0,25,365,746
C1,AC,Urna tradicional,66,166,102,3,0,0,,,,,,,,,,,1,,0,17,355,747
Total,,,140,324,199,10,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,42,720,1493
Sección 1305 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,56,122,50,3,3,1,,,,,,,,,,,0,,0,7,242,507
C1,AC,Urna tradicional,48,104,73,2,4,0,,,,,,,,,,,0,,0,14,245,508
C2,AC,Urna tradicional,61,110,48,3,4,0,,,,,,,,,,,0,,0,13,239,508
Total,,,165,336,171,8,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,34,726,1523
Sección 1306 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,49,128,78,2,0,2,,,,,,,,,,,0,,0,21,280,589
C1,AC,Urna tradicional,59,147,78,2,1,0,,,,,,,,,,,0,,0,12,299,590
Total,,,108,275,156,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,33,579,1179
Sección 1307 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,96,85,70,3,0,0,,,,,,,,,,,0,,0,7,261,511
C1,AC,Urna tradicional,81,97,62,4,1,0,,,,,,,,,,,0,,0,9,254,511
C2,AC,Urna tradicional,75,112,77,3,3,1,,,,,,,,,,,0,,0,5,276,511
Total,,,252,294,209,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,791,1533
Sección 1308 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,56,178,107,3,2,0,,,,,,,,,,,0,,0,15,361,647
C1,AC,Urna tradicional,56,182,93,3,2,0,,,,,,,,,,,0,,0,20,356,648
Total,,,112,360,200,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,717,1295
Sección 1309 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,62,110,79,2,2,1,,,,,,,,,,,0,,0,6,262,514
C1,AC,Urna tradicional,47,132,64,2,4,1,,,,,,,,,,,0,,0,10,260,514
Total,,,109,242,143,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,522,1028
Sección 1310 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,82,154,67,0,0,0,,,,,,,,,,,0,,0,11,314,559
C1,AC,Urna tradicional,85,134,68,3,0,2,,,,,,,,,,,0,,0,14,306,560
E1,AC,Urna tradicional,93,179,49,3,0,1,,,,,,,,,,,0,,0,16,341,584
Total,,,260,467,184,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,41,961,1703
Sección 1311 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,77,139,86,5,5,3,,,,,,,,,,,0,,1,9,325,604
C1,AC,Urna tradicional,87,168,58,1,0,0,,,,,,,,,,,0,,0,13,327,604
Total,,,164,307,144,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,1,22,652,1208
Sección 1312 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,49,214,69,3,3,1,,,,,,,,,,,0,,0,16,355,718
C1,AC,Urna tradicional,52,202,71,5,0,0,,,,,,,,,,,0,,0,13,343,718
Total,,,101,416,140,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,698,1436
Sección 1313 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,38,167,54,13,0,0,,,,,,,,,,,0,,0,13,285,608
C1,AC,Urna tradicional,34,140,78,4,0,1,,,,,,,,,,,0,,0,13,270,609
C2,AC,Urna tradicional,36,163,60,3,0,0,,,,,,,,,,,0,,0,13,275,609
Total,,,108,470,192,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,830,1826
Sección 1314 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,66,110,163,3,0,0,,,,,,,,,,,1,,0,20,363,588
Total,,,66,110,163,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,363,588
Sección 1315 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,120,123,96,13,5,2,,,,,,,,,,,1,,0,22,382,706
C1,AC,Urna tradicional,95,123,125,12,0,4,,,,,,,,,,,1,,0,29,389,706
C2,AC,Urna tradicional,120,112,89,6,1,3,,,,,,,,,,,0,,0,21,352,707
Total,,,335,358,310,31,6,9,0,0,0,0,0,0,0,0,0,0,2,0,0,72,1123,2119
Sección 1316 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,72,209,39,3,2,0,,,,,,,,,,,1,,0,23,349,709
C1,AC,Urna tradicional,90,199,67,4,1,0,,,,,,,,,,,0,,0,26,387,709
Total,,,162,408,106,7,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,49,736,1418
Sección 1317 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,78,241,64,4,0,0,,,,,,,,,,,0,,0,10,397,740
C1,AC,Urna tradicional,77,206,64,3,0,1,,,,,,,,,,,0,,0,27,378,741
Total,,,155,447,128,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,775,1481
Sección 1318 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,29,140,82,1,1,1,,,,,,,,,,,0,,0,7,261,544
C1,AC,Urna tradicional,34,140,88,2,1,1,,,,,,,,,,,4,,0,11,281,544
C2,AC,Urna tradicional,16,152,87,2,2,0,,,,,,,,,,,0,,0,9,268,544
Total,,,79,432,257,5,4,2,0,0,0,0,0,0,0,0,0,0,4,0,0,27,810,1632
Sección 1319 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,34,110,83,2,0,0,,,,,,,,,,,1,,0,7,237,507
C1,AC,Urna tradicional,35,102,98,4,0,1,,,,,,,,,,,0,,0,11,251,508
Total,,,69,212,181,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,18,488,1015
Sección 1320 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,91,154,77,0,2,0,,,,,,,,,,,0,,0,17,341,698
Total,,,91,154,77,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,341,698
Total municipal,,,3725,8138,4353,209,72,34,0,0,0,0,0,0,0,0,0,0,10,0,3,781,17325,33957
