Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 77 - SAHUAYO,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 1719 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,126,81,,,5,6,1,71,,,,1,,1,,,,,0,5,297,477
C1,AC,Urna tradicional,135,96,,,1,2,1,61,,,,2,,1,,,,,0,20,319,477
Total,,,261,177,0,0,6,8,2,132,0,0,0,3,0,2,0,0,0,0,0,25,616,954
Sección 1720 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,107,127,,,0,1,0,112,,,,0,,0,,,,,0,14,361,682
C1,AC,Urna tradicional,81,119,,,1,12,1,141,,,,0,,0,,,,,0,16,371,683
Total,,,188,246,0,0,1,13,1,253,0,0,0,0,0,0,0,0,0,0,0,30,732,1365
Sección 1721 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,115,72,,,0,1,0,172,,,,0,,0,,,,,0,30,390,631
C1,AC,Urna tradicional,130,73,,,4,1,0,162,,,,0,,0,,,,,0,18,388,631
C2,AC,Urna tradicional,126,101,,,0,0,0,148,,,,0,,0,,,,,0,17,392,631
C3,AC,Urna tradicional,123,105,,,0,4,0,134,,,,0,,0,,,,,0,8,374,631
Total,,,494,351,0,0,4,6,0,616,0,0,0,0,0,0,0,0,0,0,0,73,1544,2524
Sección 1722 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,169,135,,,0,5,0,108,,,,0,,0,,,,,1,13,431,745
Total,,,169,135,0,0,0,5,0,108,0,0,0,0,0,0,0,0,0,0,1,13,431,745
Sección 1723 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,74,73,,,0,2,0,75,,,,0,,2,,,,,0,3,229,442
C1,AC,Urna tradicional,59,82,,,0,8,0,73,,,,0,,1,,,,,1,5,229,442
Total,,,133,155,0,0,0,10,0,148,0,0,0,0,0,3,0,0,0,0,1,8,458,884
Sección 1724 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,109,95,,,1,3,2,74,,,,0,,0,,,,,0,11,295,522
C1,AC,Urna tradicional,83,106,,,2,0,0,77,,,,0,,1,,,,,0,13,282,522
Total,,,192,201,0,0,3,3,2,151,0,0,0,0,0,1,0,0,0,0,0,24,577,1044
Sección 1725 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,108,81,,,3,4,1,79,,,,0,,2,,,,,0,7,285,519
C1,AC,Urna tradicional,138,80,,,0,4,0,83,,,,0,,0,,,,,0,15,320,520
Total,,,246,161,0,0,3,8,1,162,0,0,0,0,0,2,0,0,0,0,0,22,605,1039
Sección 1726 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,130,142,,,0,4,0,96,,,,0,,0,,,,,0,14,386,730
C1,AC,Urna tradicional,134,146,,,0,4,0,100,,,,0,,0,,,,,0,17,401,731
Total,,,264,288,0,0,0,8,0,196,0,0,0,0,0,0,0,0,0,0,0,31,787,1461
Sección 1727 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,109,62,,,0,3,1,49,,,,3,,0,,,,,0,3,230,422
C1,AC,Urna tradicional,103,59,,,0,6,2,66,,,,0,,0,,,,,0,4,240,423
Total,,,212,121,0,0,0,9,3,115,0,0,0,3,0,0,0,0,0,0,0,7,470,845
Sección 1728 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,156,66,,,1,7,6,68,,,,0,,0,,,,,0,6,310,528
C1,AC,Urna tradicional,148,80,,,1,3,2,51,,,,0,,0,,,,,2,12,299,528
Total,,,304,146,0,0,2,10,8,119,0,0,0,0,0,0,0,0,0,0,2,18,609,1056
Sección 1729 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,153,205,,,3,14,1,60,,,,8,,3,,,,,0,10,457,747
Total,,,153,205,0,0,3,14,1,60,0,0,0,8,0,3,0,0,0,0,0,10,457,747
Sección 1730 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,92,94,,,0,4,1,35,,,,0,,0,,,,,0,7,233,378
