Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 108 - ZACAPU,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 2389 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,129,72,43,21,4,1,1,,,,,1,,4,,,0,,0,8,284,501
C1,AC,Urna tradicional,134,63,29,19,6,1,0,,,,,10,,1,,,0,,1,5,269,501
C2,AC,Urna tradicional,131,64,33,18,3,1,4,,,,,5,,4,,,2,,0,8,273,501
Total,,,394,199,105,58,13,3,5,0,0,0,0,16,0,9,0,0,2,0,1,21,826,1503
Sección 2390 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,153,106,61,31,1,1,1,,,,,0,,1,,,0,,0,10,365,708
C1,AC,Urna tradicional,152,82,101,35,1,0,2,,,,,2,,0,,,2,,0,12,389,709
C2,AC,Urna tradicional,139,106,87,41,2,1,1,,,,,5,,1,,,2,,0,10,395,709
Total,,,444,294,249,107,4,2,4,0,0,0,0,7,0,2,0,0,4,0,0,32,1149,2126
Sección 2391 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,106,118,61,19,0,1,1,,,,,2,,2,,,2,,0,17,329,619
C1,AC,Urna tradicional,93,108,73,24,1,2,1,,,,,2,,1,,,0,,0,17,322,619
C2,AC,Urna tradicional,88,107,69,16,3,6,4,,,,,1,,3,,,2,,0,16,315,619
C3,AC,Urna tradicional,113,90,66,20,0,0,0,,,,,3,,1,,,0,,0,18,311,620
C4,AC,Urna tradicional,111,109,69,16,0,0,0,,,,,0,,0,,,0,,0,12,317,620
Total,,,511,532,338,95,4,9,6,0,0,0,0,8,0,7,0,0,4,0,0,80,1594,3097
Sección 2392 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,110,74,52,39,0,0,1,,,,,5,,1,,,0,,0,13,295,585
C1,AC,Urna tradicional,114,72,65,31,2,6,0,,,,,5,,2,,,0,,0,12,309,586
C2,AC,Urna tradicional,95,76,48,22,2,6,2,,,,,5,,1,,,3,,0,14,274,586
Total,,,319,222,165,92,4,12,3,0,0,0,0,15,0,4,0,0,3,0,0,39,878,1757
Sección 2393 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,139,60,63,24,0,0,0,,,,,4,,1,,,0,,0,19,310,612
C1,AC,Urna tradicional,149,67,51,24,5,2,1,,,,,1,,1,,,0,,0,10,311,613
Total,,,288,127,114,48,5,2,1,0,0,0,0,5,0,2,0,0,0,0,0,29,621,1225
Sección 2394 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,164,83,44,38,3,1,2,,,,,5,,1,,,2,,0,7,350,644
C1,AC,Urna tradicional,183,75,62,33,1,1,3,,,,,0,,0,,,0,,0,13,371,644
