Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 35 - LA HUACANA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 557 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,248,,,4,,,117,,,,,,2,,,,,4,19,394,659
C1,AC,Urna tradicional,,245,,,1,,,128,,,,,,5,,,,,0,13,392,660
Total,,,0,493,0,0,5,0,0,245,0,0,0,0,0,7,0,0,0,0,4,32,786,1319
Sección 558 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,228,,,1,,,92,,,,,,4,,,,,0,11,336,563
C1,AC,Urna tradicional,,233,,,5,,,81,,,,,,4,,,,,0,4,327,563
C2,AC,Urna tradicional,,242,,,3,,,89,,,,,,5,,,,,1,8,348,564
Total,,,0,703,0,0,9,0,0,262,0,0,0,0,0,13,0,0,0,0,1,23,1011,1690
Sección 559 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,235,,,3,,,69,,,,,,5,,,,,0,14,326,533
C1,AC,Urna tradicional,,208,,,3,,,81,,,,,,3,,,,,0,20,315,534
C2,AC,Urna tradicional,,225,,,3,,,89,,,,,,4,,,,,3,10,334,534
Total,,,0,668,0,0,9,0,0,239,0,0,0,0,0,12,0,0,0,0,3,44,975,1601
Sección 560 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,223,,,3,,,70,,,,,,9,,,,,0,16,321,561
C1,AC,Urna tradicional,,243,,,1,,,62,,,,,,12,,,,,0,6,324,561
Total,,,0,466,0,0,4,0,0,132,0,0,0,0,0,21,0,0,0,0,0,22,645,1122
Sección 561 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,222,,,1,,,61,,,,,,3,,,,,0,7,294,508
C1,AC,Urna tradicional,,227,,,1,,,72,,,,,,6,,,,,1,10,317,509
Total,,,0,449,0,0,2,0,0,133,0,0,0,0,0,9,0,0,0,0,1,17,611,1017
Sección 562 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,186,,,3,,,126,,,,,,3,,,,,0,11,329,598
C1,AC,Urna tradicional,,189,,,0,,,128,,,,,,3,,,,,2,14,336,599
Total,,,0,375,0,0,3,0,0,254,0,0,0,0,0,6,0,0,0,0,2,25,665,1197
Sección 563 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,90,,,0,,,64,,,,,,2,,,,,0,3,159,229
Total,,,0,90,0,0,0,0,0,64,0,0,0,0,0,2,0,0,0,0,0,3,159,229
Sección 564 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,165,,,2,,,108,,,,,,4,,,,,0,12,291,475
C1,AC,Urna tradicional,,178,,,4,,,108,,,,,,5,,,,,1,10,306,475
Total,,,0,343,0,0,6,0,0,216,0,0,0,0,0,9,0,0,0,0,1,22,597,950
Sección 565 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,259,,,3,,,109,,,,,,2,,,,,2,13,388,634
Total,,,0,259,0,0,3,0,0,109,0,0,0,0,0,2,0,0,0,0,2,13,388,634
Sección 566 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,218,,,0,,,55,,,,,,0,,,,,0,5,278,416
C1,AC,Urna tradicional,,212,,,1,,,54,,,,,,2,,,,,0,5,274,417
Total,,,0,430,0,0,1,0,0,109,0,0,0,0,0,2,0,0,0,0,0,10,552,833
Sección 567 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,205,,,1,,,93,,,,,,0,,,,,0,8,307,493
Total,,,0,205,0,0,1,0,0,93,0,0,0,0,0,0,0,0,0,0,0,8,307,493
Sección 568 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,206,,,0,,,77,,,,,,3,,,,,0,10,296,508
C1,AC,Urna tradicional,,166,,,3,,,83,,,,,,5,,,,,0,3,260,508
Total,,,0,372,0,0,3,0,0,160,0,0,0,0,0,8,0,0,0,0,0,13,556,1016
Sección 569 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,154,,,0,,,37,,,,,,0,,,,,1,2,194,296
E1,AC,Urna tradicional,,124,,,2,,,63,,,,,,0,,,,,0,7,196,305
Total,,,0,278,0,0,2,0,0,100,0,0,0,0,0,0,0,0,0,0,1,9,390,601
Sección 570 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,173,,,2,,,89,,,,,,3,,,,,0,11,278,462
C1,AC,Urna tradicional,,189,,,2,,,69,,,,,,0,,,,,0,8,268,462
Total,,,0,362,0,0,4,0,0,158,0,0,0,0,0,3,0,0,0,0,0,19,546,924
Sección 571 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,132,,,1,,,111,,,,,,0,,,,,0,8,252,406
C1,AC,Urna tradicional,,153,,,1,,,96,,,,,,0,,,,,0,10,260,406
Total,,,0,285,0,0,2,0,0,207,0,0,0,0,0,0,0,0,0,0,0,18,512,812
Sección 572 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,221,,,3,,,129,,,,,,6,,,,,1,9,369,664
C1,AC,Urna tradicional,,266,,,5,,,136,,,,,,2,,,,,0,10,419,665
C2,AC,Urna tradicional,,274,,,1,,,154,,,,,,2,,,,,1,4,436,665
Total,,,0,761,0,0,9,0,0,419,0,0,0,0,0,10,0,0,0,0,2,23,1224,1994
Sección 573 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,274,,,3,,,32,,,,,,3,,,,,0,1,313,506
C1,AC,Urna tradicional,,252,,,1,,,44,,,,,,0,,,,,1,2,300,506
C2,AC,Urna tradicional,,226,,,3,,,43,,,,,,1,,,,,0,1,274,506
Total,,,0,752,0,0,7,0,0,119,0,0,0,0,0,4,0,0,0,0,1,4,887,1518
Sección 574 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,295,,,0,,,50,,,,,,11,,,,,0,4,360,666
C1,AC,Urna tradicional,,318,,,4,,,49,,,,,,8,,,,,1,2,382,666
Total,,,0,613,0,0,4,0,0,99,0,0,0,0,0,19,0,0,0,0,1,6,742,1332
Sección 575 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,209,,,2,,,171,,,,,,0,,,,,0,7,389,596
Total,,,0,209,0,0,2,0,0,171,0,0,0,0,0,0,0,0,0,0,0,7,389,596
Sección 576 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,174,,,4,,,89,,,,,,1,,,,,0,5,273,432
Total,,,0,174,0,0,4,0,0,89,0,0,0,0,0,1,0,0,0,0,0,5,273,432
Sección 577 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,148,,,9,,,168,,,,,,5,,,,,1,6,337,613
C1,AC,Urna tradicional,,175,,,4,,,93,,,,,,0,,,,,1,12,285,614
Total,,,0,323,0,0,13,0,0,261,0,0,0,0,0,5,0,0,0,0,2,18,622,1227
Sección 578 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,146,,,0,,,149,,,,,,3,,,,,0,8,306,471
C1,AC,Urna tradicional,,118,,,1,,,152,,,,,,0,,,,,0,7,278,472
Total,,,0,264,0,0,1,0,0,301,0,0,0,0,0,3,0,0,0,0,0,15,584,943
Sección 579 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,173,,,2,,,81,,,,,,2,,,,,1,2,261,385
C1,AC,Urna tradicional,,188,,,3,,,69,,,,,,7,,,,,0,4,271,385
Total,,,0,361,0,0,5,0,0,150,0,0,0,0,0,9,0,0,0,0,1,6,532,770
Sección 2666 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,102,,,1,,,74,,,,,,5,,,,,0,5,187,339
Total,,,0,102,0,0,1,0,0,74,0,0,0,0,0,5,0,0,0,0,0,5,187,339
Sección 2667 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,146,,,3,,,24,,,,,,3,,,,,0,6,182,318
Total,,,0,146,0,0,3,0,0,24,0,0,0,0,0,3,0,0,0,0,0,6,182,318
Sección 2668 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,267,,,2,,,102,,,,,,0,,,,,0,8,379,674
Total,,,0,267,0,0,2,0,0,102,0,0,0,0,0,0,0,0,0,0,0,8,379,674
Sección 2669 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,203,,,4,,,69,,,,,,1,,,,,2,5,284,471
C1,AC,Urna tradicional,,178,,,2,,,91,,,,,,0,,,,,0,16,287,471
Total,,,0,381,0,0,6,0,0,160,0,0,0,0,0,1,0,0,0,0,2,21,571,942
Sección 2670 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,,369,,,2,,,43,,,,,,1,,,,,0,9,424,688
Total,,,0,369,0,0,2,0,0,43,0,0,0,0,0,1,0,0,0,0,0,9,424,688
Total municipal,,,0,10500,0,0,113,0,0,4493,0,0,0,0,0,155,0,0,0,0,24,411,15696,26211
