Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 2 - AGUILILLA,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 11 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,16,130,111,8,2,0,10,,,13,,,,,,,,0,0,23,313,678
C1,AC,Urna tradicional,22,124,105,8,4,4,11,,,13,,,,,,,,0,0,16,307,678
C2,AC,Urna tradicional,22,120,104,8,1,3,18,,,9,,,,,,,,2,0,16,303,678
C3,AC,Urna tradicional,18,119,114,13,4,0,22,,,20,,,,,,,,0,0,15,325,678
Total,,,78,493,434,37,11,7,61,0,0,55,0,0,0,0,0,0,0,2,0,70,1248,2712
Sección 12 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,15,104,133,18,2,2,7,,,7,,,,,,,,2,0,15,305,639
C1,AC,Urna tradicional,17,124,114,8,1,2,13,,,7,,,,,,,,3,0,21,310,639
E1,AC,Urna tradicional,1,46,20,2,1,0,0,,,8,,,,,,,,0,0,2,80,148
Total,,,33,274,267,28,4,4,20,0,0,22,0,0,0,0,0,0,0,5,0,38,695,1426
Sección 13 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,13,136,104,13,1,1,11,,,12,,,,,,,,0,0,14,305,675
C1,AC,Urna tradicional,17,133,90,17,1,1,13,,,16,,,,,,,,1,0,8,297,675
C2,AC,Urna tradicional,17,116,70,13,3,0,7,,,11,,,,,,,,0,0,16,253,675
C3,AC,Urna tradicional,22,141,94,18,4,0,11,,,8,,,,,,,,0,0,10,308,675
Total,,,69,526,358,61,9,2,42,0,0,47,0,0,0,0,0,0,0,1,0,48,1163,2700
Sección 14 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,32,114,116,8,3,1,10,,,22,,,,,,,,0,0,23,329,699
C1,AC,Urna tradicional,34,101,116,5,1,0,14,,,13,,,,,,,,0,0,19,303,699
C2,AC,Urna tradicional,31,124,144,8,2,1,9,,,17,,,,,,,,0,0,21,357,700
Total,,,97,339,376,21,6,2,33,0,0,52,0,0,0,0,0,0,0,0,0,63,989,2098
Sección 15 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,14,158,115,16,1,1,7,,,13,,,,,,,,0,0,15,340,657
Total,,,14,158,115,16,1,1,7,0,0,13,0,0,0,0,0,0,0,0,0,15,340,657
Sección 16 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,2,134,86,53,1,3,0,,,0,,,,,,,,0,0,5,284,740
C1,AC,Urna tradicional,2,115,93,59,0,4,0,,,3,,,,,,,,2,0,17,295,740
C2,AC,Urna tradicional,3,136,111,47,0,8,0,,,3,,,,,,,,3,0,10,321,740
E1,AC,Urna tradicional,1,74,145,12,0,3,0,,,0,,,,,,,,1,0,5,241,436
Total,,,8,459,435,171,1,18,0,0,0,6,0,0,0,0,0,0,0,6,0,37,1141,2656
Sección 17 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,3,103,157,6,2,2,0,,,3,,,,,,,,0,0,8,284,701
E1,AC,Urna tradicional,0,18,61,4,0,0,0,,,0,,,,,,,,0,0,2,85,206
Total,,,3,121,218,10,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,10,369,907
Sección 18 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,4,45,135,4,0,1,3,,,3,,,,,,,,1,0,12,208,511
