Fecha elección: 13/11/2011,,,,,,,,Estatus: APROBADO,,,,,,,,Entidad: 16 - MICHOACAN,,,,,,,,
Cargo elegido: Ayuntamientos,,,,,,,,Tipo elección: Ordinaria,,,,,,,,Municipio / Delegación: 103 - URUAPAN,,,,,,,,
Casilla,Estatus casilla,Tipo urna,,,,,,,,,Candidatura comun PAN PRI PVEM,Candidatura comun PAN PRI PVEM PNA,Candidatura comun PAN PRI PNA,Candidatura comun PAN PNA,Candidatura comun PRI PRD PVEM PC PNA,Candidatura comun PRI PVEM,Candidatura comun PRD PT,Candidatura comun PRD PT PC,Candidatura comun PRD PC,Candidatura comun PT PC,No Registrados,Votos Nulos,Total,Lista nominal
Sección 2175 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,51,136,112,8,4,2,2,,,,,4,,3,10,,,,0,16,348,733
C1,AC,Urna tradicional,54,111,104,9,4,4,2,,,,,1,,5,10,,,,0,9,313,734
C2,AC,Urna tradicional,53,152,125,6,8,0,0,,,,,1,,6,6,,,,0,16,373,734
Total,,,158,399,341,23,16,6,4,0,0,0,0,6,0,14,26,0,0,0,0,41,1034,2201
Sección 2176 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,159,111,52,0,1,3,0,,,,,4,,1,2,,,,3,24,360,605
C1,AC,Urna tradicional,171,115,41,3,4,1,0,,,,,4,,4,1,,,,1,15,360,606
Total,,,330,226,93,3,5,4,0,0,0,0,0,8,0,5,3,0,0,0,4,39,720,1211
Sección 2177 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,58,86,95,6,4,3,1,,,,,2,,4,5,,,,0,15,279,539
C1,AC,Urna tradicional,53,114,79,6,6,5,1,,,,,0,,4,5,,,,0,13,286,539
C2,AC,Urna tradicional,71,100,56,4,6,1,1,,,,,1,,4,1,,,,0,43,288,539
Total,,,182,300,230,16,16,9,3,0,0,0,0,3,0,12,11,0,0,0,0,71,853,1617
Sección 2178 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,55,83,61,7,6,1,1,,,,,0,,0,0,,,,0,10,224,438
C1,AC,Urna tradicional,53,101,60,4,4,4,0,,,,,0,,6,2,,,,0,10,244,439
Total,,,108,184,121,11,10,5,1,0,0,0,0,0,0,6,2,0,0,0,0,20,468,877
Sección 2179 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,78,138,57,4,7,8,0,,,,,1,,5,3,,,,0,15,316,623
C1,AC,Urna tradicional,82,128,63,7,5,5,0,,,,,2,,0,5,,,,0,11,308,623
C2,AC,Urna tradicional,81,122,64,0,0,3,0,,,,,0,,0,0,,,,0,12,282,623
Total,,,241,388,184,11,12,16,0,0,0,0,0,3,0,5,8,0,0,0,0,38,906,1869
Sección 2180 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,63,195,66,7,5,7,2,,,,,0,,2,3,,,,0,11,361,688
C1,AC,Urna tradicional,72,176,73,3,2,4,2,,,,,2,,8,1,,,,0,6,349,689
Total,,,135,371,139,10,7,11,4,0,0,0,0,2,0,10,4,0,0,0,0,17,710,1377
Sección 2181 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,47,149,51,1,0,0,0,,,,,0,,0,0,,,,0,12,260,559
C1,AC,Urna tradicional,52,148,54,5,5,4,1,,,,,0,,0,0,,,,0,11,280,559
C2,AC,Urna tradicional,44,147,48,1,1,2,1,,,,,1,,3,2,,,,0,8,258,560
Total,,,143,444,153,7,6,6,2,0,0,0,0,1,0,3,2,0,0,0,0,31,798,1678
Sección 2182 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,100,120,53,8,4,4,3,,,,,5,,3,4,,,,2,11,317,558
C1,AC,Urna tradicional,87,96,73,7,0,3,2,,,,,0,,3,1,,,,0,18,290,558
C2,AC,Urna tradicional,98,117,61,0,0,3,0,,,,,0,,0,0,,,,0,4,283,559
Total,,,285,333,187,15,4,10,5,0,0,0,0,5,0,6,5,0,0,0,2,33,890,1675
Sección 2183 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,61,92,57,10,6,3,1,,,,,0,,3,2,,,,0,2,237,412
C1,AC,Urna tradicional,79,84,57,4,1,0,1,,,,,0,,0,0,,,,0,0,226,413
Total,,,140,176,114,14,7,3,2,0,0,0,0,0,0,3,2,0,0,0,0,2,463,825
Sección 2184 ,,,,,,,,,,,,,,,,,,,,,,,,
B,AC,Urna tradicional,59,102,79,4,1,9,2,,,,,0,,2,6,,,,0,15,279,657
