ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,CP,MC,NA,MORENA,ES,PAN_MC,PRI_NA,PRI_NA_CP,PRI_PVEM_NA,PRI_PVEM_CP,PRI_CP,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
24,SAN LUIS POTOSI,1,AHUALULCO,14,27,,,1575,316,,,,601,860,79,2655,,,,3979,,,27,7,4,10,,,10113,5,1010,11128,14228,
24,SAN LUIS POTOSI,2,ALAQUINES,19,20,,,107,72,,29,,674,209,26,1266,,,,,,1571,7,1,0,3,,,3965,1,343,4309,6358,
24,SAN LUIS POTOSI,3,AQUISMON,26,60,,,1082,608,,162,,,952,179,10471,,,8636,,,,23,15,4,15,,,22147,1,2391,24539,31756,
24,SAN LUIS POTOSI,4,ARMADILLO DE LOS INFANTE,10,10,520,,114,73,,34,58,,159,43,,,,1546,,,,7,3,1,2,,,2560,14,278,2852,3925,
24,SAN LUIS POTOSI,5,CARDENAS,20,29,,,255,249,,365,,1568,1159,123,3100,,,,,,1421,51,81,7,28,,,8407,0,837,9244,14091,
24,SAN LUIS POTOSI,6,CATORCE,18,20,,,95,276,717,126,,,447,37,1605,1350,,,,,,7,9,1,4,,,4674,0,435,5109,6892,
24,SAN LUIS POTOSI,7,CEDRAL,17,29,,,294,1345,491,123,,,2932,208,737,2215,,,,,,103,72,18,30,,,8568,1,709,9278,13706,
24,SAN LUIS POTOSI,8,CERRITOS,26,40,,,1231,766,1260,,,,1767,135,1974,,2190,,,,,59,28,8,13,,,9431,6,856,10293,16883,
24,SAN LUIS POTOSI,9,CERRO DE SAN PEDRO,6,10,675,,116,83,,243,214,,513,81,,,,1046,,,,11,2,1,1,,,2986,4,219,3209,3937,
24,SAN LUIS POTOSI,10,CIUDAD DEL MAIZ,30,48,,,1016,181,,70,,343,862,50,5158,,,,,,5464,36,6,1,16,,,13203,3,1250,14456,22149,
24,SAN LUIS POTOSI,11,CIUDAD FERNANDEZ,31,64,,,3955,655,2032,,,,3471,274,5286,,4819,,,,,124,199,7,34,,,20856,25,1226,22107,35118,
24,SAN LUIS POTOSI,12,TANCANHUITZ,15,26,,,2449,254,,466,,,1484,72,2753,,,2721,,,,22,9,3,10,,,10243,0,889,11132,14091,
24,SAN LUIS POTOSI,13,CIUDAD VALLES,105,224,,,9962,1710,,,,4647,21854,3473,15020,,,,17154,,,,,,,,,73820,49,4531,78400,126191,
24,SAN LUIS POTOSI,14,COXCATLAN,13,23,,,350,565,,,,377,1201,75,2507,,,,2047,,,116,46,5,20,,,7309,0,1060,8369,11724,
24,SAN LUIS POTOSI,15,CHARCAS,21,33,,,1172,353,1920,283,,,1133,67,1885,2220,,,,,,23,11,1,11,,,9079,8,926,10013,15416,
24,SAN LUIS POTOSI,16,EBANO,32,55,,,2959,454,,,,626,4725,364,5736,,,,2677,,,82,59,8,47,,,17737,1,1174,18912,29766,
24,SAN LUIS POTOSI,17,GUADALCAZAR,30,41,,,1078,249,,203,,382,779,62,2394,,,,,,5829,23,11,8,10,,,11028,2,2216,13246,18548,
24,SAN LUIS POTOSI,18,HUEHUETLAN,10,21,,,943,642,,51,,,1311,231,978,,,2876,,,,94,25,15,36,,,7202,1,949,8152,10654,
24,SAN LUIS POTOSI,19,LAGUNILLAS,11,13,,,63,1084,,12,,49,137,43,450,,,,,,678,86,43,13,5,,,2663,0,242,2905,4802,
24,SAN LUIS POTOSI,20,MATEHUALA,64,129,,,2758,1887,4597,1469,,,10245,742,7533,6998,,,,,,261,98,16,116,,,36720,23,2585,39328,70638,
24,SAN LUIS POTOSI,21,MEXQUITIC DE CARMONA,36,75,,,1737,2626,,,,1310,4444,434,7067,,,,8587,,,216,127,24,53,,,26625,24,2387,29036,41669,
24,SAN LUIS POTOSI,22,MOCTEZUMA,24,30,,,104,257,,,,312,671,67,3695,,,,3841,,,22,13,0,1,,,8983,2,967,9952,14246,
24,SAN LUIS POTOSI,23,RAYON,18,26,,,164,560,,1157,,338,1208,126,1477,,,,,,968,153,38,15,65,,,6269,0,890,7159,12312,
24,SAN LUIS POTOSI,24,RIOVERDE,87,150,,,1743,1936,1601,,,,8120,654,13780,,10197,,,,,300,138,98,93,,,38660,43,2794,41497,75639,
24,SAN LUIS POTOSI,25,SALINAS,23,41,,,620,694,,,,591,1778,187,3092,,,,5079,,,110,50,7,15,,,12223,19,1195,13437,21523,
24,SAN LUIS POTOSI,26,SAN ANTONIO,9,13,,,129,250,,,,186,648,785,1504,,,,1254,,,137,17,21,51,,,4982,0,410,5392,6750,
24,SAN LUIS POTOSI,27,SAN CIRO DE ACOSTA,16,19,,,102,778,,79,,135,930,38,1656,,,,,,1060,23,18,11,5,,,4835,1,550,5386,8668,
24,SAN LUIS POTOSI,28,SAN LUIS POTOSI,372,1022,,16963,53725,8505,21174,3145,,7673,76806,6349,107032,,16962,,,2221,,1874,681,145,603,3749,4771,332378,502,20371,353251,615758,
24,SAN LUIS POTOSI,29,SAN MARTIN CHALCHICUAUTLA,20,31,,,2763,223,,202,,,1155,95,4322,,,1487,,,,20,10,3,4,,,10284,1,1209,11494,15263,
24,SAN LUIS POTOSI,30,SAN NICOLAS TOLENTINO,11,12,,,119,162,110,,,,931,37,460,,948,,,,,50,11,2,6,,,2836,0,361,3197,4883,
24,SAN LUIS POTOSI,31,SAN VICENTE TANCUAYALAB,19,26,,,678,247,,,,1700,640,49,2684,,,,2657,,,9,6,2,5,,,8677,2,642,9321,11267,
24,SAN LUIS POTOSI,32,SANTA CATARINA,9,20,,,613,1741,,46,,257,142,36,425,,,,,,1810,53,30,9,2,,,5164,0,794,5958,8437,
24,SAN LUIS POTOSI,33,SANTA MARIA DEL RIO,30,61,2525,,5547,404,,300,756,,1857,218,,,,7773,,,,82,8,0,17,,,19487,5,1701,21193,30535,
24,SAN LUIS POTOSI,34,SANTO DOMINGO,21,24,,,116,513,,,,127,795,51,1741,,,,2498,,,62,30,7,17,,,5957,3,672,6632,9620,
24,SAN LUIS POTOSI,35,SOLEDAD DE GRACIANO SANCHEZ,89,330,,,33556,4008,7111,,,6048,31144,2330,14866,,,,,10910,,1325,312,35,283,,,111928,89,6556,118573,212807,
24,SAN LUIS POTOSI,36,TAMASOPO,17,40,,,1460,508,,3050,,1571,1391,260,1701,,,,,,2705,56,19,5,19,,,12745,4,1448,14197,21169,
24,SAN LUIS POTOSI,37,TAMAZUNCHALE,59,125,,,2866,1522,,5846,,,7544,647,8583,,,10081,,,,300,107,23,88,,,37607,1,4201,41809,68202,
24,SAN LUIS POTOSI,38,TAMPACAN,16,24,,,1625,743,,819,,,1612,156,1274,,,1476,,,,34,31,11,5,,,7786,0,1190,8976,11303,
24,SAN LUIS POTOSI,39,TAMPAMOLON CORONA,16,21,,,1848,232,,,,2537,950,85,547,,,,564,,,20,5,0,10,,,6798,0,628,7426,9916,
24,SAN LUIS POTOSI,40,TAMUIN,35,53,,,1900,690,,,,1335,3405,191,4089,,,,3708,,,125,64,13,35,,,15555,6,852,16413,25868,
24,SAN LUIS POTOSI,41,TANLAJAS,16,25,,,399,932,,,,1559,2688,261,1449,,,,1521,,,110,59,13,36,,,9027,2,1034,10063,12999,
24,SAN LUIS POTOSI,42,TANQUIAN DE ESCOBEDO,11,19,,,1132,151,,,,2550,881,62,1372,,,,1050,,,33,16,2,8,,,7257,2,499,7758,10054,
24,SAN LUIS POTOSI,43,TIERRA NUEVA,10,15,1059,,1108,72,,60,137,,198,28,,,,1651,,,,8,2,1,2,,,4326,0,415,4741,7459,
24,SAN LUIS POTOSI,44,VANEGAS,13,14,,,454,55,1535,35,,,261,21,477,539,,,,,,10,6,0,4,,,3397,0,305,3702,5301,
24,SAN LUIS POTOSI,45,VENADO,20,25,,,615,436,674,794,,,1001,96,1708,1023,,,,,,24,19,3,9,,,6402,11,1027,7440,10624,
24,SAN LUIS POTOSI,46,VILLA DE ARISTA,13,23,1337,,220,588,,117,1150,,846,90,,,,2501,,,,58,24,6,11,,,6948,4,734,7686,11283,
24,SAN LUIS POTOSI,47,VILLA DE ARRIAGA,18,26,440,,1657,317,,203,205,,1403,171,,,,4467,,,,41,24,1,13,,,8942,21,777,9740,12488,
24,SAN LUIS POTOSI,48,VILLA DE GUADALUPE,15,18,,,1294,55,142,77,,,244,45,1198,1673,,,,,,4,3,1,3,,,4739,0,435,5174,7560,
24,SAN LUIS POTOSI,49,VILLA DE LA PAZ,8,9,,,200,104,178,152,,,397,75,626,835,,,,,,5,2,2,2,,,2578,2,181,2761,3908,
24,SAN LUIS POTOSI,50,VILLA DE RAMOS,25,52,,,259,661,,,,286,983,138,7153,,,,8482,,,28,23,10,6,,,18029,3,1602,19634,26890,
24,SAN LUIS POTOSI,51,VILLA DE REYES,32,64,1116,,5201,650,,4675,589,,2208,462,,,,6089,,,,39,13,20,24,,,21086,52,1447,22585,35720,
24,SAN LUIS POTOSI,52,VILLA HIDALGO,19,29,1453,,224,158,,72,495,,507,81,,,,3767,,,,69,13,11,28,,,6878,32,598,7508,11862,
24,SAN LUIS POTOSI,53,VILLA JUAREZ,16,20,,,512,158,154,,,,374,23,1506,,2153,,,,,12,12,1,3,,,4908,2,514,5424,8948,
24,SAN LUIS POTOSI,54,AXTLA DE TERRAZAS,21,43,,,2460,928,,122,,,3343,449,3004,,,6270,,,,119,26,9,33,,,16763,0,1371,18134,23238,
24,SAN LUIS POTOSI,55,XILITLA,47,72,,,841,525,,285,,,3284,227,8307,,,6715,,,,75,29,13,30,,,20331,11,2828,23170,35131,
24,SAN LUIS POTOSI,56,ZARAGOZA,22,37,744,,2487,366,,481,318,,1031,188,,,,3351,,,,91,57,22,48,,,9184,12,758,9954,18390,
24,SAN LUIS POTOSI,57,EL NARANJO,17,28,,,184,397,,76,,1838,2207,130,2390,,,,,,1896,97,27,9,48,,,9299,2,829,10130,14660,
24,SAN LUIS POTOSI,58,MATLAPA,17,40,,,511,361,,369,,,3385,178,4943,,,3878,,,,91,24,2,47,,,13789,0,1473,15262,21103,
