ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND7,PRD_NVA_ALIANZA,PAN_PVEM,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
27,TABASCO,1,BALANCAN,44,79,5598,5072,9961,1046,150,3293,274,809,59,87,,148,,0,26497,816,27313,39125,0.6981
27,TABASCO,2,CARDENAS,122,292,2704,26688,27551,5134,13474,2462,1310,6996,875,1142,,51,,53,88387,2861,91301,168338,0.5424
27,TABASCO,3,CENTLA,64,131,1655,10449,12395,10258,1064,2434,392,3317,164,302,411,333,,15,43174,1783,44972,68974,0.6520
27,TABASCO,4,CENTRO,277,798,6981,52732,40603,34344,6915,8610,5193,38583,3288,6284,,1016,250,223,204799,10210,215232,483868,0.4448
27,TABASCO,5,COMALCALCO,97,251,1080,26238,28905,3512,889,1275,1059,30958,699,571,,165,,18,95351,2453,97822,140999,0.6938
27,TABASCO,6,CUNDUACAN,59,150,583,10042,17638,3593,1408,1156,8126,5964,517,165,,10,,39,49202,2006,51247,87834,0.5835
27,TABASCO,7,EMILIANO ZAPATA,16,42,1168,2536,1046,5310,2243,217,211,2314,35,33,,,,3,15113,411,15527,22743,0.6827
27,TABASCO,8,HUIMANGUILLO,97,225,393,30148,35133,7870,1440,772,1305,1529,394,578,,,,8,79562,2440,82010,123697,0.6630
27,TABASCO,9,JALAPA,27,53,301,5380,7764,1904,178,201,323,408,44,329,,60,,3,16892,767,17662,26810,0.6588
27,TABASCO,10,JALPA DE MENDEZ,37,96,952,9071,13219,7157,1837,1159,684,3321,290,339,,239,,402,38268,1268,39938,58867,0.6784
27,TABASCO,11,JONUTA,26,43,421,4415,5253,4227,50,89,180,2305,40,248,,,,0,17228,356,17584,21769,0.8078
27,TABASCO,12,MACUSPANA,82,194,799,13353,11061,14996,712,2685,2914,9261,805,804,,,,68,57390,2754,60212,111695,0.5391
27,TABASCO,13,NACAJUCA,37,133,12185,10126,5851,5194,4198,854,392,6234,273,603,,,,18,45910,2145,48073,83595,0.5751
27,TABASCO,14,PARAISO,45,111,8820,10559,12132,2193,273,2051,244,1899,1048,719,,213,,9,40151,1110,41270,64696,0.6379
27,TABASCO,15,TACOTALPA,27,62,453,7270,5502,5990,200,204,116,820,52,94,,12,,6,20713,850,21569,31686,0.6807
27,TABASCO,16,TEAPA,26,67,249,5980,5177,7378,697,175,237,514,166,177,,33,,6,20783,760,21549,38260,0.5632
27,TABASCO,17,TENOSIQUE,45,80,226,11975,8848,1320,173,1497,221,562,44,48,,35,,4,24949,660,25613,40593,0.6310
