CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND7,PRD_NVA_ALIANZA,PAN_PVEM,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,4,243,247,617,45,12,235,18,45,1,11,,13,,0,1487,65,1552,2482
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,2,3,185,226,411,49,2,160,20,44,3,4,,12,,0,1116,62,1178,1813
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,3,2,115,114,244,43,4,108,14,50,1,3,,4,,0,700,19,719,1118
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,4,2,61,149,234,25,0,119,18,34,2,11,,7,,0,660,12,672,1042
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,5,3,142,230,380,25,8,130,26,44,1,4,,3,,0,993,48,1041,1600
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,6,3,59,114,165,19,2,42,4,30,3,4,,2,,0,444,16,460,715
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,7,2,128,179,308,18,8,104,9,39,4,16,,6,,0,819,35,854,1175
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,8,2,127,143,262,17,4,91,5,6,1,0,,0,,0,656,23,679,989
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,9,2,187,201,296,30,5,79,6,7,3,0,,3,,0,817,28,845,1244
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,10,1,47,44,47,7,0,14,1,2,0,0,,1,,0,163,3,166,210
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,11,1,38,91,166,9,2,13,3,23,0,1,,3,,0,349,6,355,515
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,12,1,177,74,115,14,4,53,3,12,1,1,,2,,0,456,15,471,598
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,13,2,57,109,281,10,1,177,5,17,1,2,,3,,0,663,16,679,1011
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,14,1,26,70,217,14,3,127,5,26,1,8,,0,,0,497,13,510,747
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,15,1,58,64,256,12,2,104,10,14,1,6,,3,,0,530,14,544,739
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,16,1,39,74,196,6,4,97,7,27,0,1,,4,,0,455,19,474,690
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,17,2,54,109,272,8,8,74,14,17,1,0,,5,,0,562,23,585,794
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,18,2,234,148,239,17,4,55,3,14,0,2,,4,,0,720,21,741,996
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,19,1,33,22,62,4,1,7,2,7,0,0,,4,,0,142,8,150,234
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,20,1,73,72,196,11,3,88,5,8,3,1,,7,,0,467,13,480,625
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,21,1,36,45,66,6,1,8,17,2,0,0,,0,,0,181,7,188,273
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,22,2,105,114,209,6,4,87,5,17,2,2,,1,,0,552,12,564,805
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,23,2,178,108,237,34,4,75,2,17,1,1,,2,,0,659,16,675,882
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,24,3,327,274,454,38,6,92,9,17,3,0,,6,,0,1226,24,1250,1696
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,25,1,232,96,179,6,2,37,1,15,0,1,,1,,0,570,13,583,746
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,27,1,61,93,120,6,2,44,1,30,0,0,,0,,0,357,13,370,524
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,28,2,120,116,153,14,1,80,4,17,0,0,,0,,0,505,11,516,806
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,29,1,108,33,180,26,3,43,2,21,1,1,,4,,0,422,11,433,578
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,30,2,208,119,283,23,5,56,7,13,2,1,,5,,0,722,43,765,1022
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,31,1,24,33,50,3,0,5,0,2,0,0,,0,,0,117,2,119,208
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,32,1,49,53,76,10,4,15,0,13,0,0,,1,,0,221,7,228,320
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,33,1,88,32,118,1,1,17,0,3,0,0,,1,,0,261,1,262,359
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,34,1,92,34,90,6,0,31,0,4,0,0,,1,,0,258,9,267,391
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,35,2,96,206,343,34,1,146,2,52,5,1,,2,,0,888,28,916,1190
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,36,1,56,100,211,13,1,76,4,14,2,2,,0,,0,479,9,488,641
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,37,2,206,142,410,27,0,151,11,21,6,0,,8,,0,982,16,998,1257
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,38,2,156,78,221,55,2,70,2,6,1,1,,5,,0,597,16,613,769
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,39,2,162,117,204,12,10,29,8,3,0,1,,2,,0,548,13,561,832
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,40,2,101,175,184,71,5,21,6,7,1,0,,7,,0,578,11,589,794
1,27,TABASCO,1,TENOSIQUE,1,BALANCAN,41,2,225,107,246,50,7,23,4,14,1,0,,1,,0,678,28,706,925
