ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND7,PRD_NVA_ALIANZA,PAN_PVEM,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
27,TABASCO,1,TENOSIQUE,89,159,5824,17047,18809,2366,323,4790,495,1371,103,135,,183,,4,51446,1476,52926,79718,0.6639
27,TABASCO,2,CARDENAS,49,124,1462,10619,9250,2511,4653,1076,679,4091,451,630,,22,,38,35444,1083,36565,73249,0.4992
27,TABASCO,3,CARDENAS,51,119,1016,12191,12535,2062,6664,752,327,2191,254,327,,29,,9,38348,1335,39692,68455,0.5798
27,TABASCO,4,HUIMANGUILLO,50,127,331,12628,19459,2892,3367,1125,653,1487,398,430,,,,7,42770,1561,44338,71106,0.6235
27,TABASCO,5,CENTLA,64,131,1655,10449,12395,10258,1064,2434,392,3317,164,302,411,333,,15,43174,1783,44972,68974,0.6520
27,TABASCO,6,CENTRO,65,156,1159,11801,6552,8023,936,1617,737,7055,588,1281,,353,,62,40102,1794,41958,89893,0.4668
27,TABASCO,7,CENTRO,30,124,1011,8861,7202,6280,612,2117,614,4217,269,703,,61,,14,31947,1428,33389,80920,0.4126
27,TABASCO,8,CENTRO,54,148,1271,7997,5233,4953,1818,1143,1828,8792,548,1165,,229,,46,34977,2228,37251,84582,0.4404
27,TABASCO,9,CENTRO,66,151,1522,11187,8469,5433,519,1165,754,6761,583,1192,,285,250,48,38120,1834,40002,89232,0.4483
27,TABASCO,10,CENTRO,34,130,700,5887,8011,6001,2638,1672,715,7605,1095,1146,,49,,24,35519,1600,37143,81093,0.4580
27,TABASCO,11,CENTRO,55,142,1619,12379,12900,5558,570,1097,868,4561,249,1126,,99,,32,41026,2093,43151,84958,0.5079
27,TABASCO,12,COMALCALCO,50,133,499,13370,13313,1657,500,620,573,16667,471,394,,137,,14,48201,1255,49470,74486,0.6642
27,TABASCO,13,COMALCALCO,48,120,578,12675,15912,1924,457,817,812,13811,225,179,,33,,3,47423,1314,48740,67992,0.7168
27,TABASCO,14,CUNDUACAN,47,123,367,8172,14678,2514,995,910,6996,4959,453,130,,,,39,40174,1594,41807,72131,0.5796
27,TABASCO,15,EMILIANO ZAPATA,72,146,1778,11293,10060,12682,2493,1214,1695,7810,269,581,,,,20,49875,1675,51570,77003,0.6697
27,TABASCO,16,HUIMANGUILLO,69,147,288,21398,21440,5539,230,281,956,756,166,333,,,,7,51387,1322,52716,79225,0.6654
27,TABASCO,17,JALPA DE MENDEZ,44,112,1148,9912,14760,8050,2160,1204,1448,3834,332,359,,244,,402,43451,1493,45346,68214,0.6648
27,TABASCO,18,MACUSPANA,52,133,610,9011,7300,11851,512,1777,1610,6070,611,504,,,,51,39856,1846,41753,79204,0.5272
27,TABASCO,19,NACAJUCA,37,133,12185,10126,5851,5194,4198,854,392,6234,273,603,,,,18,45910,2145,48073,83595,0.5751
27,TABASCO,20,PARAISO,49,120,8843,11781,13231,2310,295,2090,284,2871,1073,732,,213,,10,43723,1181,44914,69573,0.6456
27,TABASCO,21,TEAPA,53,129,702,13250,10679,13368,897,379,353,1334,218,271,,45,,12,41496,1610,43118,69946,0.6164
