CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,B,1,0,B,5,27,29,86,7,8,2,153,40,2,1,0,0,,14,,,,,,,,374,1,21,396,667,Acta casilla,,,http://iepct.mx/elecciones2018/DIP/1/DIP_0001_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,C,1,0,C01,9,52,37,61,5,12,1,89,32,2,1,0,0,,18,,,,,,,,319,0,18,337,667,Acta casilla,,,http://iepct.mx/elecciones2018/DIP/1/DIP_0001_C01.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,C,2,0,C02,8,33,35,61,14,24,3,175,44,0,0,0,1,,15,,,,,,,,413,0,35,448,666,Acta casilla,,,http://iepct.mx/elecciones2018/DIP/1/DIP_0001_C02.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,C,3,0,C03,9,45,37,63,11,13,3,107,62,1,0,0,0,,15,,,,,,,,366,0,11,377,666,Acta casilla,,,http://iepct.mx/elecciones2018/DIP/1/DIP_0001_C03.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,2,B,1,0,B,4,46,25,85,5,17,3,164,51,0,1,0,0,,17,,,,,,,,418,0,14,432,649,Acta casilla,,,http://iepct.mx/elecciones2018/DIP/1/DIP_0002_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,2,C,1,0,C01,6,46,44,92,9,14,3,164,55,0,1,0,1,,14,,,,,,,,449,1,15,465,649,Acta casilla,,,http://iepct.mx/elecciones2018/DIP/1/DIP_0002_C01.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,2,C,2,0,C02,9,55,40,90,7,15,2,143,39,0,0,1,2,,21,,,,,,,,424,0,20,444,648,Acta casilla,,,http://iepct.mx/elecciones2018/DIP/1/DIP_0002_C02.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,3,B,1,0,B,4,43,24,86,4,3,1,130,47,0,0,0,0,,0,,,,,,,,342,0,0,342,549,Acta casilla,,,http://iepct.mx/elecciones2018/DIP/1/DIP_0003_B.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,3,C,1,0,C01,9,38,21,81,8,2,3,138,62,1,0,0,0,,13,,,,,,,,376,0,15,391,549,Acta casilla,,,http://iepct.mx/elecciones2018/DIP/1/DIP_0003_C01.jpg
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,4,B,1,0,B,4,49,28,91,6,10,1,135,45,0,0,0,1,,10,,,,,,,,380,0,15,395,531,Acta casilla,,,http://iepct.mx/elecciones2018/DIP/1/DIP_0004_B.jpg
