ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
27,TABASCO,1,TENOSIQUE,88,163,1236,11976,3583,5946,598,1260,504,25592,4789,160,30,8,34,,670,,,,,,,,56386,38,2451,58875,82753,http://iepct.mx/elecciones2018/DIP/MR/1.pdf
27,TABASCO,2,CARDENAS,50,129,417,1696,5495,7131,558,508,364,30364,599,341,48,9,51,233,,1091,,,,,,,48905,38,1593,50536,76228,http://iepct.mx/elecciones2018/DIP/MR/2.pdf
27,TABASCO,3,CARDENAS,51,125,286,3650,9179,1797,807,823,460,27219,427,110,65,9,87,226,,,,,,,,,45145,9,2211,47365,70580,http://iepct.mx/elecciones2018/DIP/MR/3.pdf
27,TABASCO,4,HUIMANGUILLO,51,135,322,5349,11043,1623,735,666,303,27883,1296,262,135,13,145,,,,,,,,,,49775,40,2567,52382,75030,http://iepct.mx/elecciones2018/DIP/MR/4.pdf
27,TABASCO,5,CENTLA,64,135,1221,4585,7195,7504,1020,1186,716,23698,3520,144,47,10,49,158,,,,,,,,,51053,20,2420,53493,72426,http://iepct.mx/elecciones2018/DIP/MR/5.pdf
27,TABASCO,6,CENTRO,58,142,1292,4793,2084,3680,912,1047,594,38609,831,109,22,6,26,,,,,,,,2680,,56685,46,2063,58794,83103,http://iepct.mx/elecciones2018/DIP/MR/6.pdf
27,TABASCO,7,CENTRO,30,116,600,8652,1933,757,1418,1095,392,30682,548,68,16,11,38,,,,1064,,,,,,47274,10,2332,49616,74728,http://iepct.mx/elecciones2018/DIP/MR/7.pdf
27,TABASCO,8,CENTRO,51,133,1337,4645,1995,1645,895,981,605,38138,1963,93,29,32,16,374,,,,,,,,,52748,50,2011,54809,80597,http://iepct.mx/elecciones2018/DIP/MR/8.pdf
27,TABASCO,9,CENTRO,43,129,1391,4442,2007,2062,1319,1148,588,38251,634,101,30,22,26,,,,,,,,,,52021,90,2123,54234,79284,http://iepct.mx/elecciones2018/DIP/MR/9.pdf
27,TABASCO,10,CENTRO,39,134,814,3081,3634,1791,1241,1362,702,39599,1994,205,35,13,21,,,,,,,,,,54492,32,2291,56815,81767,http://iepct.mx/elecciones2018/DIP/MR/10.pdf
27,TABASCO,11,TACOTALPA,64,142,846,7017,6259,6763,1527,2424,1648,22161,821,280,45,17,104,,,,,,,,,,49912,68,3066,53046,73544,http://iepct.mx/elecciones2018/DIP/MR/11.pdf
27,TABASCO,12,CENTRO,53,138,1569,4833,2962,1994,1117,1288,551,38489,699,235,79,39,86,,,,,,,,,,53941,39,2318,56298,83021,http://iepct.mx/elecciones2018/DIP/MR/12.pdf
27,TABASCO,13,COMALCALCO,62,165,920,8997,14946,1452,840,742,374,38583,657,407,101,13,84,,,,,,,,,,68116,37,2299,70452,94695,http://iepct.mx/elecciones2018/DIP/MR/13.pdf
27,TABASCO,14,CUNDUACAN,48,123,1027,6031,6743,1652,1074,1163,552,25146,462,257,59,15,59,238,,,,809,,,,,45287,45,2507,47839,73298,http://iepct.mx/elecciones2018/DIP/MR/14.pdf
27,TABASCO,15,EMILIANO ZAPATA,68,143,2279,6134,7516,5203,1105,1045,2610,24794,942,353,137,52,108,,,,,,,,,,52278,103,2718,55099,74505,http://iepct.mx/elecciones2018/DIP/MR/15.pdf
27,TABASCO,16,HUIMANGUILLO,67,151,404,8068,13516,753,933,528,387,25897,573,171,70,15,66,,,,,,745,,,,52126,72,2882,55080,78982,http://iepct.mx/elecciones2018/DIP/MR/16.pdf
27,TABASCO,17,JALPA DE MENDEZ,54,150,831,7104,10130,6597,1096,1024,1026,38507,,221,57,9,56,,,,,,,,,727,67385,31,2456,69872,91359,http://iepct.mx/elecciones2018/DIP/MR/17.pdf
27,TABASCO,18,MACUSPANA,47,123,570,4353,2857,3766,945,570,504,30250,1561,145,19,5,24,,,,,,,1230,,,46799,60,2551,49410,74787,http://iepct.mx/elecciones2018/DIP/MR/18.pdf
27,TABASCO,19,NACAJUCA,37,144,2253,4788,3505,6114,1264,1107,725,44372,537,203,61,29,48,,,,,,,,,,65006,10,3124,68140,92145,http://iepct.mx/elecciones2018/DIP/MR/19.pdf
27,TABASCO,20,PARAISO,63,161,978,7401,13559,2378,1416,1134,871,38804,436,197,67,11,55,,,,,,,,,,67307,42,2719,70068,93468,http://iepct.mx/elecciones2018/DIP/MR/20.pdf
27,TABASCO,21,CENTRO,41,131,993,6355,5226,4140,1598,1612,1851,27494,647,139,33,5,53,,,,,,,,,,50146,45,2886,53077,81318,http://iepct.mx/elecciones2018/DIP/MR/21.pdf
