ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,UDC,MC,NVA_ALIANZA,SI,PPC,PJ,PRC,PCP,MORENA,ES,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
5,COAHUILA,1,ACUÑA,93,220,10064,20183,11135,1254,684,21818,529,725,298,127,3057,150,62,2618,435,,,,18,73139,1615,74772,137802,0.5426
5,COAHUILA,2,PIEDRAS NEGRAS,109,249,24781,28792,1745,2374,2011,1679,996,2356,906,196,1582,336,157,7979,665,,,,115,76555,2103,78773,152068,0.5180
5,COAHUILA,3,SABINAS,118,239,22914,29770,425,792,929,10619,2017,2010,243,356,789,89,123,4729,285,873,,,46,76963,1707,78716,140248,0.5613
5,COAHUILA,4,SAN PEDRO,136,234,18277,26989,1719,1325,2101,6321,3770,2225,819,1897,2477,335,218,6411,730,,,,29,75614,2494,78137,124584,0.6272
5,COAHUILA,5,MONCLOVA,124,247,27863,29063,1746,1489,1462,2827,685,1686,873,146,824,294,110,13139,580,,,,44,82787,1927,84758,146871,0.5771
5,COAHUILA,6,FRONTERA,105,234,21594,24873,4523,3072,2618,248,758,1695,746,130,1260,192,108,12255,684,,,,54,74756,1936,76746,143330,0.5354
5,COAHUILA,7,MATAMOROS,131,246,12500,34662,1956,942,2425,2273,386,4280,572,17052,5656,2861,528,7524,422,,,,27,94039,2051,96117,144700,0.6643
5,COAHUILA,8,TORREON,37,169,26564,18031,2426,1040,1979,180,518,1098,1751,357,828,430,278,7463,292,,,,18,63235,1608,64861,116032,0.5590
5,COAHUILA,9,TORREON,154,242,34155,30457,1682,1343,1928,188,778,1341,612,252,488,437,165,8690,399,,,,39,82915,1699,84653,139001,0.6090
5,COAHUILA,10,TORREON,134,221,29076,23760,1335,1532,1733,183,666,1039,431,355,529,329,132,8966,310,,,,28,70376,1555,71959,123052,0.5848
5,COAHUILA,11,TORREON,37,181,27701,22240,1704,1317,2170,182,673,1430,581,386,482,376,197,10187,386,,,,39,70012,1433,71484,128155,0.5578
5,COAHUILA,12,RAMOS ARIZPE,106,222,14619,26244,1838,1092,3639,739,389,3227,1822,181,3796,202,4594,4590,948,,,,32,67920,3149,71101,126528,0.5619
5,COAHUILA,13,SALTILLO,91,222,21388,29169,1098,1154,2052,335,546,1483,670,204,3278,299,1047,9649,1175,,,,86,73547,2043,75676,138278,0.5473
5,COAHUILA,14,SALTILLO,76,227,33202,24795,1281,1208,1715,415,697,1774,588,168,2473,156,474,10207,1101,,2018,,56,82272,2162,84490,148846,0.5676
5,COAHUILA,15,SALTILLO,88,228,22170,29921,1312,1254,3055,244,640,1694,674,169,4505,236,592,9873,1229,,,,40,77568,2365,79973,145248,0.5506
5,COAHUILA,16,SALTILLO,123,246,17580,32558,1421,1264,2166,318,451,2309,507,231,2959,224,1872,9775,1565,,,1749,63,76949,2290,79302,147383,0.5381
