CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,UDC,MC,NVA_ALIANZA,SI,PPC,PJ,PRC,PCP,MORENA,ES,PAN_UDC_PPC_ES,PAN_UDC_PPC,PAN_UDC_ES,PAN_PPC_ES,UDC_PPC_ES,PAN_UDC,PAN_PPC,PAN_ES,UDC_PPC,UDC_ES,PPC_ES,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,COAHUILA,5,MONCLOVA,1,ABASOLO,1,B,185,289,0,3,1,0,1,4,0,0,38,1,0,32,3,0,0,0,0,0,0,0,0,0,0,0,,,,0,557,8,565,744,GRUPO DE RECUENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,COAHUILA,5,MONCLOVA,1,ABASOLO,2,B,102,104,0,2,0,1,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,223,4,227,352,GRUPO DE RECUENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,3,B,35,111,54,3,5,122,3,1,0,0,9,0,1,13,1,0,0,0,0,0,1,0,0,0,0,0,,,,0,359,10,369,631,GRUPO DE RECUENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,3,C01,42,104,56,2,6,145,0,5,2,1,10,0,0,8,1,0,0,0,0,0,2,0,0,0,0,0,,,,1,384,9,394,631,GRUPO DE RECUENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,3,C02,22,93,67,2,4,120,4,3,0,0,9,2,0,12,4,1,0,0,0,0,1,0,0,0,0,0,,,,0,344,8,352,631,GRUPO DE RECUENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,3,C03,27,103,58,3,5,109,2,2,0,3,9,1,1,17,1,0,1,0,0,0,5,0,0,0,0,0,,,,5,347,1,353,631,GRUPO DE RECUENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,4,B,35,120,84,1,1,166,1,4,2,3,10,2,0,13,4,0,0,0,0,0,10,0,0,0,0,0,,,,0,456,4,460,757,GRUPO DE RECUENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,4,C01,45,99,80,3,3,65,1,0,1,0,17,0,0,12,3,0,0,0,0,0,5,0,0,0,0,0,,,,0,334,10,344,757,GRUPO DE RECUENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,4,C02,46,125,85,3,8,152,5,2,1,1,18,2,0,11,4,0,0,0,0,0,3,0,0,0,0,0,,,,0,466,11,477,757,GRUPO DE RECUENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,COAHUILA,1,ACUÑA,2,ACUÑA,4,C03,36,107,85,3,4,154,1,1,0,0,26,0,0,14,4,0,0,0,0,0,5,0,0,0,0,0,,,,0,440,7,447,757,GRUPO DE RECUENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
