ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,PUP,NVA_ALIANZA,PSD,MORENA,ES,PRS,PAN_PRD,PRI_PVEM,C_COMUN_PRI_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
20,OAXACA,259,SAN MIGUEL ALOAPAM,2,3,194,269,85,34,48,5,28,11,142,55,,2,6,9,,47,,,,,0,935,49,984,1797,0.5476
20,OAXACA,261,SAN MIGUEL AMATLAN,2,2,25,148,19,15,18,3,5,60,1,58,,0,2,3,,10,,,,,0,367,19,386,762,0.5066
20,OAXACA,266,SAN MIGUEL DEL RIO,1,1,9,27,46,1,6,5,7,0,1,10,,0,2,0,,3,,,,,0,117,2,119,222,0.5360
20,OAXACA,278,VILLA TALEA DE CASTRO,3,3,71,200,38,16,301,2,33,8,4,55,,2,15,5,,7,,,,,1,757,29,787,1667,0.4721
20,OAXACA,286,SAN MIGUEL YOTAO,1,1,13,75,32,0,18,59,15,18,3,16,,0,0,0,,3,,,,,0,252,11,263,421,0.6247
20,OAXACA,294,SAN PABLO MACUILTIANGUIS,1,2,5,17,18,5,12,3,4,5,96,240,,5,1,0,,12,,,,,0,423,14,437,772,0.5661
20,OAXACA,297,SAN PABLO YAGANIZA,1,2,33,54,23,4,7,0,12,4,0,100,,2,5,0,,14,,,,,0,258,10,268,765,0.3503
20,OAXACA,301,SAN PEDRO CAJONOS,1,2,8,82,20,5,50,10,21,8,5,170,,2,0,0,,3,,,,,0,384,10,394,834,0.4724
20,OAXACA,336,SAN PEDRO YANERI,1,2,8,82,21,5,13,6,24,8,57,120,,9,2,1,,3,,,,,0,359,17,376,629,0.5978
20,OAXACA,337,SAN PEDRO YOLOX,2,5,98,384,58,32,84,10,9,28,16,141,,3,1,2,,5,,,,,0,871,48,919,1775,0.5177
20,OAXACA,359,SANTA ANA YARENI,1,1,24,41,23,11,39,3,17,7,2,128,,2,3,0,,19,,,,,0,319,21,340,707,0.4809
20,OAXACA,363,SANTA CATARINA IXTEPEJI,4,4,91,337,44,21,82,4,114,44,57,122,,22,5,7,,25,,,,,0,975,23,998,1976,0.5051
20,OAXACA,365,SANTA CATARINA LACHATAO,3,3,68,206,32,11,55,9,11,36,4,55,,4,2,3,,28,,,,,0,524,29,553,1040,0.5317
20,OAXACA,420,SANTA MARIA JALTIANGUIS,1,1,9,29,13,3,13,11,7,1,64,27,,4,3,1,,2,,,,,0,187,10,197,469,0.4200
20,OAXACA,433,SANTA MARIA TEMAXCALAPA,1,1,10,93,27,4,12,29,59,9,5,95,,0,0,1,,8,,,,,0,352,32,384,695,0.5525
20,OAXACA,443,SANTA MARIA YALINA,1,1,10,31,6,3,5,6,0,7,0,44,,0,1,0,,0,,,,,0,113,3,116,228,0.5088
20,OAXACA,444,SANTA MARIA YAVESIA,1,1,4,33,7,4,34,7,7,2,0,79,,1,0,1,,5,,,,,0,184,5,189,342,0.5526
20,OAXACA,458,SANTIAGO CAMOTLAN,2,5,61,326,133,13,60,19,98,23,17,481,,5,29,6,,5,,,,,0,1276,45,1321,2118,0.6237
20,OAXACA,461,SANTIAGO COMALTEPEC,2,3,48,96,27,8,59,8,53,9,23,102,,8,5,3,,31,,,,,0,480,18,498,1064,0.4680
20,OAXACA,472,SANTIAGO LALOPA,1,1,1,67,16,3,70,2,6,0,2,56,,2,0,0,,0,,,,,0,225,7,232,344,0.6744
20,OAXACA,474,SANTIAGO LAXOPA,2,2,5,53,22,7,30,5,123,7,77,38,,9,0,0,,2,,,,,0,378,20,398,927,0.4293
20,OAXACA,497,SANTIAGO XIACUI,2,3,45,139,68,13,91,37,154,53,17,63,,5,5,4,,22,,,,,0,716,14,730,1234,0.5916
20,OAXACA,504,SANTIAGO ZOOCHILA,1,1,9,29,9,4,15,0,36,3,1,59,,1,0,0,,3,,,,,0,169,8,177,333,0.5315
20,OAXACA,514,SANTO DOMINGO ROAYAGA,1,1,8,250,13,4,7,0,0,3,2,44,,0,0,2,,2,,,,,0,335,16,351,613,0.5726
20,OAXACA,519,SANTO DOMINGO TOMALTEPEC,2,4,223,131,46,36,85,7,48,34,7,242,,9,8,5,,26,,,,,1,907,31,939,2290,0.4100
20,OAXACA,522,SANTO DOMINGO XAGACIA,1,1,7,88,6,3,8,83,24,4,3,108,,0,0,4,,7,,,,,0,345,14,359,697,0.5151
20,OAXACA,541,TANETZE DE ZARAGOZA,2,3,14,152,107,8,49,33,28,4,5,128,,1,1,3,,1,,,,,0,534,20,554,1198,0.4624
20,OAXACA,544,TEOCOCUILCO DE MARCOS PEREZ,1,2,35,98,10,10,10,1,74,8,3,75,,1,1,2,,4,,,,,0,332,19,351,972,0.3611
20,OAXACA,546,TEOTITLAN DEL VALLE,4,7,254,225,97,55,516,52,51,121,18,359,,16,7,9,,60,,,,,2,1840,94,1936,4582,0.4225
20,OAXACA,552,TLALIXTAC DE CABRERA,4,13,355,597,154,98,193,35,116,56,25,485,,49,26,31,,90,,,,,3,2310,119,2432,6815,0.3569
20,OAXACA,559,CAPULALPAM DE MENDEZ,1,2,18,83,22,8,117,57,13,7,16,123,,13,1,1,,47,,,,,0,526,25,551,1112,0.4955
20,OAXACA,560,VILLA DE ETLA,4,15,234,1019,699,94,373,424,122,153,291,1021,,39,41,18,,122,,,,,4,4650,288,4942,7733,0.6391
20,OAXACA,562,VILLA HIDALGO,2,3,6,182,18,7,20,0,38,29,5,182,,0,0,2,,8,,,,,0,497,19,516,1359,0.3797
20,OAXACA,4,ASUNCION CACALOTEPEC,3,4,91,182,55,14,134,60,12,6,16,336,,4,32,11,,,,,,,0,953,50,1003,1708,0.5872
20,OAXACA,60,MIXISTLAN DE LA REFORMA,2,4,59,261,34,21,166,48,229,27,4,97,,0,3,1,,,,,,,0,950,63,1013,1693,0.5983
20,OAXACA,191,SAN JUAN COMALTEPEC,2,4,124,229,44,14,138,4,3,22,13,205,,1,12,1,,,,,,,0,810,49,859,1731,0.4962
20,OAXACA,192,SAN JUAN COTZOCON,9,26,500,3085,473,140,1188,89,116,68,32,947,,15,58,39,,,,,,,1,6750,235,6986,14060,0.4969
20,OAXACA,201,SAN JUAN JUQUILA MIXES,4,5,77,158,37,43,299,130,4,32,16,227,,3,11,3,,,,,,,2,1040,67,1109,2518,0.4404
20,OAXACA,206,SAN JUAN LALANA,7,20,141,3054,353,70,3015,19,9,33,11,432,,8,11,30,,,,,,,2,7186,321,7509,10784,0.6963
20,OAXACA,207,SAN JUAN MAZATLAN,9,25,311,2494,359,134,1191,17,257,251,32,624,2,8,21,26,,,255,,,,0,5982,280,6262,11833,0.5292
20,OAXACA,231,SAN LUCAS CAMOTLAN,1,3,44,182,19,7,15,0,3,3,2,56,,1,44,1,,,,,,,0,377,35,412,1646,0.2503
20,OAXACA,274,SAN MIGUEL QUETZALTEPEC,3,9,219,971,65,73,209,26,108,21,6,125,,16,13,42,,,,,,,0,1894,124,2018,4938,0.4087
20,OAXACA,321,SAN PEDRO OCOTEPEC,1,3,120,140,21,8,38,8,2,6,3,54,,0,9,1,,,,,,,0,410,24,434,1296,0.3349
