ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,C_COMUN_PRI_PVEM_PT_NVA_ALIANZA,C_COMUN_PRI_PVEM_PT,C_COMUN_PRI_PT_NVA_ALIANZA,C_COMUN_PRI_PVEM,C_COMUN_PRI_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
8,CHIHUAHUA,1,AHUMADA,15,22,468,2354,26,60,20,1982,195,31,10,,,,,,1,5146,254,5401,8909,0.6062
8,CHIHUAHUA,2,ALDAMA,20,35,5997,2683,666,90,62,56,257,364,172,,,,,,18,10347,386,10751,18678,0.5756
8,CHIHUAHUA,3,ALLENDE,13,16,2157,,99,,34,39,279,50,90,,,,2135,,0,4883,135,5018,7280,0.6893
8,CHIHUAHUA,4,AQUILES SERDAN,3,17,1348,1945,301,1653,29,199,199,122,78,,,,,,6,5874,266,6146,10327,0.5951
8,CHIHUAHUA,5,ASCENSION,21,33,3210,3611,76,68,97,316,198,133,28,,,,,,3,7737,375,8115,17014,0.477
8,CHIHUAHUA,6,BACHINIVA,18,18,1707,,103,33,6,13,,25,10,,,,,1406,0,3303,176,3479,5582,0.6233
8,CHIHUAHUA,7,BALLEZA,14,24,2993,4480,21,45,24,16,106,17,15,,,,,,2,7717,582,8301,12851,0.6459
8,CHIHUAHUA,8,BATOPILAS,11,17,680,2312,197,61,38,16,52,18,7,,,,,,1,3381,629,4011,8459,0.4742
8,CHIHUAHUA,9,BOCOYNA,22,42,3241,,123,180,115,2172,,96,1509,,,,,4185,50,11621,932,12603,20561,0.613
8,CHIHUAHUA,10,BUENAVENTURA,26,38,3958,4457,159,86,69,227,193,149,37,,,,,,3,9335,361,9699,17751,0.5464
8,CHIHUAHUA,11,CAMARGO,40,71,11577,,954,,168,336,1095,347,281,,,,7280,,9,22038,521,22568,37310,0.6049
8,CHIHUAHUA,12,CARICHI,16,18,1139,1439,589,35,58,594,138,131,6,,,,,,3,4129,518,4650,7058,0.6588
8,CHIHUAHUA,13,CASAS GRANDES,13,22,1110,808,637,94,200,519,942,426,39,,,,,,6,4775,281,5062,9716,0.521
8,CHIHUAHUA,14,CORONADO,4,5,583,,5,,262,21,30,6,4,,,,577,,1,1488,31,1520,1890,0.8042
8,CHIHUAHUA,15,COYAME DEL SOTOL,3,4,823,679,6,1,6,3,17,11,4,,,,,,0,1550,33,1583,2150,0.7363
8,CHIHUAHUA,16,LA CRUZ,5,7,865,,45,,3,85,175,44,10,,,,867,,0,2094,91,2185,3330,0.6562
8,CHIHUAHUA,17,CUAUHTEMOC,111,225,23551,,1839,,,4112,,2471,2559,15916,,,,,79,50448,2348,52875,121142,0.4365
8,CHIHUAHUA,18,CUSIHUIRIACHI,13,14,644,,114,166,233,207,,25,223,,,,,1055,3,2667,209,2879,5164,0.5575
8,CHIHUAHUA,19,CHIHUAHUA,647,1205,183309,10581,7805,4904,1976,15928,9361,19902,15052,17970,12367,18854,15961,,889,333970,13326,348185,651314,0.5346
8,CHIHUAHUA,20,CHINIPAS,8,15,658,,9,10,10,8,,9,4,,,,,2372,0,3080,136,3216,5146,0.625
8,CHIHUAHUA,21,DELICIAS,109,195,22419,,3596,1116,1186,1451,,4918,1921,,,,,15049,48,51656,1824,53528,108796,0.492
8,CHIHUAHUA,22,DR. BELISARIO DOMINGUEZ,8,8,1017,,18,17,,15,,27,8,,,692,,,0,1794,72,1866,3116,0.5988
