ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
16,MICHOACAN,1,ACUITZIO,10,16,1084,1060,1869,129,218,0,242,110,0,131,8,4843,360,5211,8166,0.6381
16,MICHOACAN,2,AGUILILLA,13,23,307,2356,3405,70,60,0,24,193,25,11,4,6451,235,6690,12396,0.5397
16,MICHOACAN,3,ÁLVARO OBREGÓN,12,28,939,3497,1081,3937,208,51,373,227,0,79,4,10392,339,10735,15658,0.6856
16,MICHOACAN,4,ANGAMACUTIRO,14,23,308,2349,4214,314,55,0,26,109,0,21,3,7396,196,7595,12290,0.6180
16,MICHOACAN,5,ANGANGUEO,6,13,369,2124,529,1413,501,40,39,202,119,14,1,5350,184,5535,7564,0.7318
16,MICHOACAN,6,APATZINGÁN,80,167,9221,11464,8450,3618,809,1541,684,3258,0,2655,45,41700,1920,43665,87682,0.4980
16,MICHOACAN,7,APORO,4,6,649,626,468,105,10,7,6,45,4,47,0,1967,97,2064,2562,0.8056
16,MICHOACAN,8,AQUILA,13,32,1260,631,3625,838,3739,0,50,21,34,7,5,10205,232,10442,17926,0.5825
16,MICHOACAN,9,ARIO,21,44,4354,4177,2055,245,2306,0,222,169,0,139,1,13667,800,14468,24209,0.5976
16,MICHOACAN,10,ARTEAGA,14,35,385,4045,4848,58,76,102,282,159,0,19,4,9974,311,10289,16096,0.6392
16,MICHOACAN,11,BRISEÑAS,6,11,314,1116,982,1496,43,63,285,90,0,16,0,4405,92,4497,6363,0.7067
16,MICHOACAN,12,BUENAVISTA,23,50,1955,4151,4518,420,240,0,119,1352,1668,74,6,14497,663,15166,29291,0.5178
16,MICHOACAN,13,CARÁCUARO,12,16,144,2092,2078,38,50,11,20,21,35,12,1,4501,231,4733,7178,0.6594
16,MICHOACAN,14,COAHUAYANA,12,18,623,1244,1757,39,69,0,1266,131,35,12,2,5176,163,5341,9747,0.5480
16,MICHOACAN,15,COALCOMÁN DE VÁZQUEZ PALLARES,17,29,1300,2949,3701,69,123,0,144,252,47,13,2,8598,287,8887,13797,0.6441
16,MICHOACAN,16,COENEO,29,41,2551,1959,3572,670,113,69,79,326,0,31,6,9370,523,9899,18567,0.5332
16,MICHOACAN,17,CONTEPEC,13,37,3018,4692,4450,219,113,1284,202,306,48,76,24,14408,444,14876,21831,0.6814
16,MICHOACAN,18,COPÁNDARO,6,12,1015,1092,1033,968,50,0,56,130,0,29,1,4373,185,4559,7069,0.6449
16,MICHOACAN,19,COTIJA,19,38,1507,1490,1992,726,2037,97,69,53,0,17,1,7988,341,8330,16379,0.5086
16,MICHOACAN,20,CUITZEO,16,38,1772,2607,3122,391,526,1812,186,451,0,259,18,11126,698,11842,21396,0.5535
16,MICHOACAN,21,CHARAPAN,6,14,113,1215,1456,2062,53,27,68,453,0,12,4,5459,192,5655,8568,0.6600
16,MICHOACAN,22,CHARO,15,27,2926,2276,2685,71,217,534,76,623,0,63,2,9471,424,9897,15205,0.6509
16,MICHOACAN,23,CHAVINDA,11,17,662,1954,689,16,784,28,22,33,15,19,1,4222,187,4410,8614,0.5120
16,MICHOACAN,24,CHERÁN,2,4,20,469,404,26,23,7,62,55,0,23,0,1089,40,1129,1994,0.5662
16,MICHOACAN,25,CHILCHOTA,17,41,864,4728,3297,317,612,358,107,820,209,2395,4,13707,679,14390,24773,0.5809
16,MICHOACAN,26,CHINICUILA,8,11,195,959,1458,21,22,0,10,15,5,3,3,2688,56,2747,3898,0.7047
16,MICHOACAN,27,CHUCÁNDIRO,6,11,323,886,1254,23,39,0,14,109,0,9,0,2657,134,2791,4886,0.5712
16,MICHOACAN,28,CHURINTZIO,8,13,78,1280,1281,36,14,5,9,141,4,2,0,2850,59,2909,5908,0.4924
16,MICHOACAN,29,CHURUMUCO,13,23,65,4140,3723,14,16,29,11,18,0,9,0,8025,135,8160,10823,0.7539
16,MICHOACAN,30,ECUANDUREO,13,23,2243,3236,630,68,70,19,33,50,11,14,2,6374,160,6536,11256,0.5807
16,MICHOACAN,31,EPITACIO HUERTA,11,21,414,2314,2796,48,82,1684,35,65,24,27,0,7489,315,7804,11807,0.6610
16,MICHOACAN,32,ERONGARÍCUARO,10,19,2636,2359,1810,139,111,82,132,188,0,141,1,7598,405,8004,10865,0.7367
16,MICHOACAN,33,GABRIEL ZAMORA,13,28,273,3458,4344,47,128,44,157,993,0,20,3,9464,306,9773,15259,0.6405
16,MICHOACAN,34,HIDALGO,72,149,3675,4603,6327,1949,1429,155,1722,386,2,339,12,20587,995,21594,83492,0.2586
16,MICHOACAN,35,LA HUACANA,28,50,624,8302,5202,401,86,87,55,181,0,41,4,14979,506,15489,23796,0.6509
16,MICHOACAN,36,HUANDACAREO,10,18,1589,1195,2145,86,391,0,91,125,0,71,5,5693,335,6033,9494,0.6355
16,MICHOACAN,37,HUANIQUEO,11,14,587,624,2247,73,127,48,137,267,0,42,2,4152,464,4618,7447,0.6201
16,MICHOACAN,38,HUETAMO,45,65,299,4995,9630,1164,207,203,563,273,61,28,1,17423,833,18257,32069,0.5693
16,MICHOACAN,39,HUIRAMBA,4,11,420,1979,1313,104,103,37,22,87,0,55,0,4120,193,4313,6036,0.7145
16,MICHOACAN,40,INDAPARAPEO,13,24,539,3152,2908,156,170,56,78,308,0,59,2,7426,334,7762,12641,0.6140
16,MICHOACAN,41,IRIMBO,8,19,296,636,1676,87,87,7,366,55,0,31,1,3241,143,3385,11613,0.2915
16,MICHOACAN,42,IXTLÁN,12,20,526,2076,2294,934,92,28,36,447,24,19,2,6476,172,6650,11053,0.6016
16,MICHOACAN,43,JACONA,27,76,3726,5052,2143,688,1446,5296,793,671,250,1903,30,21968,1008,23006,47355,0.4858
16,MICHOACAN,44,JIMÉNEZ,14,23,352,1910,2642,438,792,64,80,206,0,47,0,6531,284,6815,11655,0.5847
16,MICHOACAN,45,JIQUILPAN,30,62,1904,5610,2838,141,3004,237,327,676,0,127,5,14864,739,15608,30699,0.5084
16,MICHOACAN,46,JOSÉ SIXTO VERDUZCO,18,37,465,3609,4594,2472,202,0,1321,340,0,387,12,13390,499,13901,20775,0.6691
16,MICHOACAN,47,JUÁREZ,12,20,337,2223,1980,108,58,2235,42,58,28,201,0,7270,251,7521,10053,0.7481
16,MICHOACAN,48,JUNGAPEO,15,26,120,1371,1963,50,95,4,109,22,0,21,1,3755,163,3919,14071,0.2785
16,MICHOACAN,49,LAGUNILLAS,4,9,1620,453,1167,12,32,16,10,39,0,12,1,3361,138,3500,4753,0.7364
16,MICHOACAN,50,LÁZARO CÁRDENAS,65,216,6994,17790,15647,914,1313,0,1494,4426,749,1144,71,50471,2145,52687,130581,0.4035
16,MICHOACAN,51,MADERO,14,23,2839,2338,2884,72,85,0,75,36,0,30,6,8359,355,8720,12949,0.6734
16,MICHOACAN,52,MARAVATÍO,44,105,5468,4939,9278,542,581,2143,1914,999,301,609,17,26774,1745,28536,58773,0.4855
16,MICHOACAN,53,MARCOS CASTELLANOS,11,19,3087,2267,380,28,62,59,44,70,0,14,2,6011,167,6180,9218,0.6704
16,MICHOACAN,54,MORELIA,351,944,69069,62868,40723,9904,15408,11653,5551,17777,8887,10130,828,251970,23581,276379,563812,0.4902
16,MICHOACAN,55,MORELOS,9,16,1008,868,1160,179,72,0,648,121,0,36,4,4092,292,4388,7521,0.5834
16,MICHOACAN,56,MÚGICA,24,54,1281,7504,7558,119,139,80,291,469,0,48,10,17489,638,18137,31771,0.5709
16,MICHOACAN,57,NAHUÁTZEN,15,34,884,3464,4505,252,142,1863,163,1825,0,51,36,13149,682,13867,18897,0.7338
16,MICHOACAN,58,NOCUPÉTARO,13,17,175,2290,2564,104,27,4,9,74,6,4,1,5257,187,5445,7015,0.7762
16,MICHOACAN,59,NUEVO PARANGARICUTIRO,11,25,871,4066,3127,69,107,37,76,205,138,29,0,8725,205,8930,12994,0.6872
16,MICHOACAN,60,NUEVO URECHO,9,13,142,1520,2038,60,101,8,40,54,0,9,3,3972,138,4113,5777,0.7120
16,MICHOACAN,61,NUMARÁN,9,17,2652,1977,816,29,44,4,49,60,7,20,1,5658,155,5814,9131,0.6367
16,MICHOACAN,62,OCAMPO,11,24,1351,1863,871,2780,2721,62,122,148,68,36,0,10022,424,10446,14259,0.7326
16,MICHOACAN,63,PAJACUARÁN,18,31,1240,2144,2624,53,946,2143,65,126,0,17,4,9358,271,9633,14730,0.6540
16,MICHOACAN,64,PANINDÍCUARO,19,29,212,3514,3769,195,122,0,59,186,0,36,6,8093,373,8472,13441,0.6303
16,MICHOACAN,65,PARÁCUARO,16,32,1201,2432,3206,73,556,332,83,2630,0,303,3,10816,415,11234,17596,0.6384
