ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,C_COMUN_PAN_PRD,C_COMUN_PAN_MC,C_COMUN_PRD_PVEM,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
16,MICHOACAN,1,ACUITZIO,10,17,506,635,578,1301,326,87,551,721,156,,,,14,11,5,33,30,,,,,,4954,10,525,5489,8549
16,MICHOACAN,2,AGUILILLA,13,22,212,1541,892,141,95,95,52,1899,,,2,4,,,,,41,,,,,,4974,0,493,5467,12272
16,MICHOACAN,3,ÁLVARO OBREGÓN,12,30,460,2655,233,1308,1296,106,540,1008,2079,,,,12,3,3,4,43,,,,,,9750,1,801,10552,16440
16,MICHOACAN,4,ANGAMACUTIRO,13,23,216,1766,3626,137,91,83,34,1222,73,,,,44,38,1,7,28,,,,,,7366,7,317,7690,12431
16,MICHOACAN,5,ANGANGUEO,6,12,254,932,960,1305,744,42,180,548,51,,,,14,6,2,6,101,,,,,,5145,0,379,5524,7764
16,MICHOACAN,6,APATZINGÁN,79,165,2594,10500,4922,2905,3126,781,1174,17069,626,,,,98,83,8,24,445,,,,,,44355,25,2448,46828,90067
16,MICHOACAN,7,ÁPORO,4,6,250,274,204,237,371,19,6,623,34,14,,,,,,,26,,,,,,2058,0,138,2196,2698
16,MICHOACAN,8,AQUILA,13,31,1550,2235,2202,474,4147,181,101,2643,,,7,287,,,,,64,,,,,,13891,0,675,14566,18813
16,MICHOACAN,9,ARIO,21,47,5612,1613,710,354,3431,202,116,2322,110,,,,132,152,17,2,51,,,,,,14824,5,1053,15882,26009
16,MICHOACAN,10,ARTEAGA,14,36,504,1517,2205,131,326,101,1551,3272,,,,,12,6,6,10,39,,,,,,9680,1,877,10558,16210
16,MICHOACAN,11,BRISEÑAS,6,11,214,1321,168,84,175,62,1268,787,34,,,,3,0,1,0,6,,,,,,4123,1,284,4408,6266
16,MICHOACAN,12,BUENAVISTA,23,55,615,1699,3759,962,602,237,215,8596,,,21,27,,,,,282,,,,,,17015,4,840,17859,31230
16,MICHOACAN,13,CARÁCUARO,12,16,555,1192,2455,80,51,31,21,308,8,,,,225,14,5,2,4,,,,,,4951,0,399,5350,7441
16,MICHOACAN,14,COAHUAYANA,12,20,320,472,1821,91,93,90,2224,977,,,0,2,,,,,11,,,,,,6101,0,572,6673,10578
16,MICHOACAN,15,COALCOMÁN DE VAZQUEZ PALLARES,17,30,557,4469,2292,122,75,90,51,833,,,4,11,,,,,17,,,,,,8521,1,563,9085,14274
16,MICHOACAN,16,COENEO,29,42,424,2366,2772,288,192,146,201,2142,911,,5,17,,,,,36,,,,,,9500,4,835,10339,18795
16,MICHOACAN,17,CONTEPEC,13,39,402,5471,1010,1150,626,216,775,3430,119,16,,,,,,,236,,,,,,13451,2,989,14442,22656
16,MICHOACAN,18,COPÁNDARO,6,12,222,906,1117,927,555,39,154,324,35,,,,19,29,1,3,31,,,,,,4362,1,264,4627,7283
16,MICHOACAN,19,COTIJA,19,36,2773,1095,411,197,547,171,100,3262,46,,80,24,,,,,35,,,,,,8741,2,459,9202,16692
16,MICHOACAN,20,CUITZEO,16,42,770,1616,1449,1445,1665,703,1636,2228,232,,,,22,9,14,12,50,,,,,,11851,8,968,12827,22454
16,MICHOACAN,21,CHARAPAN,4,9,156,307,656,191,780,78,116,1175,58,,1,5,,,,,7,,,,,,3530,27,479,4036,5929
16,MICHOACAN,22,CHARO,15,29,2257,885,634,215,1977,120,1671,1776,99,,,,48,42,6,5,47,,,,,,9782,2,650,10434,16105
16,MICHOACAN,23,CHAVINDA,11,18,1054,506,503,100,1152,98,26,973,25,,10,9,,,,,17,,,,,,4473,17,324,4814,8988
16,MICHOACAN,24,CHERÁN,2,4,78,172,366,36,25,19,10,299,13,,0,2,,,,,3,,,,,,1023,0,47,1070,1899
16,MICHOACAN,25,CHILCHOTA,15,40,462,3761,2548,871,277,227,179,6017,154,,3,7,,,,,91,,,,,,14597,3,839,15439,23573
16,MICHOACAN,26,CHINICUILA,8,11,111,808,1161,139,27,20,11,302,,,0,8,,,,,20,,,,,,2607,1,122,2730,3955
16,MICHOACAN,27,CHUCÁNDIRO,6,11,81,1170,931,35,40,20,18,288,11,,,,14,11,0,3,8,,,,,,2630,0,151,2781,4942
16,MICHOACAN,28,CHURINTZIO,8,13,135,493,1201,65,49,22,10,853,19,12,,,,,,,,,,,,,2859,3,153,3015,6014
16,MICHOACAN,29,CHURUMUCO,13,22,76,3665,1730,143,362,51,22,1184,,,,,1,5,1,6,13,,,,,,7259,0,460,7719,11076
16,MICHOACAN,30,ECUANDUREO,13,23,2365,1461,416,85,99,120,24,1405,32,43,,,,,,,,,,,,,6050,1,358,6409,11343
16,MICHOACAN,31,EPITACIO HUERTA,11,21,261,1574,1339,88,1282,135,60,2622,53,23,,,,,,,19,,,,,,7456,4,472,7932,11548
16,MICHOACAN,32,ERONGARÍCUARO,10,19,210,2198,886,516,233,107,220,2473,67,,0,5,,,,,127,,,,,,7042,3,623,7668,11327
16,MICHOACAN,33,GABRIEL ZAMORA,13,28,109,1378,2391,257,1103,124,68,4348,,,,,9,7,0,5,59,,,,,,9858,1,531,10390,15944
16,MICHOACAN,34,HIDALGO,72,154,7773,9874,6831,6897,2922,916,730,8384,844,,,,322,197,61,40,811,,,,,,46602,53,3297,49952,87283
16,MICHOACAN,35,LA HUACANA,28,50,400,8185,1063,363,256,159,71,3371,,,,,58,10,0,0,173,,,,,,14109,2,794,14905,24280
16,MICHOACAN,36,HUANDACAREO,10,18,815,1136,1972,145,135,72,146,1364,35,,,,21,33,9,9,83,,,,,,5975,2,349,6326,9892
16,MICHOACAN,37,HUANIQUEO,11,14,158,211,1705,407,96,43,91,1153,23,,,,2,6,1,7,70,,,,,,3973,1,312,4286,7569
16,MICHOACAN,38,HUETAMO,45,66,443,2060,9750,551,92,126,247,4146,50,,,,66,81,4,25,90,,,,,,17731,4,1051,18786,33021
16,MICHOACAN,39,HUIRAMBA,4,11,210,1483,1204,693,129,41,13,331,79,,,,23,43,3,9,56,,,,,,4317,0,269,4586,6406
16,MICHOACAN,40,INDAPARAPEO,13,25,345,2561,2337,247,730,88,231,1371,56,,,,33,31,2,16,43,,,,,,8091,2,545,8638,12979
16,MICHOACAN,41,IRIMBO,8,20,518,2198,2159,158,259,73,70,1134,429,,,,14,23,3,7,23,,,,,,7068,0,510,7578,11974
16,MICHOACAN,42,IXTLÁN,12,20,345,2124,2175,171,115,89,31,1303,37,181,,,,,,,,,,,,,6571,0,463,7034,11174
16,MICHOACAN,43,JACONA,27,80,2972,5786,1243,1883,4019,2138,230,5991,327,,,,306,19,48,13,,,,,,,24975,10,1373,26358,50757
16,MICHOACAN,44,JIMÉNEZ,14,24,229,1744,2390,236,356,123,59,849,42,,,,6,10,3,9,29,,,,,,6085,4,576,6665,12099
16,MICHOACAN,45,JIQUILPAN,30,63,1476,2609,2437,560,1102,428,294,6662,174,,,,119,27,10,13,116,,,,,,16027,30,994,17051,31681
16,MICHOACAN,46,JOSÉ SIXTO VERDUZCO,18,38,341,1905,3045,775,3757,181,283,2077,155,,,,60,17,6,22,105,,,,,,12729,28,941,13698,20949
16,MICHOACAN,47,JUÁREZ,12,20,259,598,2243,85,1876,251,37,1843,40,,,,85,11,4,21,40,,,,,,7393,1,433,7827,10379
16,MICHOACAN,48,JUNGAPEO,16,27,326,1605,3607,228,279,105,360,1724,132,,,,34,40,2,26,26,,,,,,8494,4,752,9250,14335
16,MICHOACAN,49,LAGUNILLAS,4,9,829,950,270,551,342,39,13,203,7,,,,74,36,7,0,55,,,,,,3376,0,272,3648,4954
16,MICHOACAN,50,LÁZARO CÁRDENAS,65,225,2588,9672,10364,7459,1877,727,662,35533,1682,,,,98,68,11,28,614,,,,,4597,75980,99,3507,79586,135477
16,MICHOACAN,51,MADERO,14,25,393,2369,1740,194,259,75,2404,784,31,,,,35,50,2,9,12,,,,,,8357,5,805,9167,13492
16,MICHOACAN,52,MARAVATÍO,44,109,2093,3937,6328,738,4347,614,1183,8347,670,197,,,,,,,154,,,,,,28608,13,3091,31712,61435
16,MICHOACAN,53,MARCOS CASTELLANOS,11,19,1499,2052,159,96,691,113,33,1316,31,,,,35,13,4,1,26,,,,,,6069,1,324,6394,9578
16,MICHOACAN,54,MORELIA,351,999,49450,44771,16277,11239,30559,8748,5687,94966,17550,,,,744,415,225,127,1449,7310,10884,8248,8013,,316662,557,22660,339879,601506
16,MICHOACAN,55,MORELOS,9,16,390,1289,1629,172,133,33,36,451,15,,,,29,50,2,6,20,,,,,,4255,2,288,4545,7748
16,MICHOACAN,56,MÚGICA,24,56,394,6332,2007,866,455,229,162,6128,,,,,16,14,1,18,224,,,,,,16846,17,911,17774,32731
16,MICHOACAN,57,NAHUÁTZEN,9,21,568,978,1246,120,272,168,29,1235,48,,12,20,,,,,19,,,,,,4715,2,564,5281,10357
16,MICHOACAN,58,NOCUPÉTARO,13,17,521,2197,1427,32,41,30,21,707,12,,,,2,11,6,1,8,,,,,,5016,2,290,5308,7156
16,MICHOACAN,59,NUEVO PARANGARICUTIRO,11,26,869,3555,2323,210,259,155,56,1289,64,,,,63,49,1,10,7,,,,,,8910,4,462,9376,14078
16,MICHOACAN,60,NUEVO URECHO,9,13,101,499,1529,992,69,37,23,499,,,,,169,16,0,6,231,,,,,,4171,0,267,4438,6025
16,MICHOACAN,61,NUMARÁN,9,17,1685,999,780,145,114,113,142,1278,63,164,,,,,,,,,,,,,5483,0,302,5785,9526
16,MICHOACAN,62,OCAMPO,11,26,772,1195,2677,2653,325,221,247,1674,185,,,,17,22,4,13,183,,,,,,10188,3,1156,11347,15434
16,MICHOACAN,63,PAJACUARÁN,18,32,1809,2274,176,75,1256,723,293,2682,29,,3,2,,,,,10,,,,,,9332,1,288,9621,15020
16,MICHOACAN,64,PANINDÍCUARO,19,29,184,827,2692,255,897,130,52,2491,40,,,,43,13,3,9,57,,,,,,7693,10,510,8213,13795
16,MICHOACAN,65,PARÁCUARO,16,33,204,1237,2922,399,359,206,114,5934,,,,,7,90,1,12,67,,,,,,11552,1,558,12111,18399
16,MICHOACAN,66,PARACHO,15,43,417,1814,3279,437,1874,253,114,5399,468,,3,25,,,,,53,,,,,,14136,2,1035,15173,23970
16,MICHOACAN,67,PÁTZCUARO,42,111,2479,7315,5612,2371,2839,1222,577,9875,805,,,,164,80,19,48,336,,,,,,33742,37,2954,36733,66653
16,MICHOACAN,68,PENJAMILLO,19,31,324,3126,2184,550,357,97,57,1793,33,,,,16,14,0,27,102,,,,,,8680,2,496,9178,15754
16,MICHOACAN,69,PERIBÁN,12,33,2333,1144,463,280,2405,384,215,2388,,,129,108,,,,,252,,,,,,10101,14,900,11015,19546
16,MICHOACAN,70,LA PIEDAD,61,136,13026,6860,2273,1473,921,5193,636,7734,733,221,,,,,,,,,,,,,39070,21,1842,40933,78169
16,MICHOACAN,71,PURÉPERO,11,22,736,1119,626,161,662,269,1088,1145,646,,,,19,6,3,2,,,,,,,6482,4,649,7135,12742
16,MICHOACAN,72,PURUÁNDIRO,46,100,2028,7387,6034,2750,667,608,1161,5886,273,,,,113,95,20,41,324,,,,,,27387,24,2081,29492,58090
16,MICHOACAN,73,QUERÉNDARO,14,22,1310,905,753,383,475,88,270,1743,171,,,,7,8,4,3,92,,,,,,6212,8,647,6867,10838
16,MICHOACAN,74,QUIROGA,12,31,1949,2782,1012,199,726,239,71,1397,1106,,10,5,,,,,21,,,,,,9517,3,818,10338,16608
16,MICHOACAN,75,COJUMATLÁN DE RÉGULES,9,18,317,1534,2149,346,96,63,28,420,19,,,,10,13,0,3,26,,,,,,5024,0,199,5223,8237
16,MICHOACAN,76,LOS REYES,35,92,9739,5186,3704,908,678,552,699,5195,326,,169,42,,,,,110,,,,,,27308,5,1453,28766,52620
16,MICHOACAN,77,SAHUAYO,49,95,12887,7852,1214,528,728,508,326,5683,248,,,,212,241,122,13,110,,,,,,30672,86,1319,32077,53202
16,MICHOACAN,78,SAN LUCAS,20,29,198,2954,1265,1841,54,76,29,1634,41,,,,4,6,0,8,201,,,,,,8311,0,645,8956,14222
16,MICHOACAN,79,SANTA ANA MAYA,11,18,636,836,498,570,197,925,68,1108,888,,,,41,7,17,11,44,,,,,,5846,2,355,6203,10891
16,MICHOACAN,80,SALVADOR ESCALANTE,24,56,877,3804,4332,882,2564,499,261,2955,2065,,,,65,52,11,18,96,,,,,,18481,8,1850,20339,34040
16,MICHOACAN,81,SENGUIO,11,26,974,2461,1334,154,573,1094,170,1833,327,9,,,,,,,17,,,,,,8946,2,689,9637,14866
16,MICHOACAN,82,SUSUPUATO,10,15,68,1591,1284,137,28,753,10,1251,14,,,,20,2,13,8,32,,,,,,5211,1,238,5450,6896
16,MICHOACAN,83,TACÁMBARO,38,94,3528,6213,5125,876,2270,510,592,7818,373,,,,171,172,21,25,143,,,,,,27837,57,2029,29923,53752
16,MICHOACAN,84,TANCÍTARO,15,35,1743,2243,1451,301,834,242,72,2198,75,,,,12,11,19,10,39,,,,,,9250,6,767,10023,20556
16,MICHOACAN,85,TANGAMANDAPIO,14,40,1503,2803,2507,268,837,383,100,3115,313,,15,7,,,,,17,,,,,,11868,3,799,12670,22328
16,MICHOACAN,86,TANGANCÍCUARO,27,50,4991,3497,503,191,634,212,111,1446,80,,,,127,39,27,2,,,,,,,11860,6,606,12472,26744
16,MICHOACAN,87,TANHUATO,11,22,793,332,812,732,523,170,198,2706,147,11,,,,,,,,,,,,,6424,9,692,7125,11408
16,MICHOACAN,88,TARETAN,9,20,3551,1170,540,98,110,62,43,1035,25,,,,96,137,19,1,6,,,,,,6893,12,390,7295,11282
16,MICHOACAN,89,TARÍMBARO,40,109,3069,5363,3928,6480,5760,1805,829,4490,1064,,,,80,152,13,21,362,,,,,,33416,26,2337,35779,63149
16,MICHOACAN,90,TEPALCATEPEC,16,28,1713,2164,1361,326,178,238,53,2053,,,54,8,,,,,45,,,,,,8193,1,710,8904,16605
