ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,1,LA PIEDAD,140,276,19714,14285,9596,2948,2779,6512,3210,19285,1756,,,,,,80085,39,4671,84795,153291,http://iem.org.mx/actas_dtto/D4_LA PIEDAD.pdf
16,MICHOACAN,2,PURUÁNDIRO,165,304,5039,20561,26482,5875,6529,1663,1937,17987,700,,,,,,86773,80,6021,92874,163427,http://iem.org.mx/actas_dtto/D4_PURUÁNDIRO.pdf
16,MICHOACAN,3,MARAVATÍO,98,235,4759,15082,11544,3172,8901,3360,3888,19527,2223,,,,,,72456,39,6469,78964,142426,http://iem.org.mx/actas_dtto/D4_MARAVATÍO.pdf
16,MICHOACAN,4,JIQUILPAN,140,269,18574,19984,9098,2147,3546,4319,2228,20884,640,,,,,,81420,119,4428,85967,142296,http://iem.org.mx/actas_dtto/D4_JIQUILPAN.pdf
16,MICHOACAN,5,PARACHO,96,207,4264,14378,12765,2836,4379,1237,940,20316,2825,,,,,,63940,44,5240,69224,112507,http://iem.org.mx/actas_dtto/D4_PARACHO.pdf
16,MICHOACAN,6,ZAMORA,96,250,11672,10381,2715,8136,8696,5480,888,20257,1337,,,,,,69562,88,3807,73457,144521,http://iem.org.mx/actas_dtto/D4_ZAMORA.pdf
16,MICHOACAN,7,ZACAPU,123,264,11352,13408,5638,3719,16204,5013,2012,19765,1696,,,,,,78807,54,5460,84321,154871,http://iem.org.mx/actas_dtto/D4_ZACAPU.pdf
16,MICHOACAN,8,TARIMBARO,112,264,7977,14822,10416,11502,12180,4004,5129,12615,4453,,,,,,83098,42,5920,89060,148810,http://iem.org.mx/actas_dtto/D4_TARIMBARO.pdf
16,MICHOACAN,9,LOS REYES,138,292,22547,14472,9248,2281,6557,3128,1463,19787,853,,,,,,80336,47,4494,84877,151793,http://iem.org.mx/actas_dtto/D4_LOS REYES.pdf
16,MICHOACAN,10,MORELIA NOROESTE,49,216,5810,10156,3431,2771,5012,2281,1022,20833,5808,7310,,,,,64434,76,4965,69475,138721,http://iem.org.mx/actas_dtto/D4_MORELIA NOROESTE.pdf
16,MICHOACAN,11,MORELIA NORESTE,95,250,13721,10562,3310,2908,13087,1702,1310,21149,3786,,10884,,,,82419,117,5167,87703,151522,http://iem.org.mx/actas_dtto/D4_MORELIA NORESTE.pdf
16,MICHOACAN,12,HIDALGO,126,266,11880,16850,14500,8430,4661,2183,1992,17010,1884,,,,,,79390,78,6443,85911,148245,http://iem.org.mx/actas_dtto/D4_HIDALGO.pdf
16,MICHOACAN,13,ZITÁCUARO,99,233,7051,10433,18836,8259,5082,1951,1699,22359,2653,,,,,,78323,68,6733,85124,137312,http://iem.org.mx/actas_dtto/D4_ZITÁCUARO.pdf
16,MICHOACAN,14,URUAPAN NORTE,88,214,9957,5839,15713,3018,2591,1597,1034,20318,1654,,,,,,61721,112,4229,66062,123362,http://iem.org.mx/actas_dtto/D4_URUAPAN NORTE.pdf
16,MICHOACAN,15,PÁTZCUARO,96,239,5496,18509,16393,5223,6467,2727,1728,19354,3767,,,,,,79664,52,6795,86511,142611,http://iem.org.mx/actas_dtto/D4_PÁTZCUARO.pdf
16,MICHOACAN,16,MORELIA SUROESTE,80,252,9373,12684,4932,3235,6197,2655,1790,26631,3800,,,8248,,,79545,156,6057,85758,153146,http://iem.org.mx/actas_dtto/D4_MORELIA SUROESTE.pdf
16,MICHOACAN,17,MORELIA SURESTE,127,281,21053,11369,5106,3049,6263,2612,1565,27078,4156,,,,8013,,90264,208,6471,96943,158134,http://iem.org.mx/actas_dtto/D4_MORELIA SURESTE.pdf
16,MICHOACAN,18,HUETAMO,178,272,3341,14907,33599,3769,6780,2075,1164,17900,1320,,,,,,84855,18,5619,90492,135586,http://iem.org.mx/actas_dtto/D4_HUETAMO.pdf
16,MICHOACAN,19,TACÁMBARO,140,269,15009,15565,17095,3410,8964,1663,3826,15940,784,,,,,,82256,132,6344,88732,144727,http://iem.org.mx/actas_dtto/D4_TACÁMBARO.pdf
16,MICHOACAN,20,URUAPAN SUR,54,188,8646,4706,15103,3991,2497,1142,772,19880,1388,,,,,,58125,79,3457,61661,116648,http://iem.org.mx/actas_dtto/D4_URUAPAN SUR.pdf
16,MICHOACAN,21,COALCOMÁN,114,230,7411,14532,13951,2901,7622,1335,2922,20057,,,,,,,70731,21,4875,75627,127314,http://iem.org.mx/actas_dtto/D4_COALCOMÁN.pdf
16,MICHOACAN,22,MÚGICA,124,249,1994,23973,14531,3603,2973,1933,2020,26067,,,,,,,77094,22,4514,81630,130248,http://iem.org.mx/actas_dtto/D4_MÚGICA.pdf
16,MICHOACAN,23,APATZINGÁN,105,226,5335,16298,8826,3661,4219,1307,1302,20802,765,,,,,,62515,35,3677,66227,124722,http://iem.org.mx/actas_dtto/D4_APATZINGÁN.pdf
16,MICHOACAN,24,LÁZARO CÁRDENAS,65,223,2656,9672,10433,7766,1877,795,662,35840,1682,,,,,4597,75980,99,3507,79586,134983,http://iem.org.mx/actas_dtto/D4_LÁZARO CÁRDENAS.pdf
