ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
1,AGUASCALIENTES,001,AGUASCALIENTES,452,1110,125035,73244,6493,9245,15658,8381,12107,94859,9723,1210,467,236,73,1716,629,101,551,2639,,,362367,541,14264,377172,636960,
1,AGUASCALIENTES,002,ASIENTOS,17,54,4424,3577,357,668,420,373,1273,9113,327,63,47,19,8,108,75,11,84,,,,20947,14,800,21761,33710,
1,AGUASCALIENTES,003,CALVILLO,31,76,9214,4713,548,777,797,296,1807,4106,325,87,42,20,3,0,0,0,0,,,,22735,20,1091,23846,45680,
1,AGUASCALIENTES,004,COSIO,5,18,1785,1562,80,236,700,85,314,1301,68,21,5,6,2,28,9,3,8,,,,6213,1,230,6444,11439,
1,AGUASCALIENTES,005,JESUS MARIA,22,118,17416,9241,639,913,1893,593,966,7884,682,147,46,25,4,146,52,12,53,,2096,721,43529,42,1516,45087,78946,
1,AGUASCALIENTES,006,PABELLON DE ARTEAGA,17,49,2317,3495,4149,518,966,322,1213,4776,247,108,105,11,8,76,35,4,37,,,,18387,12,704,19103,30679,
1,AGUASCALIENTES,007,RINCON DE ROMOS,21,61,5051,4253,292,1617,805,738,2682,3279,306,90,27,33,13,90,79,11,25,,,,19391,14,966,20371,37004,
1,AGUASCALIENTES,008,SAN JOSE DE GRACIA,7,13,1551,821,88,765,52,86,209,669,56,20,6,4,1,0,0,0,0,,,,4328,1,188,4517,6770,
1,AGUASCALIENTES,009,TEPEZALA,10,25,2183,1968,719,195,2018,96,470,1680,81,36,57,8,6,32,11,0,7,,,,9567,5,389,9961,15125,
1,AGUASCALIENTES,010,SAN FRANCISCO DE LOS ROMO,10,49,3831,5974,200,331,1268,179,662,4078,375,35,19,5,2,87,25,6,27,,,,17104,15,552,17671,32309,
1,AGUASCALIENTES,011,EL LLANO,8,25,1803,1858,859,567,185,172,300,2435,126,41,40,7,4,70,36,4,13,,,,8520,5,340,8865,14826,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,
